 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Manganese in  H- C- O.txt

 Ion = Manganese [25] , Mass = 54,94 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  55,00 MeV   3,900E+01  8,775E-02   14,93 um     4488 A      4495 A   
  60,00 MeV   3,901E+01  8,155E-02   15,85 um     4679 A      4542 A   
  65,00 MeV   3,895E+01  7,623E-02   16,76 um     4863 A      4587 A   
  70,00 MeV   3,883E+01  7,160E-02   17,68 um     5041 A      4630 A   
  80,00 MeV   3,846E+01  6,393E-02   19,53 um     5692 A      4712 A   
  90,00 MeV   3,799E+01  5,783E-02   21,40 um     6287 A      4791 A   
 100,00 MeV   3,745E+01  5,285E-02   23,30 um     6844 A      4867 A   
 110,00 MeV   3,688E+01  4,871E-02   25,22 um     7374 A      4941 A   
 120,00 MeV   3,672E+01  4,521E-02   27,16 um     7877 A      5014 A   
 130,00 MeV   3,625E+01  4,220E-02   29,12 um     8359 A      5085 A   
 140,00 MeV   3,564E+01  3,960E-02   31,11 um     8827 A      5156 A   
 150,00 MeV   3,505E+01  3,731E-02   33,13 um     9286 A      5227 A   
 160,00 MeV   3,447E+01  3,529E-02   35,19 um     9739 A      5298 A   
 170,00 MeV   3,391E+01  3,348E-02   37,28 um     1,02 um     5369 A   
 180,00 MeV   3,337E+01  3,187E-02   39,41 um     1,06 um     5440 A   
 200,00 MeV   3,232E+01  2,908E-02   43,76 um     1,23 um     5585 A   
 225,00 MeV   3,109E+01  2,625E-02   49,41 um     1,47 um     5770 A   
 250,00 MeV   2,994E+01  2,395E-02   55,27 um     1,69 um     5960 A   
 275,00 MeV   2,887E+01  2,204E-02   61,35 um     1,89 um     6157 A   
 300,00 MeV   2,787E+01  2,042E-02   67,66 um     2,09 um     6360 A   
 325,00 MeV   2,694E+01  1,904E-02   74,18 um     2,29 um     6571 A   
 350,00 MeV   2,606E+01  1,784E-02   80,93 um     2,48 um     6789 A   
 375,00 MeV   2,524E+01  1,679E-02   87,91 um     2,67 um     7015 A   
 400,00 MeV   2,447E+01  1,587E-02   95,10 um     2,86 um     7248 A   
 450,00 MeV   2,306E+01  1,430E-02  110,16 um     3,57 um     7739 A   
 500,00 MeV   2,181E+01  1,303E-02  126,12 um     4,22 um     8262 A   
 550,00 MeV   2,069E+01  1,198E-02  142,96 um     4,85 um     8817 A   
 600,00 MeV   1,969E+01  1,109E-02  160,69 um     5,46 um     9404 A   
 650,00 MeV   1,878E+01  1,033E-02  179,30 um     6,07 um     1,00 um  
 700,00 MeV   1,796E+01  9,676E-03  198,78 um     6,66 um     1,07 um  
 800,00 MeV   1,653E+01  8,593E-03  240,32 um     8,89 um     1,21 um  
 900,00 MeV   1,533E+01  7,738E-03  285,28 um    10,93 um     1,36 um  
   1,00 GeV   1,431E+01  7,045E-03  333,59 um    12,90 um     1,52 um  
   1,10 GeV   1,344E+01  6,470E-03  385,20 um    14,82 um     1,69 um  
   1,20 GeV   1,267E+01  5,986E-03  440,05 um    16,73 um     1,88 um  
   1,30 GeV   1,200E+01  5,573E-03  498,09 um    18,64 um     2,07 um  
   1,40 GeV   1,140E+01  5,215E-03  559,27 um    20,56 um     2,28 um  
   1,50 GeV   1,087E+01  4,902E-03  623,55 um    22,48 um     2,49 um  
   1,60 GeV   1,038E+01  4,626E-03  690,93 um    24,42 um     2,71 um  
   1,70 GeV   9,940E+00  4,381E-03  761,38 um    26,38 um     2,95 um  
   1,80 GeV   9,537E+00  4,162E-03  834,89 um    28,36 um     3,19 um  
   2,00 GeV   8,832E+00  3,786E-03  990,89 um    35,94 um     3,70 um  
   2,25 GeV   8,101E+00  3,405E-03    1,20 mm    46,79 um     4,39 um  
   2,50 GeV   7,497E+00  3,097E-03    1,43 mm    56,97 um     5,13 um  
   2,75 GeV   6,988E+00  2,841E-03    1,68 mm    66,86 um     5,93 um  
   3,00 GeV   6,554E+00  2,627E-03    1,94 mm    76,62 um     6,77 um  
   3,25 GeV   6,180E+00  2,443E-03    2,22 mm    86,34 um     7,67 um  
   3,50 GeV   5,852E+00  2,285E-03    2,52 mm    96,07 um     8,61 um  
   3,75 GeV   5,559E+00  2,147E-03    2,84 mm   105,84 um     9,60 um  
   4,00 GeV   5,293E+00  2,025E-03    3,17 mm   115,68 um    10,63 um  
   4,50 GeV   4,842E+00  1,820E-03    3,87 mm   152,96 um    12,83 um  
   5,00 GeV   4,474E+00  1,654E-03    4,64 mm   187,73 um    15,20 um  
   5,50 GeV   4,169E+00  1,516E-03    5,47 mm   221,36 um    17,74 um  
   6,00 GeV   3,911E+00  1,401E-03    6,36 mm   254,43 um    20,43 um  
   6,50 GeV   3,691E+00  1,303E-03    7,30 mm   287,24 um    23,28 um  
   7,00 GeV   3,500E+00  1,218E-03    8,30 mm   319,96 um    26,27 um  
   8,00 GeV   3,186E+00  1,078E-03   10,44 mm   440,97 um    32,66 um  
   9,00 GeV   2,938E+00  9,682E-04   12,78 mm   551,48 um    39,56 um  
  10,00 GeV   2,738E+00  8,793E-04   15,30 mm   657,06 um    46,92 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,3970E+01                 eV / Angstrom 
  1,3970E+02                keV / micron   
  1,3970E+02                MeV / mm       
  1,0000E+00                keV / (ug/cm2) 
  1,0000E+00                MeV / (mg/cm2) 
  1,0000E+03                keV / (mg/cm2) 
  1,4505E+01                 eV / (1E15 atoms/cm2)
  5,8754E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
