 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Chromium in  H- C- O.txt

 Ion = Chromium [24] , Mass = 51,94 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  55,00 MeV   3,685E+01  7,759E-02   15,06 um     4484 A      4297 A   
  60,00 MeV   3,679E+01  7,209E-02   16,03 um     4698 A      4347 A   
  65,00 MeV   3,668E+01  6,737E-02   17,00 um     4903 A      4394 A   
  70,00 MeV   3,651E+01  6,327E-02   17,97 um     5101 A      4441 A   
  80,00 MeV   3,609E+01  5,647E-02   19,94 um     5824 A      4529 A   
  90,00 MeV   3,557E+01  5,107E-02   21,94 um     6483 A      4614 A   
 100,00 MeV   3,500E+01  4,667E-02   23,96 um     7098 A      4697 A   
 110,00 MeV   3,471E+01  4,301E-02   26,01 um     7677 A      4778 A   
 120,00 MeV   3,433E+01  3,991E-02   28,08 um     8225 A      4857 A   
 130,00 MeV   3,373E+01  3,725E-02   30,19 um     8754 A      4936 A   
 140,00 MeV   3,313E+01  3,494E-02   32,33 um     9270 A      5014 A   
 150,00 MeV   3,254E+01  3,292E-02   34,50 um     9776 A      5093 A   
 160,00 MeV   3,198E+01  3,113E-02   36,72 um     1,03 um     5172 A   
 170,00 MeV   3,142E+01  2,954E-02   38,98 um     1,08 um     5252 A   
 180,00 MeV   3,089E+01  2,811E-02   41,27 um     1,13 um     5332 A   
 200,00 MeV   2,986E+01  2,565E-02   45,98 um     1,31 um     5495 A   
 225,00 MeV   2,867E+01  2,315E-02   52,09 um     1,57 um     5705 A   
 250,00 MeV   2,755E+01  2,111E-02   58,46 um     1,81 um     5921 A   
 275,00 MeV   2,652E+01  1,942E-02   65,08 um     2,04 um     6145 A   
 300,00 MeV   2,556E+01  1,800E-02   71,95 um     2,26 um     6377 A   
 325,00 MeV   2,467E+01  1,678E-02   79,07 um     2,48 um     6618 A   
 350,00 MeV   2,383E+01  1,572E-02   86,45 um     2,69 um     6868 A   
 375,00 MeV   2,305E+01  1,479E-02   94,08 um     2,90 um     7126 A   
 400,00 MeV   2,232E+01  1,398E-02  101,96 um     3,11 um     7394 A   
 450,00 MeV   2,100E+01  1,260E-02  118,49 um     3,89 um     7957 A   
 500,00 MeV   1,983E+01  1,148E-02  136,03 um     4,62 um     8557 A   
 550,00 MeV   1,878E+01  1,055E-02  154,57 um     5,31 um     9194 A   
 600,00 MeV   1,785E+01  9,767E-03  174,11 um     5,99 um     9867 A   
 650,00 MeV   1,702E+01  9,098E-03  194,64 um     6,66 um     1,06 um  
 700,00 MeV   1,626E+01  8,518E-03  216,15 um     7,32 um     1,13 um  
 800,00 MeV   1,495E+01  7,564E-03  262,05 um     9,79 um     1,29 um  
 900,00 MeV   1,386E+01  6,811E-03  311,77 um    12,06 um     1,46 um  
   1,00 GeV   1,293E+01  6,199E-03  365,24 um    14,24 um     1,65 um  
   1,10 GeV   1,213E+01  5,693E-03  422,38 um    16,38 um     1,84 um  
   1,20 GeV   1,143E+01  5,267E-03  483,16 um    18,50 um     2,05 um  
   1,30 GeV   1,082E+01  4,903E-03  547,52 um    20,62 um     2,27 um  
   1,40 GeV   1,027E+01  4,587E-03  615,44 um    22,75 um     2,51 um  
   1,50 GeV   9,767E+00  4,312E-03  686,92 um    24,90 um     2,75 um  
   1,60 GeV   9,316E+00  4,069E-03  761,96 um    27,08 um     3,00 um  
   1,70 GeV   8,913E+00  3,854E-03  840,50 um    29,27 um     3,27 um  
   1,80 GeV   8,548E+00  3,660E-03  922,50 um    31,49 um     3,54 um  
   2,00 GeV   7,912E+00  3,329E-03    1,10 mm    39,99 um     4,12 um  
   2,25 GeV   7,254E+00  2,994E-03    1,33 mm    52,13 um     4,91 um  
   2,50 GeV   6,710E+00  2,723E-03    1,59 mm    63,53 um     5,76 um  
   2,75 GeV   6,254E+00  2,498E-03    1,87 mm    74,60 um     6,66 um  
   3,00 GeV   5,865E+00  2,309E-03    2,16 mm    85,52 um     7,62 um  
   3,25 GeV   5,529E+00  2,148E-03    2,48 mm    96,40 um     8,64 um  
   3,50 GeV   5,226E+00  2,008E-03    2,81 mm   107,30 um     9,71 um  
   3,75 GeV   4,958E+00  1,887E-03    3,16 mm   118,28 um    10,84 um  
   4,00 GeV   4,721E+00  1,779E-03    3,53 mm   129,35 um    12,02 um  
   4,50 GeV   4,320E+00  1,599E-03    4,32 mm   171,22 um    14,53 um  
   5,00 GeV   3,993E+00  1,453E-03    5,18 mm   210,23 um    17,24 um  
   5,50 GeV   3,722E+00  1,332E-03    6,11 mm   247,92 um    20,14 um  
   6,00 GeV   3,493E+00  1,231E-03    7,11 mm   284,96 um    23,22 um  
   6,50 GeV   3,298E+00  1,144E-03    8,16 mm   321,68 um    26,47 um  
   7,00 GeV   3,128E+00  1,070E-03    9,27 mm   358,27 um    29,88 um  
   8,00 GeV   2,850E+00  9,469E-04   11,67 mm   493,47 um    37,17 um  
   9,00 GeV   2,631E+00  8,504E-04   14,29 mm   616,79 um    45,02 um  
  10,00 GeV   2,453E+00  7,723E-04   17,11 mm   734,48 um    53,39 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,3970E+01                 eV / Angstrom 
  1,3970E+02                keV / micron   
  1,3970E+02                MeV / mm       
  1,0000E+00                keV / (ug/cm2) 
  1,0000E+00                MeV / (mg/cm2) 
  1,0000E+03                keV / (mg/cm2) 
  1,4505E+01                 eV / (1E15 atoms/cm2)
  6,1057E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
