 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Chlorine in Silicon.txt

 Ion = Chlorine [17] , Mass = 34,969 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  55,00 MeV   1,719E+01  2,464E-02   15,98 um     5266 A      4959 A   
  60,00 MeV   1,707E+01  2,288E-02   17,23 um     5581 A      5076 A   
  65,00 MeV   1,694E+01  2,137E-02   18,50 um     5882 A      5189 A   
  70,00 MeV   1,679E+01  2,005E-02   19,77 um     6174 A      5300 A   
  80,00 MeV   1,638E+01  1,788E-02   22,37 um     7218 A      5518 A   
  90,00 MeV   1,586E+01  1,615E-02   25,04 um     8179 A      5734 A   
 100,00 MeV   1,542E+01  1,475E-02   27,79 um     9088 A      5949 A   
 110,00 MeV   1,499E+01  1,358E-02   30,62 um     9961 A      6166 A   
 120,00 MeV   1,457E+01  1,259E-02   33,53 um     1,08 um     6385 A   
 130,00 MeV   1,416E+01  1,175E-02   36,53 um     1,16 um     6606 A   
 140,00 MeV   1,378E+01  1,101E-02   39,61 um     1,25 um     6831 A   
 150,00 MeV   1,340E+01  1,037E-02   42,78 um     1,33 um     7059 A   
 160,00 MeV   1,305E+01  9,804E-03   46,03 um     1,41 um     7292 A   
 170,00 MeV   1,271E+01  9,298E-03   49,37 um     1,49 um     7529 A   
 180,00 MeV   1,239E+01  8,845E-03   52,80 um     1,57 um     7771 A   
 200,00 MeV   1,179E+01  8,065E-03   59,93 um     1,87 um     8270 A   
 225,00 MeV   1,111E+01  7,273E-03   69,34 um     2,30 um     8922 A   
 250,00 MeV   1,051E+01  6,630E-03   79,30 um     2,70 um     9609 A   
 275,00 MeV   9,977E+00  6,096E-03   89,81 um     3,09 um     1,03 um  
 300,00 MeV   9,497E+00  5,646E-03  100,87 um     3,47 um     1,11 um  
 325,00 MeV   9,065E+00  5,260E-03  112,47 um     3,84 um     1,19 um  
