#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   3.2285e-04      9.3813e-05      6.1710e-01      3.0210e+00
   3.5514e-04      1.0148e-04      6.4720e-01      3.0260e+00
   3.8742e-04      1.0870e-04      6.7600e-01      3.0270e+00
   4.1971e-04      1.1636e-04      7.0360e-01      3.0240e+00
   4.5199e-04      1.2358e-04      7.3020e-01      3.0180e+00
   4.8428e-04      1.3125e-04      7.5580e-01      3.0100e+00
   5.1656e-04      1.3846e-04      7.8060e-01      3.0000e+00
   5.4885e-04      1.4568e-04      8.0460e-01      2.9890e+00
   5.8113e-04      1.5335e-04      8.2790e-01      2.9770e+00
   6.4570e-04      1.6778e-04      8.7270e-01      2.9500e+00
   7.2642e-04      1.8627e-04      9.2570e-01      2.9130e+00
   8.0713e-04      2.0476e-04      9.7570e-01      2.8730e+00
   8.8784e-04      2.2281e-04      1.0230e+00      2.8330e+00
   9.6855e-04      2.4130e-04      1.0690e+00      2.7920e+00
   1.0493e-03      2.5979e-04      1.1130e+00      2.7510e+00
   1.1300e-03      2.7828e-04      1.1550e+00      2.7110e+00
   1.2107e-03      2.9677e-04      1.1950e+00      2.6710e+00
   1.2914e-03      3.1527e-04      1.2340e+00      2.6330e+00
   1.4528e-03      3.5270e-04      1.3090e+00      2.5580e+00
   1.6143e-03      3.9014e-04      1.3800e+00      2.4860e+00
   1.7757e-03      4.2802e-04      1.4470e+00      2.4190e+00
   1.9371e-03      4.6546e-04      1.5120e+00      2.3550e+00
   2.0985e-03      5.0334e-04      1.5520e+00      2.2950e+00
   2.2600e-03      5.4168e-04      1.5880e+00      2.2380e+00
   2.5828e-03      6.1880e-04      1.6810e+00      2.1340e+00
   2.9057e-03      6.9638e-04      1.7860e+00      2.0400e+00
   3.2285e-03      7.7351e-04      1.8910e+00      1.9550e+00
   3.5514e-03      8.5063e-04      1.9930e+00      1.8780e+00
   3.8742e-03      9.2776e-04      2.0900e+00      1.8080e+00
   4.1971e-03      1.0044e-03      2.1800e+00      1.7440e+00
   4.5199e-03      1.0807e-03      2.2650e+00      1.6850e+00
   4.8428e-03      1.1564e-03      2.3450e+00      1.6300e+00
   5.1656e-03      1.2322e-03      2.4210e+00      1.5800e+00
   5.4885e-03      1.3075e-03      2.4920e+00      1.5330e+00
   5.8113e-03      1.3824e-03      2.5590e+00      1.4890e+00
   6.4570e-03      1.5317e-03      2.6840e+00      1.4100e+00
   7.2642e-03      1.7166e-03      2.8270e+00      1.3240e+00
   8.0713e-03      1.8997e-03      2.9570e+00      1.2490e+00
   8.8784e-03      2.0810e-03      3.0780e+00      1.1840e+00
   9.6855e-03      2.2601e-03      3.1920e+00      1.1260e+00
   1.0493e-02      2.4378e-03      3.3000e+00      1.0740e+00
   1.1300e-02      2.6132e-03      3.4040e+00      1.0280e+00
   1.2107e-02      2.7864e-03      3.5040e+00      9.8550e-01
   1.2914e-02      2.9583e-03      3.6020e+00      9.4720e-01
   1.4528e-02      3.2956e-03      3.7910e+00      8.8020e-01
   1.6143e-02      3.6249e-03      3.9770e+00      8.2310e-01
   1.7757e-02      3.9460e-03      4.1620e+00      7.7400e-01
   1.9371e-02      4.2586e-03      4.3470e+00      7.3110e-01
   2.0985e-02      4.5553e-03      4.5310e+00      6.9330e-01
   2.2600e-02      4.8711e-03      4.7150e+00      6.5970e-01
   2.5828e-02      5.4123e-03      5.0780e+00      6.0240e-01
   2.9057e-02      5.9535e-03      5.4340e+00      5.5540e-01
   3.2285e-02      6.4947e-03      5.7810e+00      5.1590e-01
   3.5514e-02      6.9909e-03      6.1160e+00      4.8230e-01
   3.8742e-02      7.4419e-03      6.4410e+00      4.5320e-01
   4.1971e-02      7.8929e-03      6.7560e+00      4.2780e-01
   4.5199e-02      8.3439e-03      7.0600e+00      4.0540e-01
   4.8428e-02      8.7499e-03      7.3550e+00      3.8550e-01
   5.1656e-02      9.1558e-03      7.6420e+00      3.6770e-01
   5.4885e-02      9.5617e-03      7.9200e+00      3.5150e-01
   5.8113e-02      9.9225e-03      8.1910e+00      3.3690e-01
   6.4570e-02      1.0644e-02      8.7120e+00      3.1140e-01
   7.2642e-02      1.1501e-02      9.3300e+00      2.8500e-01
   8.0713e-02      1.2313e-02      9.9150e+00      2.6300e-01
   8.8784e-02      1.3080e-02      1.0470e+01      2.4450e-01
   9.6855e-02      1.3801e-02      1.1000e+01      2.2870e-01
   1.0493e-01      1.4523e-02      1.1510e+01      2.1490e-01
   1.1300e-01      1.5199e-02      1.2000e+01      2.0290e-01
   1.2107e-01      1.5831e-02      1.2460e+01      1.9220e-01
   1.2914e-01      1.6462e-02      1.2910e+01      1.8270e-01
   1.4528e-01      1.7635e-02      1.3750e+01      1.6650e-01
   1.6143e-01      1.8763e-02      1.4520e+01      1.5320e-01
   1.7757e-01      1.9845e-02      1.5220e+01      1.4190e-01
   1.9371e-01      2.0882e-02      1.5870e+01      1.3240e-01
   2.0985e-01      2.1875e-02      1.6460e+01      1.2410e-01
   2.2600e-01      2.2822e-02      1.7000e+01      1.1690e-01
   2.5828e-01      2.4671e-02      1.7950e+01      1.0490e-01
   2.9057e-01      2.6385e-02      1.8760e+01      9.5300e-02
   3.2285e-01      2.8054e-02      1.9440e+01      8.7410e-02
   3.5514e-01      2.9722e-02      2.0020e+01      8.0820e-02
   3.8742e-01      3.1301e-02      2.0510e+01      7.5220e-02
   4.1971e-01      3.2835e-02      2.0930e+01      7.0390e-02
   4.5199e-01      3.4368e-02      2.1280e+01      6.6190e-02
   4.8428e-01      3.5856e-02      2.1570e+01      6.2500e-02
   5.1656e-01      3.7345e-02      2.1820e+01      5.9220e-02
   5.4885e-01      3.8833e-02      2.2020e+01      5.6300e-02
   5.8113e-01      4.0276e-02      2.2180e+01      5.3660e-02
   6.4570e-01      4.3163e-02      2.2390e+01      4.9120e-02
   7.2642e-01      4.6726e-02      2.2510e+01      4.4480e-02
   8.0713e-01      5.0334e-02      2.2500e+01      4.0690e-02
   8.8784e-01      5.3897e-02      2.2410e+01      3.7530e-02
   9.6855e-01      5.7505e-02      2.2250e+01      3.4850e-02
   1.0493e+00      6.1159e-02      2.2050e+01      3.2560e-02
   1.1300e+00      6.4812e-02      2.1830e+01      3.0560e-02
   1.2107e+00      6.8556e-02      2.1580e+01      2.8810e-02
   1.2914e+00      7.2299e-02      2.1320e+01      2.7260e-02
   1.4528e+00      7.9966e-02      2.0780e+01      2.4640e-02
   1.6143e+00      8.7814e-02      2.0230e+01      2.2500e-02
   1.7757e+00      9.5888e-02      1.9680e+01      2.0730e-02
   1.9371e+00      1.0423e-01      1.9150e+01      1.9220e-02
   2.0985e+00      1.1271e-01      1.8780e+01      1.7940e-02
   2.2600e+00      1.2137e-01      1.8420e+01      1.6820e-02
   2.5828e+00      1.3932e-01      1.7520e+01      1.4980e-02
   2.9057e+00      1.5822e-01      1.6690e+01      1.3520e-02
   3.2285e+00      1.7797e-01      1.5950e+01      1.2330e-02
   3.5514e+00      1.9868e-01      1.5270e+01      1.1340e-02
   3.8742e+00      2.2023e-01      1.4660e+01      1.0510e-02
   4.1971e+00      2.4270e-01      1.4090e+01      9.7950e-03
   4.5199e+00      2.6601e-01      1.3580e+01      9.1780e-03
   4.8428e+00      2.9019e-01      1.3100e+01      8.6370e-03
   5.1656e+00      3.1527e-01      1.2660e+01      8.1600e-03
   5.4885e+00      3.4115e-01      1.2250e+01      7.7350e-03
   5.8113e+00      3.6794e-01      1.1870e+01      7.3540e-03
   6.4570e+00      4.2396e-01      1.1180e+01      6.7010e-03
   7.2642e+00      4.9870e-01      1.0430e+01      6.0370e-03
   8.0713e+00      5.7857e-01      9.7860e+00      5.4990e-03
   8.8784e+00      6.6350e-01      9.2240e+00      5.0520e-03
   9.6855e+00      7.5343e-01      8.7290e+00      4.6760e-03
   1.0493e+01      8.4828e-01      8.2910e+00      4.3540e-03
   1.1300e+01      9.4801e-01      7.8990e+00      4.0760e-03
   1.2107e+01      1.0526e+00      7.5460e+00      3.8330e-03
   1.2914e+01      1.1618e+00      7.2280e+00      3.6180e-03
   1.4528e+01      1.3942e+00      6.6740e+00      3.2570e-03
   1.6143e+01      1.6450e+00      6.2080e+00      2.9630e-03
   1.7757e+01      1.9138e+00      5.8100e+00      2.7210e-03
   1.9371e+01      2.2003e+00      5.4640e+00      2.5160e-03
   2.0985e+01      2.5042e+00      5.1610e+00      2.3420e-03
   2.2600e+01      2.8255e+00      4.8910e+00      2.1910e-03
   2.5828e+01      3.5192e+00      4.4300e+00      1.9430e-03
   2.9057e+01      4.2819e+00      4.0440e+00      1.7470e-03
   3.2285e+01      5.0966e+00      3.7290e+00      1.5890e-03
   3.5514e+01      5.9986e+00      3.4690e+00      1.4580e-03
   3.8742e+01      6.9909e+00      3.2460e+00      1.3470e-03
   4.1971e+01      7.9831e+00      3.0460e+00      1.2530e-03
   4.5199e+01      9.1107e+00      2.8720e+00      1.1720e-03
   4.8428e+01      1.0238e+01      2.7190e+00      1.1010e-03
   5.1656e+01      1.1456e+01      2.5830e+00      1.0380e-03
   5.4885e+01      1.2764e+01      2.4630e+00      9.8260e-04
   5.8113e+01      1.4072e+01      2.3540e+00      9.3290e-04
   6.4570e+01      1.6958e+01      2.1680e+00      8.4770e-04
   7.2642e+01      2.0837e+01      1.9780e+00      7.6160e-04
   8.0713e+01      2.5077e+01      1.8240e+00      6.9190e-04
   8.8784e+01      2.9677e+01      1.6960e+00      6.3440e-04
   9.6855e+01      3.4593e+01      1.5880e+00      5.8600e-04
   1.0493e+02      3.9825e+01      1.4960e+00      5.4470e-04
   1.1300e+02      4.5373e+01      1.4170e+00      5.0900e-04
   1.2107e+02      5.1236e+01      1.3470e+00      4.7790e-04
   1.2914e+02      5.7370e+01      1.2850e+00      4.5050e-04
   1.4528e+02      7.0450e+01      1.1820e+00      4.0450e-04
   1.6143e+02      8.4612e+01      1.0990e+00      3.6730e-04
   1.7757e+02      9.9811e+01      1.0300e+00      3.3660e-04
   1.9371e+02      1.1591e+02      9.7220e-01      3.1080e-04
