#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   7.5000e+01      8.7090e+03      4.9280e-03      1.7210e-06
   8.0000e+01      9.7340e+03      4.7060e-03      1.6230e-06
   8.5000e+01      1.0810e+04      4.5070e-03      1.5360e-06
   9.0000e+01      1.1920e+04      4.3290e-03      1.4580e-06
   9.5000e+01      1.3090e+04      4.1680e-03      1.3880e-06
   1.0000e+02      1.4290e+04      4.0210e-03      1.3250e-06
   1.2500e+02      2.0950e+04      3.4510e-03      1.0800e-06
   1.5000e+02      2.8580e+04      3.0580e-03      9.1340e-07
   1.7500e+02      3.7090e+04      2.7700e-03      7.9250e-07
   2.0000e+02      4.6400e+04      2.5510e-03      7.0060e-07
   2.2500e+02      5.6460e+04      2.3780e-03      6.2830e-07
   2.5000e+02      6.7190e+04      2.2380e-03      5.6980e-07
   2.7500e+02      7.8550e+04      2.1230e-03      5.2160e-07
   3.0000e+02      9.0500e+04      2.0270e-03      4.8110e-07
   3.5000e+02      1.1590e+05      1.8750e-03      4.1690e-07
   4.0000e+02      1.4320e+05      1.7620e-03      3.6810e-07
   4.5000e+02      1.7210e+05      1.6740e-03      3.2980e-07
   5.0000e+02      2.0240e+05      1.6040e-03      2.9890e-07
   5.5000e+02      2.3390e+05      1.5480e-03      2.7350e-07
   6.0000e+02      2.6650e+05      1.5020e-03      2.5210e-07
   6.5000e+02      3.0000e+05      1.4630e-03      2.3400e-07
   7.0000e+02      3.3430e+05      1.4310e-03      2.1830e-07
   7.5000e+02      3.6930e+05      1.4040e-03      2.0470e-07
   8.0000e+02      4.0500e+05      1.3810e-03      1.9270e-07
   8.5000e+02      4.4130e+05      1.3610e-03      1.8200e-07
   9.0000e+02      4.7800e+05      1.3440e-03      1.7260e-07
   9.5000e+02      5.1520e+05      1.3290e-03      1.6410e-07
   1.0000e+03      5.5280e+05      1.3170e-03      1.5640e-07
   1.5000e+03      9.4250e+05      1.2520e-03      1.0700e-07
   2.0000e+03      1.3430e+06      1.2380e-03      8.1780e-08
   2.5000e+03      1.7460e+06      1.2410e-03      6.6390e-08
   3.0000e+03      2.1460e+06      1.2510e-03      5.6000e-08
   4.0000e+03      2.9350e+06      1.2780e-03      4.2830e-08
   5.0000e+03      3.7080e+06      1.3050e-03      3.4790e-08
   6.0000e+03      4.4660e+06      1.3300e-03      2.9350e-08
   7.0000e+03      5.2100e+06      1.3540e-03      2.5430e-08
   8.0000e+03      5.9420e+06      1.3750e-03      2.2450e-08
   9.0000e+03      6.6630e+06      1.3940e-03      2.0120e-08
   1.0000e+04      7.3760e+06      1.4120e-03      1.8240e-08
