#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   5.3489e-03      3.2082e-04      6.1420e+00      1.1770e+01
   5.8837e-03      3.4926e-04      6.3130e+00      1.1550e+01
   6.4186e-03      3.7781e-04      6.4850e+00      1.1330e+01
   6.9535e-03      4.0637e-04      6.6580e+00      1.1120e+01
   7.4884e-03      4.3517e-04      6.8290e+00      1.0920e+01
   8.0233e-03      4.6398e-04      6.9990e+00      1.0730e+01
   8.5582e-03      4.9278e-04      7.1670e+00      1.0540e+01
   9.0930e-03      5.2183e-04      7.3320e+00      1.0350e+01
   9.6279e-03      5.5076e-04      7.4930e+00      1.0180e+01
   1.0698e-02      6.0887e-04      7.8060e+00      9.8450e+00
   1.2035e-02      6.8175e-04      8.1780e+00      9.4610e+00
   1.3372e-02      7.5475e-04      8.5280e+00      9.1090e+00
   1.4709e-02      8.2788e-04      8.8590e+00      8.7860e+00
   1.6047e-02      9.0101e-04      9.1730e+00      8.4880e+00
   1.7384e-02      9.7414e-04      9.4710e+00      8.2130e+00
   1.8721e-02      1.0473e-03      9.7550e+00      7.9590e+00
   2.0058e-02      1.1204e-03      1.0030e+01      7.7220e+00
   2.1395e-02      1.1934e-03      1.0290e+01      7.5010e+00
   2.4070e-02      1.3409e-03      1.0780e+01      7.1010e+00
   2.6744e-02      1.4899e-03      1.1230e+01      6.7490e+00
   2.9419e-02      1.6265e-03      1.1660e+01      6.4350e+00
   3.2093e-02      1.7755e-03      1.2070e+01      6.1540e+00
   3.4768e-02      1.9120e-03      1.2470e+01      5.9000e+00
   3.7442e-02      2.0610e-03      1.2840e+01      5.6700e+00
   4.2791e-02      2.3342e-03      1.3570e+01      5.2670e+00
   4.8140e-02      2.6073e-03      1.4260e+01      4.9250e+00
   5.3489e-02      2.8805e-03      1.4920e+01      4.6320e+00
   5.8837e-02      3.1536e-03      1.5570e+01      4.3760e+00
   6.4186e-02      3.4143e-03      1.6200e+01      4.1510e+00
   6.9535e-02      3.6626e-03      1.6820e+01      3.9510e+00
   7.4884e-02      3.9234e-03      1.7420e+01      3.7720e+00
   8.0233e-02      4.1593e-03      1.8010e+01      3.6110e+00
   8.5582e-02      4.4076e-03      1.8600e+01      3.4650e+00
   9.0930e-02      4.6435e-03      1.9170e+01      3.3310e+00
   9.6279e-02      4.8794e-03      1.9730e+01      3.2100e+00
   1.0698e-01      5.3264e-03      2.0830e+01      2.9940e+00
   1.2035e-01      5.8727e-03      2.2140e+01      2.7660e+00
   1.3372e-01      6.3941e-03      2.3400e+01      2.5750e+00
   1.4709e-01      6.8907e-03      2.4600e+01      2.4110e+00
   1.6047e-01      7.3750e-03      2.5760e+01      2.2690e+00
   1.7384e-01      7.8343e-03      2.6880e+01      2.1450e+00
   1.8721e-01      8.2937e-03      2.7950e+01      2.0350e+00
   2.0058e-01      8.7283e-03      2.8990e+01      1.9370e+00
   2.1395e-01      9.1504e-03      3.0000e+01      1.8490e+00
   2.4070e-01      9.9574e-03      3.1930e+01      1.6980e+00
   2.6744e-01      1.0727e-02      3.3750e+01      1.5720e+00
   2.9419e-01      1.1472e-02      3.5480e+01      1.4650e+00
   3.2093e-01      1.2180e-02      3.7140e+01      1.3730e+00
   3.4768e-01      1.2850e-02      3.8720e+01      1.2930e+00
   3.7442e-01      1.3508e-02      4.0250e+01      1.2220e+00
   4.2791e-01      1.4750e-02      4.3140e+01      1.1040e+00
   4.8140e-01      1.5917e-02      4.5830e+01      1.0090e+00
   5.3489e-01      1.7034e-02      4.8370e+01      9.2990e-01
   5.8837e-01      1.8090e-02      5.0750e+01      8.6340e-01
   6.4186e-01      1.9108e-02      5.3000e+01      8.0660e-01
   6.9535e-01      2.0076e-02      5.5120e+01      7.5740e-01
   7.4884e-01      2.1020e-02      5.7140e+01      7.1440e-01
   8.0233e-01      2.1926e-02      5.9040e+01      6.7640e-01
   8.5582e-01      2.2808e-02      6.0850e+01      6.4250e-01
   9.0930e-01      2.3664e-02      6.2570e+01      6.1220e-01
   9.6279e-01      2.4496e-02      6.4190e+01      5.8480e-01
   1.0698e+00      2.6110e-02      6.7210e+01      5.3730e-01
   1.2035e+00      2.8035e-02      7.0570e+01      4.8860e-01
   1.3372e+00      2.9872e-02      7.3540e+01      4.4850e-01
   1.4709e+00      3.1648e-02      7.6160e+01      4.1500e-01
   1.6047e+00      3.3374e-02      7.8470e+01      3.8650e-01
   1.7384e+00      3.5037e-02      8.0510e+01      3.6190e-01
   1.8721e+00      3.6676e-02      8.2320e+01      3.4050e-01
   2.0058e+00      3.8278e-02      8.3920e+01      3.2160e-01
   2.1395e+00      3.9855e-02      8.5320e+01      3.0490e-01
   2.4070e+00      4.2946e-02      8.6620e+01      2.7650e-01
   2.6744e+00      4.6000e-02      8.7930e+01      2.5320e-01
   2.9419e+00      4.9017e-02      8.8840e+01      2.3380e-01
   3.2093e+00      5.2010e-02      8.9440e+01      2.1730e-01
   3.4768e+00      5.4989e-02      8.9790e+01      2.0320e-01
   3.7442e+00      5.7957e-02      8.9950e+01      1.9090e-01
   4.2791e+00      6.3891e-02      8.9820e+01      1.7050e-01
   4.8140e+00      6.9851e-02      8.9300e+01      1.5430e-01
   5.3489e+00      7.5860e-02      8.8540e+01      1.4110e-01
   5.8837e+00      8.1919e-02      8.7630e+01      1.3000e-01
   6.4186e+00      8.8053e-02      8.6640e+01      1.2070e-01
   6.9535e+00      9.4248e-02      8.5620e+01      1.1270e-01
   7.4884e+00      1.0053e-01      8.4580e+01      1.0580e-01
   8.0233e+00      1.0689e-01      8.3550e+01      9.9660e-02
   8.5582e+00      1.1332e-01      8.2530e+01      9.4270e-02
   9.0930e+00      1.1984e-01      8.1550e+01      8.9460e-02
   9.6279e+00      1.2642e-01      8.0590e+01      8.5150e-02
   1.0698e+01      1.3984e-01      7.8770e+01      7.7730e-02
   1.2035e+01      1.5703e-01      7.6680e+01      7.0180e-02
   1.3372e+01      1.7468e-01      7.4760e+01      6.4040e-02
   1.4709e+01      1.9277e-01      7.2990e+01      5.8930e-02
   1.6047e+01      2.1129e-01      7.1340e+01      5.4620e-02
   1.7384e+01      2.3023e-01      6.9790e+01      5.0930e-02
   1.8721e+01      2.4958e-01      6.8320e+01      4.7730e-02
   2.0058e+01      2.6935e-01      6.6900e+01      4.4930e-02
   2.1395e+01      2.8954e-01      6.5530e+01      4.2460e-02
   2.4070e+01      3.3118e-01      6.2890e+01      3.8280e-02
   2.6744e+01      3.7458e-01      6.0330e+01      3.4890e-02
   2.9419e+01      4.1986e-01      5.7810e+01      3.2080e-02
   3.2093e+01      4.6711e-01      5.5390e+01      2.9700e-02
   3.4768e+01      5.1637e-01      5.3190e+01      2.7670e-02
   3.7442e+01      5.6761e-01      5.1180e+01      2.5920e-02
   4.2791e+01      6.7594e-01      4.7640e+01      2.3020e-02
   4.8140e+01      7.9194e-01      4.4620e+01      2.0730e-02
   5.3489e+01      9.1546e-01      4.2020e+01      1.8880e-02
