#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   9.0835e-04      6.3575e-04      6.0400e-01      5.9620e-01
   9.9918e-04      6.9666e-04      6.3350e-01      5.7690e-01
   1.0900e-03      7.5884e-04      6.6170e-01      5.5910e-01
   1.1809e-03      8.1975e-04      6.8870e-01      5.4240e-01
   1.2717e-03      8.8066e-04      7.1470e-01      5.2690e-01
   1.3625e-03      9.4157e-04      7.3980e-01      5.1240e-01
   1.4534e-03      1.0025e-03      7.6410e-01      4.9880e-01
   1.5442e-03      1.0634e-03      7.8760e-01      4.8600e-01
   1.6350e-03      1.1243e-03      8.1040e-01      4.7390e-01
   1.8167e-03      1.2436e-03      8.5430e-01      4.5190e-01
   2.0438e-03      1.3921e-03      9.0020e-01      4.2750e-01
   2.2709e-03      1.5405e-03      9.2990e-01      4.0600e-01
   2.4980e-03      1.6890e-03      9.6930e-01      3.8690e-01
   2.7250e-03      1.8349e-03      1.0130e+00      3.6980e-01
   2.9521e-03      1.9783e-03      1.0580e+00      3.5440e-01
   3.1792e-03      2.1204e-03      1.1030e+00      3.4040e-01
   3.4063e-03      2.2600e-03      1.1460e+00      3.2770e-01
   3.6334e-03      2.3971e-03      1.1870e+00      3.1600e-01
   4.0876e-03      2.6661e-03      1.2640e+00      2.9530e-01
   4.5417e-03      2.9262e-03      1.3320e+00      2.7760e-01
   4.9959e-03      3.1826e-03      1.3920e+00      2.6220e-01
   5.4501e-03      3.4325e-03      1.4450e+00      2.4860e-01
   5.9043e-03      3.6787e-03      1.4920e+00      2.3650e-01
   6.3584e-03      3.9198e-03      1.5350e+00      2.2580e-01
   7.2668e-03      4.3957e-03      1.6070e+00      2.0730e-01
   8.1751e-03      4.8614e-03      1.6680e+00      1.9190e-01
   9.0835e-03      5.3195e-03      1.7210e+00      1.7900e-01
   9.9918e-03      5.7700e-03      1.7670e+00      1.6780e-01
   1.0900e-02      6.2141e-03      1.8090e+00      1.5820e-01
   1.1809e-02      6.6519e-03      1.8480e+00      1.4970e-01
   1.2717e-02      7.0859e-03      1.8850e+00      1.4220e-01
   1.3625e-02      7.5135e-03      1.9210e+00      1.3550e-01
   1.4534e-02      7.9361e-03      1.9560e+00      1.2950e-01
   1.5442e-02      8.3536e-03      1.9920e+00      1.2400e-01
   1.6350e-02      8.7660e-03      2.0280e+00      1.1900e-01
   1.8167e-02      9.5743e-03      2.1000e+00      1.1030e-01
   2.0438e-02      1.0555e-02      2.1940e+00      1.0130e-01
