#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.1917e-03      1.3818e-04      2.0520e+00      7.7040e+00
   1.3109e-03      1.4967e-04      2.1520e+00      7.6520e+00
   1.4301e-03      1.6099e-04      2.2480e+00      7.5940e+00
   1.5492e-03      1.7248e-04      2.3400e+00      7.5320e+00
   1.6684e-03      1.8380e-04      2.4280e+00      7.4660e+00
   1.7876e-03      1.9512e-04      2.5130e+00      7.3980e+00
   1.9068e-03      2.0661e-04      2.5960e+00      7.3290e+00
   2.0259e-03      2.1793e-04      2.5910e+00      7.2600e+00
   2.1451e-03      2.2958e-04      2.3360e+00      7.1900e+00
   2.3834e-03      2.5389e-04      2.0390e+00      7.0510e+00
   2.6814e-03      2.8569e-04      1.9050e+00      6.8810e+00
   2.9793e-03      3.1815e-04      1.9120e+00      6.7160e+00
   3.2772e-03      3.5128e-04      1.9910e+00      6.5580e+00
   3.5752e-03      3.8458e-04      2.1050e+00      6.4070e+00
   3.8731e-03      4.1804e-04      2.2330e+00      6.2620e+00
   4.1710e-03      4.5167e-04      2.3650e+00      6.1240e+00
   4.4690e-03      4.8513e-04      2.4940e+00      5.9930e+00
   4.7669e-03      5.1876e-04      2.6180e+00      5.8670e+00
   5.3628e-03      5.8619e-04      2.8440e+00      5.6330e+00
   5.9586e-03      6.5378e-04      3.0400e+00      5.4190e+00
   6.5545e-03      7.2154e-04      3.2110e+00      5.2240e+00
   7.1503e-03      7.8963e-04      3.3610e+00      5.0440e+00
   7.7462e-03      8.5806e-04      3.4950e+00      4.8780e+00
   8.3421e-03      9.2698e-04      3.6160e+00      4.7240e+00
   9.5338e-03      1.0655e-03      3.8330e+00      4.4490e+00
   1.0726e-02      1.2052e-03      4.0300e+00      4.2090e+00
   1.1917e-02      1.3457e-03      4.2160e+00      3.9980e+00
   1.3109e-02      1.4865e-03      4.3990e+00      3.8100e+00
   1.4301e-02      1.6275e-03      4.5830e+00      3.6420e+00
   1.5492e-02      1.7647e-03      4.7680e+00      3.4900e+00
   1.6684e-02      1.9146e-03      4.9570e+00      3.3530e+00
   1.7876e-02      2.0478e-03      5.1500e+00      3.2270e+00
   1.9068e-02      2.1809e-03      5.3460e+00      3.1130e+00
   2.0259e-02      2.3308e-03      5.5440e+00      3.0070e+00
   2.1451e-02      2.4640e-03      5.7440e+00      2.9090e+00
   2.3834e-02      2.7303e-03      6.1480e+00      2.7350e+00
   2.6814e-02      3.0467e-03      6.6520e+00      2.5480e+00
   2.9793e-02      3.3630e-03      7.1490e+00      2.3880e+00
   3.2772e-02      3.6626e-03      7.6360e+00      2.2500e+00
   3.5752e-02      3.9457e-03      8.1110e+00      2.1290e+00
   3.8731e-02      4.2287e-03      8.5720e+00      2.0220e+00
   4.1710e-02      4.5117e-03      9.0220e+00      1.9270e+00
   4.4690e-02      4.7614e-03      9.4600e+00      1.8410e+00
   4.7669e-02      5.0278e-03      9.8870e+00      1.7640e+00
