#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   5.7491e-03      3.7005e-04      5.4980e+00      1.0670e+01
   6.3241e-03      4.0395e-04      5.6720e+00      1.0440e+01
   6.8990e-03      4.3785e-04      5.8440e+00      1.0230e+01
   7.4739e-03      4.7188e-04      6.0140e+00      1.0010e+01
   8.0488e-03      5.0617e-04      6.1800e+00      9.8120e+00
   8.6237e-03      5.4047e-04      6.3410e+00      9.6170e+00
   9.1986e-03      5.7490e-04      6.4980e+00      9.4300e+00
   9.7735e-03      6.0946e-04      6.6490e+00      9.2510e+00
   1.0348e-02      6.4403e-04      6.7950e+00      9.0790e+00
   1.1498e-02      7.1355e-04      7.0740e+00      8.7560e+00
   1.2936e-02      8.0083e-04      7.3970e+00      8.3870e+00
   1.4373e-02      8.8850e-04      7.6950e+00      8.0530e+00
   1.5810e-02      9.7645e-04      7.9730e+00      7.7480e+00
   1.7247e-02      1.0648e-03      8.2340e+00      7.4680e+00
   1.8685e-02      1.1531e-03      8.4810e+00      7.2120e+00
   2.0122e-02      1.2417e-03      8.7160e+00      6.9750e+00
   2.1559e-02      1.3304e-03      8.9400e+00      6.7570e+00
   2.2997e-02      1.4146e-03      9.1560e+00      6.5530e+00
   2.5871e-02      1.6014e-03      9.5680e+00      6.1870e+00
   2.8746e-02      1.7749e-03      9.9600e+00      5.8660e+00
   3.1620e-02      1.9484e-03      1.0340e+01      5.5820e+00
   3.4495e-02      2.1218e-03      1.0710e+01      5.3280e+00
   3.7369e-02      2.2953e-03      1.1070e+01      5.1000e+00
   4.0244e-02      2.4688e-03      1.1430e+01      4.8940e+00
   4.5993e-02      2.8158e-03      1.2140e+01      4.5350e+00
   5.1742e-02      3.1494e-03      1.2840e+01      4.2320e+00
   5.7491e-02      3.4697e-03      1.3530e+01      3.9720e+00
   6.3241e-02      3.7900e-03      1.4220e+01      3.7470e+00
   6.8990e-02      4.0969e-03      1.4900e+01      3.5490e+00
   7.4739e-02      4.4038e-03      1.5580e+01      3.3740e+00
   8.0488e-02      4.6974e-03      1.6240e+01      3.2170e+00
   8.6237e-02      4.9910e-03      1.6890e+01      3.0770e+00
   9.1986e-02      5.2712e-03      1.7530e+01      2.9500e+00
   9.7735e-02      5.5381e-03      1.8160e+01      2.8340e+00
   1.0348e-01      5.8050e-03      1.8770e+01      2.7280e+00
   1.1498e-01      6.3255e-03      1.9960e+01      2.5410e+00
   1.2936e-01      6.9394e-03      2.1380e+01      2.3450e+00
   1.4373e-01      7.5265e-03      2.2720e+01      2.1800e+00
   1.5810e-01      8.0870e-03      2.3990e+01      2.0390e+00
   1.7247e-01      8.6208e-03      2.5190e+01      1.9170e+00
   1.8685e-01      9.1413e-03      2.6350e+01      1.8110e+00
   2.0122e-01      9.6350e-03      2.7450e+01      1.7170e+00
   2.1559e-01      1.0115e-02      2.8510e+01      1.6330e+00
   2.2997e-01      1.0583e-02      2.9530e+01      1.5580e+00
   2.5871e-01      1.1477e-02      3.1470e+01      1.4280e+00
   2.8746e-01      1.2317e-02      3.3300e+01      1.3210e+00
   3.1620e-01      1.3131e-02      3.5030e+01      1.2300e+00
   3.4495e-01      1.3905e-02      3.6670e+01      1.1520e+00
   3.7369e-01      1.4639e-02      3.8240e+01      1.0840e+00
   4.0244e-01      1.5360e-02      3.9750e+01      1.0250e+00
   4.5993e-01      1.6721e-02      4.2600e+01      9.2470e-01
   5.1742e-01      1.8002e-02      4.5250e+01      8.4400e-01
   5.7491e-01      1.9217e-02      4.7730e+01      7.7740e-01
   6.3241e-01      2.0364e-02      5.0050e+01      7.2140e-01
   6.8990e-01      2.1472e-02      5.2240e+01      6.7360e-01
   7.4739e-01      2.2540e-02      5.4300e+01      6.3220e-01
   8.0488e-01      2.3567e-02      5.6230e+01      5.9600e-01
   8.6237e-01      2.4555e-02      5.8060e+01      5.6410e-01
   9.1986e-01      2.5529e-02      5.9790e+01      5.3560e-01
   9.7735e-01      2.6463e-02      6.1410e+01      5.1020e-01
   1.0348e+00      2.7384e-02      6.2950e+01      4.8720e-01
   1.1498e+00      2.9159e-02      6.5770e+01      4.4740e-01
   1.2936e+00      3.1267e-02      6.8880e+01      4.0660e-01
   1.4373e+00      3.3309e-02      7.1580e+01      3.7300e-01
   1.5810e+00      3.5271e-02      7.3930e+01      3.4500e-01
   1.7247e+00      3.7179e-02      7.5970e+01      3.2120e-01
   1.8685e+00      3.9034e-02      7.7740e+01      3.0060e-01
   2.0122e+00      4.0862e-02      7.9300e+01      2.8270e-01
   2.1559e+00      4.2650e-02      8.0590e+01      2.6700e-01
   2.2997e+00      4.4425e-02      8.1320e+01      2.5300e-01
   2.5871e+00      4.7922e-02      8.2320e+01      2.2940e-01
   2.8746e+00      5.1378e-02      8.3190e+01      2.1000e-01
   3.1620e+00      5.4821e-02      8.3700e+01      1.9380e-01
   3.4495e+00      5.8237e-02      8.3940e+01      1.8010e-01
   3.7369e+00      6.1653e-02      8.3960e+01      1.6830e-01
   4.0244e+00      6.5070e-02      8.3830e+01      1.5810e-01
   4.5993e+00      7.1942e-02      8.3210e+01      1.4120e-01
   5.1742e+00      7.8882e-02      8.2300e+01      1.2770e-01
   5.7491e+00      8.5901e-02      8.1230e+01      1.1670e-01
   6.3241e+00      9.3014e-02      8.0080e+01      1.0750e-01
   6.8990e+00      1.0025e-01      7.8900e+01      9.9800e-02
   7.4739e+00      1.0757e-01      7.7720e+01      9.3160e-02
   8.0488e+00      1.1502e-01      7.6570e+01      8.7400e-02
   8.6237e+00      1.2257e-01      7.5450e+01      8.2350e-02
   9.1986e+00      1.3025e-01      7.4380e+01      7.7880e-02
   9.7735e+00      1.3801e-01      7.3340e+01      7.3900e-02
   1.0348e+01      1.4590e-01      7.2350e+01      7.0330e-02
   1.1498e+01      1.6199e-01      7.0490e+01      6.4180e-02
   1.2936e+01      1.8268e-01      6.8380e+01      5.7930e-02
   1.4373e+01      2.0399e-01      6.6460e+01      5.2850e-02
   1.5810e+01      2.2589e-01      6.4690e+01      4.8620e-02
   1.7247e+01      2.4839e-01      6.3050e+01      4.5060e-02
   1.8685e+01      2.7145e-01      6.1500e+01      4.2010e-02
   2.0122e+01      2.9510e-01      6.0020e+01      3.9360e-02
   2.1559e+01      3.1932e-01      5.8590e+01      3.7050e-02
   2.2997e+01      3.4414e-01      5.7210e+01      3.5000e-02
   2.5871e+01      3.9560e-01      5.4500e+01      3.1550e-02
   2.8746e+01      4.4966e-01      5.1860e+01      2.8750e-02
   3.1620e+01      5.0648e-01      4.9340e+01      2.6430e-02
   3.4495e+01      5.6610e-01      4.7090e+01      2.4470e-02
   3.7369e+01      6.2849e-01      4.5050e+01      2.2790e-02
   4.0244e+01      6.9363e-01      4.3210e+01      2.1340e-02
   4.5993e+01      8.3189e-01      4.0010e+01      1.8950e-02
   5.1742e+01      9.8070e-01      3.7310e+01      1.7070e-02
   5.7491e+01      1.1398e+00      3.5010e+01      1.5540e-02
