#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   3.4722e+01      3.7389e+02      5.2280e-02      5.8100e-06
   3.7202e+01      4.2264e+02      4.9520e-02      5.4590e-06
   3.9683e+01      4.7404e+02      4.7080e-02      5.1500e-06
   4.4643e+01      5.8443e+02      4.2960e-02      4.6290e-06
   4.9603e+01      7.0480e+02      3.9580e-02      4.2080e-06
   5.4563e+01      8.3490e+02      3.6764e-02      3.8590e-06
   5.9524e+01      9.7450e+02      3.4384e-02      3.5660e-06
   6.4484e+01      1.1233e+03      3.2340e-02      3.3160e-06
   6.9444e+01      1.2811e+03      3.0564e-02      3.1000e-06
   7.9365e+01      1.6229e+03      2.7636e-02      2.7460e-06
   8.9286e+01      1.9983e+03      2.5312e-02      2.4670e-06
   9.9206e+01      2.4059e+03      2.3428e-02      2.2410e-06
   1.0913e+02      2.8447e+03      2.1860e-02      2.0540e-06
   1.1905e+02      3.3130e+03      2.0540e-02      1.8970e-06
   1.2897e+02      3.8100e+03      1.9412e-02      1.7630e-06
   1.3889e+02      4.3345e+03      1.8436e-02      1.6480e-06
   1.4881e+02      4.8855e+03      1.7584e-02      1.5470e-06
   1.5873e+02      5.4622e+03      1.6832e-02      1.4580e-06
   1.6865e+02      6.0636e+03      1.6168e-02      1.3800e-06
   1.7857e+02      6.6890e+03      1.5568e-02      1.3090e-06
   1.9841e+02      8.0079e+03      1.4548e-02      1.1890e-06
   2.2321e+02      9.7773e+03      1.3520e-02      1.0670e-06
   2.4802e+02      1.1672e+04      1.2692e-02      9.6850e-07
   2.7282e+02      1.3682e+04      1.2008e-02      8.8730e-07
   2.9762e+02      1.5798e+04      1.1440e-02      8.1900e-07
   3.2242e+02      1.8014e+04      1.0956e-02      7.6090e-07
   3.4722e+02      2.0321e+04      1.0544e-02      7.1070e-07
   3.7202e+02      2.2715e+04      1.0184e-02      6.6700e-07
   3.9683e+02      2.5189e+04      9.8720e-03      6.2840e-07
   4.4643e+02      3.0353e+04      9.3520e-03      5.6380e-07
   4.9603e+02      3.5778e+04      8.9400e-03      5.1150e-07
   5.4563e+02      4.1433e+04      8.6080e-03      4.6850e-07
   5.9524e+02      4.7290e+04      8.3360e-03      4.3230e-07
   6.4484e+02      5.3324e+04      8.1080e-03      4.0140e-07
   6.9444e+02      5.9515e+04      7.9160e-03      3.7490e-07
   7.9365e+02      7.2294e+04      7.6160e-03      3.3130e-07
   8.9286e+02      8.5517e+04      7.3920e-03      2.9700e-07
   9.9206e+02      9.9097e+04      7.2200e-03      2.6940e-07
