#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   5.5264e-03      3.7137e-04      3.8180e+00      1.1310e+01
   6.0791e-03      4.0588e-04      4.0000e+00      1.1090e+01
   6.6317e-03      4.4064e-04      4.1910e+00      1.0880e+01
   7.1844e-03      4.7541e-04      4.3840e+00      1.0660e+01
   7.7370e-03      5.1030e-04      4.5770e+00      1.0460e+01
   8.2897e-03      5.4519e-04      4.7670e+00      1.0270e+01
   8.8423e-03      5.8021e-04      4.9530e+00      1.0080e+01
   9.3950e-03      6.1523e-04      5.1330e+00      9.8950e+00
   9.9476e-03      6.5025e-04      5.3070e+00      9.7210e+00
   1.1053e-02      7.2055e-04      5.6360e+00      9.3910e+00
   1.2435e-02      8.0842e-04      6.0120e+00      9.0120e+00
   1.3816e-02      8.9655e-04      6.3540e+00      8.6660e+00
   1.5198e-02      9.8493e-04      6.6650e+00      8.3500e+00
   1.6579e-02      1.0733e-03      6.9510e+00      8.0590e+00
   1.7961e-02      1.1620e-03      7.2140e+00      7.7920e+00
   1.9343e-02      1.2507e-03      7.4590e+00      7.5440e+00
   2.0724e-02      1.3341e-03      7.6890e+00      7.3150e+00
   2.2106e-02      1.4239e-03      7.9060e+00      7.1010e+00
   2.4869e-02      1.6035e-03      8.3110e+00      6.7150e+00
   2.7632e-02      1.7831e-03      8.6880e+00      6.3750e+00
   3.0395e-02      1.9627e-03      9.0470e+00      6.0730e+00
   3.3159e-02      2.1423e-03      9.3960e+00      5.8030e+00
   3.5922e-02      2.3219e-03      9.7380e+00      5.5600e+00
   3.8685e-02      2.4886e-03      1.0080e+01      5.3400e+00
   4.4212e-02      2.8350e-03      1.0760e+01      4.9550e+00
   4.9738e-02      3.1813e-03      1.1450e+01      4.6290e+00
   5.5264e-02      3.5149e-03      1.2150e+01      4.3500e+00
   6.0791e-02      3.8356e-03      1.2870e+01      4.1070e+00
   6.6317e-02      4.1434e-03      1.3590e+01      3.8930e+00
   7.1844e-02      4.4513e-03      1.4310e+01      3.7040e+00
   7.7370e-02      4.7464e-03      1.5040e+01      3.5350e+00
   8.2897e-02      5.0414e-03      1.5760e+01      3.3820e+00
   8.8423e-02      5.3236e-03      1.6470e+01      3.2440e+00
   9.3950e-02      5.5930e-03      1.7180e+01      3.1180e+00
   9.9476e-02      5.8496e-03      1.7880e+01      3.0030e+00
   1.1053e-01      6.3627e-03      1.9240e+01      2.8000e+00
   1.2435e-01      6.9656e-03      2.0870e+01      2.5850e+00
