#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   3.4722e+01      1.0511e+03      1.8150e-02      9.8760e-06
   3.7202e+01      1.1912e+03      1.7160e-02      9.2710e-06
   3.9683e+01      1.3395e+03      1.6290e-02      8.7390e-06
   4.4643e+01      1.6586e+03      1.4810e-02      7.8440e-06
   4.9603e+01      2.0076e+03      1.3610e-02      7.1210e-06
   5.4563e+01      2.3859e+03      1.2610e-02      6.5250e-06
   5.9524e+01      2.7927e+03      1.1770e-02      6.0230e-06
   6.4484e+01      3.2274e+03      1.1050e-02      5.5960e-06
   6.9444e+01      3.6887e+03      1.0430e-02      5.2270e-06
   7.9365e+01      4.6901e+03      9.4000e-03      4.6220e-06
   8.9286e+01      5.7929e+03      8.5900e-03      4.1470e-06
   9.9206e+01      6.9937e+03      7.9340e-03      3.7630e-06
   1.0913e+02      8.2883e+03      7.3910e-03      3.4460e-06
   1.1905e+02      9.6728e+03      6.9340e-03      3.1800e-06
   1.2897e+02      1.1144e+04      6.5450e-03      2.9530e-06
   1.3889e+02      1.2699e+04      6.2080e-03      2.7580e-06
   1.4881e+02      1.4334e+04      5.9150e-03      2.5870e-06
   1.5873e+02      1.6048e+04      5.6560e-03      2.4370e-06
   1.6865e+02      1.7837e+04      5.4270e-03      2.3040e-06
   1.7857e+02      1.9699e+04      5.2230e-03      2.1860e-06
   1.9841e+02      2.3628e+04      4.8730e-03      1.9820e-06
   2.2321e+02      2.8908e+04      4.5220e-03      1.7770e-06
   2.4802e+02      3.4569e+04      4.2390e-03      1.6120e-06
   2.7282e+02      4.0583e+04      4.0070e-03      1.4750e-06
   2.9762e+02      4.6924e+04      3.8130e-03      1.3610e-06
   3.2242e+02      5.3568e+04      3.6490e-03      1.2630e-06
   3.4722e+02      6.0495e+04      3.5080e-03      1.1790e-06
   3.7202e+02      6.7685e+04      3.3870e-03      1.1060e-06
   3.9683e+02      7.4835e+04      3.2810e-03      1.0420e-06
   4.4643e+02      9.0482e+04      3.1050e-03      9.3350e-07
   4.9603e+02      1.0681e+05      2.9660e-03      8.4630e-07
   5.4563e+02      1.2382e+05      2.8530e-03      7.7440e-07
   5.9524e+02      1.4151e+05      2.7610e-03      7.1410e-07
   6.4484e+02      1.5987e+05      2.6840e-03      6.6280e-07
   6.9444e+02      1.7892e+05      2.6190e-03      6.1850e-07
   7.9365e+02      2.1702e+05      2.5180e-03      5.4610e-07
   8.9286e+02      2.5716e+05      2.4420e-03      4.8920e-07
   9.9206e+02      2.9798e+05      2.3850e-03      4.4330e-07
