#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.0763e-03      1.4940e-04      8.8790e-01      6.7400e+00
   1.1839e-03      1.6164e-04      9.3130e-01      6.7400e+00
   1.2916e-03      1.7388e-04      9.7270e-01      6.7300e+00
   1.3992e-03      1.8613e-04      1.0120e+00      6.7130e+00
   1.5068e-03      1.9837e-04      1.0510e+00      6.6910e+00
   1.6145e-03      2.1061e-04      1.0870e+00      6.6640e+00
   1.7221e-03      2.2260e-04      1.1230e+00      6.6340e+00
   1.8297e-03      2.3484e-04      1.1580e+00      6.6020e+00
   1.9374e-03      2.4709e-04      1.1910e+00      6.5670e+00
   2.1526e-03      2.7182e-04      1.2670e+00      6.4930e+00
   2.4217e-03      3.0255e-04      1.3600e+00      6.3950e+00
   2.6908e-03      3.3353e-04      1.4460e+00      6.2940e+00
   2.9599e-03      3.6476e-04      1.5260e+00      6.1920e+00
   3.2289e-03      3.9599e-04      1.6020e+00      6.0910e+00
   3.4980e-03      4.2746e-04      1.6750e+00      5.9910e+00
   3.7671e-03      4.5919e-04      1.7460e+00      5.8930e+00
   4.0362e-03      4.9117e-04      1.8170e+00      5.7980e+00
   4.3052e-03      5.2315e-04      1.8860e+00      5.7050e+00
   4.8434e-03      5.8761e-04      2.0220e+00      5.5280e+00
   5.3816e-03      6.5256e-04      2.1530e+00      5.3610e+00
   5.9197e-03      7.1827e-04      2.2790e+00      5.2040e+00
   6.4579e-03      7.8423e-04      2.4000e+00      5.0580e+00
   6.9960e-03      8.5043e-04      2.5170e+00      4.9200e+00
   7.5342e-03      9.1714e-04      2.6290e+00      4.7900e+00
   8.6105e-03      1.0510e-03      2.8430e+00      4.5530e+00
   9.6868e-03      1.1860e-03      3.0460e+00      4.3420e+00
   1.0763e-02      1.3214e-03      3.2410e+00      4.1520e+00
   1.1839e-02      1.4568e-03      3.4290e+00      3.9810e+00
   1.2916e-02      1.5922e-03      3.6110e+00      3.8260e+00
   1.3992e-02      1.7273e-03      3.7890e+00      3.6850e+00
   1.5068e-02      1.8620e-03      3.9630e+00      3.5550e+00
   1.6145e-02      1.9962e-03      4.1340e+00      3.4350e+00
   1.7221e-02      2.1296e-03      4.3010e+00      3.3250e+00
   1.8297e-02      2.2622e-03      4.4660e+00      3.2230e+00
   1.9374e-02      2.3939e-03      4.6280e+00      3.1280e+00
   2.1526e-02      2.6482e-03      4.9450e+00      2.9560e+00
   2.4217e-02      2.9730e-03      5.3300e+00      2.7700e+00
   2.6908e-02      3.2978e-03      5.7030e+00      2.6090e+00
   2.9599e-02      3.5976e-03      6.0650e+00      2.4690e+00
   3.2289e-02      3.8974e-03      6.4170e+00      2.3450e+00
   3.4980e-02      4.1722e-03      6.7610e+00      2.2350e+00
   3.7671e-02      4.4720e-03      7.0960e+00      2.1360e+00
   4.0362e-02      4.7468e-03      7.4240e+00      2.0470e+00
   4.3052e-02      5.0216e-03      7.7450e+00      1.9650e+00
   4.8434e-02      5.5463e-03      8.3680e+00      1.8240e+00
   5.3816e-02      6.0460e-03      8.9680e+00      1.7030e+00
   5.9197e-02      6.5206e-03      9.5470e+00      1.6000e+00
   6.4579e-02      6.9703e-03      1.0110e+01      1.5100e+00
   6.9960e-02      7.4200e-03      1.0650e+01      1.4300e+00
   7.5342e-02      7.8448e-03      1.1180e+01      1.3600e+00
   8.6105e-02      8.6692e-03      1.2190e+01      1.2400e+00
   9.6868e-02      9.4187e-03      1.3150e+01      1.1420e+00
   1.0763e-01      1.0143e-02      1.4050e+01      1.0600e+00
   1.1839e-01      1.0843e-02      1.4910e+01      9.9000e-01
   1.2916e-01      1.1492e-02      1.5710e+01      9.2970e-01
   1.3992e-01      1.2117e-02      1.6480e+01      8.7700e-01
   1.5068e-01      1.2717e-02      1.7200e+01      8.3060e-01
   1.6145e-01      1.3291e-02      1.7890e+01      7.8940e-01
   1.7221e-01      1.3841e-02      1.8550e+01      7.5240e-01
   1.8297e-01      1.4390e-02      1.9170e+01      7.1920e-01
   1.9374e-01      1.4915e-02      1.9760e+01      6.8900e-01
   2.1526e-01      1.5939e-02      2.0860e+01      6.3640e-01
   2.4217e-01      1.7164e-02      2.2110e+01      5.8180e-01
