#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   2.4981e-03      4.6485e-03      4.0380e-01      7.5250e-02
   2.7479e-03      5.0708e-03      4.2370e-01      7.1200e-02
   2.9978e-03      5.4861e-03      4.4270e-01      6.7620e-02
   3.2476e-03      5.8944e-03      4.6100e-01      6.4440e-02
   3.4974e-03      6.2923e-03      4.7860e-01      6.1580e-02
   3.7472e-03      6.6831e-03      4.9550e-01      5.9010e-02
   3.9970e-03      7.0705e-03      5.1200e-01      5.6670e-02
   4.2468e-03      7.4474e-03      5.2790e-01      5.4540e-02
   4.4966e-03      7.8173e-03      5.4330e-01      5.2580e-02
   4.9963e-03      8.5432e-03      5.7290e-01      4.9110e-02
   5.6208e-03      9.4192e-03      6.0760e-01      4.5440e-02
   6.2453e-03      1.0264e-02      6.4020e-01      4.2350e-02
   6.8698e-03      1.1080e-02      6.7090e-01      3.9700e-02
   7.4944e-03      1.1873e-02      6.9970e-01      3.7400e-02
   8.1189e-03      1.2640e-02      7.2690e-01      3.5380e-02
   8.7434e-03      1.3387e-02      7.5260e-01      3.3600e-02
   9.3680e-03      1.4120e-02      7.7700e-01      3.2000e-02
   9.9925e-03      1.4832e-02      8.0000e-01      3.0570e-02
   1.1242e-02      1.6214e-02      8.4260e-01      2.8090e-02
   1.2491e-02      1.7544e-02      8.8150e-01      2.6030e-02
   1.3740e-02      1.8831e-02      9.1750e-01      2.4280e-02
   1.4989e-02      2.0077e-02      9.5130e-01      2.2770e-02
   1.6238e-02      2.1288e-02      9.8340e-01      2.1460e-02
   1.7487e-02      2.2468e-02      1.0140e+00      2.0300e-02
   1.9985e-02      2.4740e-02      1.0730e+00      1.8360e-02
   2.2483e-02      2.6907e-02      1.1300e+00      1.6790e-02
   2.4981e-02      2.8980e-02      1.1830e+00      1.5490e-02
   2.7479e-02      3.0973e-02      1.2340e+00      1.4390e-02
   2.9978e-02      3.2896e-02      1.2820e+00      1.3450e-02
   3.2476e-02      3.4752e-02      1.3280e+00      1.2630e-02
   3.4974e-02      3.6644e-02      1.3720e+00      1.1920e-02
   3.7472e-02      3.8389e-02      1.4130e+00      1.1290e-02
