#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   2.8597e-03      7.2335e-04      1.6010e+00      1.9510e+00
   3.1456e-03      7.9520e-04      1.6540e+00      1.8830e+00
   3.4316e-03      8.6777e-04      1.6940e+00      1.8210e+00
   3.7176e-03      9.4112e-04      1.7230e+00      1.7630e+00
   4.0035e-03      1.0154e-03      1.7430e+00      1.7090e+00
   4.2895e-03      1.0906e-03      1.7570e+00      1.6590e+00
   4.5755e-03      1.1669e-03      1.7660e+00      1.6130e+00
   4.8614e-03      1.2443e-03      1.7720e+00      1.5690e+00
   5.1474e-03      1.3227e-03      1.7750e+00      1.5280e+00
   5.7194e-03      1.4827e-03      1.7800e+00      1.4530e+00
   6.4343e-03      1.6881e-03      1.7850e+00      1.3710e+00
   7.1492e-03      1.8989e-03      1.7950e+00      1.2990e+00
   7.8641e-03      2.1141e-03      1.8120e+00      1.2360e+00
   8.5790e-03      2.3328e-03      1.8340e+00      1.1790e+00
   9.2939e-03      2.5541e-03      1.8620e+00      1.1280e+00
   1.0009e-02      2.7771e-03      1.8960e+00      1.0820e+00
   1.0724e-02      3.0012e-03      1.9350e+00      1.0400e+00
   1.1439e-02      3.2257e-03      1.9770e+00      1.0020e+00
   1.2869e-02      3.6818e-03      2.0730e+00      9.3430e-01
   1.4298e-02      4.1108e-03      2.1810e+00      8.7660e-01
   1.5728e-02      4.5397e-03      2.2980e+00      8.2650e-01
   1.7158e-02      4.9687e-03      2.4230e+00      7.8260e-01
   1.8588e-02      5.3976e-03      2.5540e+00      7.4370e-01
   2.0018e-02      5.7908e-03      2.6900e+00      7.0910e-01
   2.2877e-02      6.5773e-03      2.9730e+00      6.4970e-01
   2.5737e-02      7.2922e-03      3.2650e+00      6.0060e-01
   2.8597e-02      8.0071e-03      3.5610e+00      5.5930e-01
   3.1456e-02      8.6505e-03      3.8570e+00      5.2390e-01
   3.4316e-02      9.2582e-03      4.1510e+00      4.9330e-01
   3.7176e-02      9.8301e-03      4.4420e+00      4.6640e-01
   4.0035e-02      1.0402e-02      4.7280e+00      4.4260e-01
   4.2895e-02      1.0903e-02      5.0090e+00      4.2140e-01
   4.5755e-02      1.1403e-02      5.2840e+00      4.0240e-01
   4.8614e-02      1.1903e-02      5.5530e+00      3.8520e-01
   5.1474e-02      1.2368e-02      5.8170e+00      3.6950e-01
   5.7194e-02      1.3226e-02      6.3280e+00      3.4220e-01
   6.4343e-02      1.4227e-02      6.9360e+00      3.1370e-01
   7.1492e-02      1.5156e-02      7.5140e+00      2.9000e-01
   7.8641e-02      1.6050e-02      8.0640e+00      2.7000e-01
   8.5790e-02      1.6872e-02      8.5890e+00      2.5280e-01
   9.2939e-02      1.7623e-02      9.0910e+00      2.3790e-01
   1.0009e-01      1.8373e-02      9.5720e+00      2.2480e-01
   1.0724e-01      1.9088e-02      1.0030e+01      2.1320e-01
   1.1439e-01      1.9768e-02      1.0480e+01      2.0280e-01
   1.2869e-01      2.1054e-02      1.1310e+01      1.8510e-01
   1.4298e-01      2.2234e-02      1.2080e+01      1.7040e-01
   1.5728e-01      2.3342e-02      1.2800e+01      1.5810e-01
   1.7158e-01      2.4414e-02      1.3460e+01      1.4760e-01
   1.8588e-01      2.5451e-02      1.4070e+01      1.3850e-01
   2.0018e-01      2.6452e-02      1.4630e+01      1.3060e-01
   2.2877e-01      2.8311e-02      1.5630e+01      1.1730e-01
   2.5737e-01      3.0062e-02      1.6470e+01      1.0670e-01
   2.8597e-01      3.1742e-02      1.7190e+01      9.7990e-02
   3.1456e-01      3.3351e-02      1.7800e+01      9.0670e-02
   3.4316e-01      3.4924e-02      1.8320e+01      8.4450e-02
   3.7176e-01      3.6461e-02      1.8770e+01      7.9090e-02
   4.0035e-01      3.7962e-02      1.9140e+01      7.4420e-02
   4.2895e-01      3.9428e-02      1.9460e+01      7.0300e-02
   4.5755e-01      4.0893e-02      1.9740e+01      6.6650e-02
   4.8614e-01      4.2323e-02      1.9970e+01      6.3390e-02
   5.1474e-01      4.3753e-02      2.0170e+01      6.0450e-02
   5.7194e-01      4.6541e-02      2.0480e+01      5.5370e-02
   6.4343e-01      5.0009e-02      2.0730e+01      5.0180e-02
   7.1492e-01      5.3440e-02      2.0890e+01      4.5940e-02
   7.8641e-01      5.6836e-02      2.0960e+01      4.2400e-02
   8.5790e-01      6.0232e-02      2.0980e+01      3.9400e-02
   9.2939e-01      6.3628e-02      2.0950e+01      3.6820e-02
   1.0009e+00      6.7059e-02      2.0890e+01      3.4580e-02
   1.0724e+00      7.0455e-02      2.0800e+01      3.2610e-02
   1.1439e+00      7.3923e-02      2.0680e+01      3.0870e-02
   1.2869e+00      8.0857e-02      2.0410e+01      2.7920e-02
   1.4298e+00      8.7899e-02      2.0090e+01      2.5510e-02
   1.5728e+00      9.5084e-02      1.9750e+01      2.3510e-02
   1.7158e+00      1.0238e-01      1.9390e+01      2.1820e-02
   1.8588e+00      1.0981e-01      1.9030e+01      2.0370e-02
   2.0018e+00      1.1739e-01      1.8660e+01      1.9100e-02
   2.2877e+00      1.3294e-01      1.8040e+01      1.7020e-02
   2.5737e+00      1.4913e-01      1.7320e+01      1.5370e-02
   2.8597e+00      1.6593e-01      1.6700e+01      1.4030e-02
   3.1456e+00      1.8334e-01      1.6110e+01      1.2910e-02
   3.4316e+00      2.0139e-01      1.5560e+01      1.1970e-02
   3.7176e+00      2.2009e-01      1.5040e+01      1.1160e-02
   4.0035e+00      2.3939e-01      1.4550e+01      1.0460e-02
   4.2895e+00      2.5937e-01      1.4100e+01      9.8450e-03
   4.5755e+00      2.7993e-01      1.3680e+01      9.3030e-03
   4.8614e+00      3.0112e-01      1.3290e+01      8.8210e-03
   5.1474e+00      3.2293e-01      1.2920e+01      8.3890e-03
   5.7194e+00      3.6840e-01      1.2250e+01      7.6460e-03
   6.4343e+00      4.2852e-01      1.1530e+01      6.8920e-03
   7.1492e+00      4.9222e-01      1.0910e+01      6.2800e-03
   7.8641e+00      5.5946e-01      1.0360e+01      5.7720e-03
