#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.9631e-03      3.8437e-04      1.3300e+00      3.4100e+00
   2.1594e-03      4.2180e-04      1.3410e+00      3.3300e+00
   2.3557e-03      4.5983e-04      1.3630e+00      3.2530e+00
   2.5520e-03      4.9836e-04      1.4010e+00      3.1790e+00
   2.7483e-03      5.3720e-04      1.4470e+00      3.1090e+00
   2.9446e-03      5.7632e-04      1.4970e+00      3.0420e+00
   3.1410e-03      6.1565e-04      1.5480e+00      2.9780e+00
   3.3373e-03      6.5516e-04      1.5970e+00      2.9170e+00
   3.5336e-03      6.9481e-04      1.6450e+00      2.8590e+00
   3.9262e-03      7.7469e-04      1.7310e+00      2.7500e+00
   4.4170e-03      8.7552e-04      1.8220e+00      2.6270e+00
   4.9077e-03      9.7747e-04      1.8950e+00      2.5160e+00
   5.3985e-03      1.0807e-03      1.9530e+00      2.4150e+00
   5.8893e-03      1.1852e-03      2.0010e+00      2.3240e+00
   6.3801e-03      1.2910e-03      2.0400e+00      2.2400e+00
   6.8708e-03      1.3982e-03      2.0720e+00      2.1630e+00
   7.3616e-03      1.5068e-03      2.1000e+00      2.0920e+00
   7.8524e-03      1.6166e-03      2.1250e+00      2.0270e+00
   8.8339e-03      1.8400e-03      2.1690e+00      1.9090e+00
   9.8155e-03      2.0677e-03      2.2110e+00      1.8060e+00
   1.0797e-02      2.2991e-03      2.2540e+00      1.7160e+00
   1.1779e-02      2.5275e-03      2.2990e+00      1.6350e+00
   1.2760e-02      2.7729e-03      2.3490e+00      1.5630e+00
   1.3742e-02      3.0183e-03      2.4040e+00      1.4980e+00
   1.5705e-02      3.4845e-03      2.5280e+00      1.3850e+00
   1.7668e-02      3.9507e-03      2.6720e+00      1.2900e+00
   1.9631e-02      4.4170e-03      2.8350e+00      1.2090e+00
   2.1594e-02      4.8832e-03      3.0130e+00      1.1390e+00
   2.3557e-02      5.3249e-03      3.2060e+00      1.0770e+00
   2.5520e-02      5.7666e-03      3.4100e+00      1.0230e+00
   2.7483e-02      6.1837e-03      3.6230e+00      9.7490e-01
   2.9446e-02      6.5764e-03      3.8450e+00      9.3150e-01
   3.1410e-02      6.9690e-03      4.0730e+00      8.9220e-01
   3.3373e-02      7.3616e-03      4.3070e+00      8.5660e-01
   3.5336e-02      7.7051e-03      4.5460e+00      8.2410e-01
   3.9262e-02      8.3922e-03      5.0320e+00      7.6670e-01
   4.4170e-02      9.1775e-03      5.6520e+00      7.0660e-01
   4.9077e-02      9.9136e-03      6.2760e+00      6.5610e-01
   5.3985e-02      1.0576e-02      6.8990e+00      6.1320e-01
   5.8893e-02      1.1190e-02      7.5150e+00      5.7610e-01
   6.3801e-02      1.1754e-02      8.1220e+00      5.4370e-01
   6.8708e-02      1.2294e-02      8.7170e+00      5.1510e-01
   7.3616e-02      1.2809e-02      9.2990e+00      4.8970e-01
   7.8524e-02      1.3275e-02      9.8660e+00      4.6690e-01
   8.8339e-02      1.4183e-02      1.0950e+01      4.2780e-01
   9.8155e-02      1.4993e-02      1.1980e+01      3.9530e-01
   1.0797e-01      1.5754e-02      1.2940e+01      3.6780e-01
   1.1779e-01      1.6465e-02      1.3840e+01      3.4430e-01
   1.2760e-01      1.7128e-02      1.4680e+01      3.2380e-01
   1.3742e-01      1.7766e-02      1.5460e+01      3.0590e-01
   1.5705e-01      1.8944e-02      1.6880e+01      2.7580e-01
   1.7668e-01      2.0048e-02      1.8130e+01      2.5160e-01
   1.9631e-01      2.1079e-02      1.9210e+01      2.3160e-01
   2.1594e-01      2.2060e-02      2.0170e+01      2.1480e-01
   2.3557e-01      2.2993e-02      2.1020e+01      2.0040e-01
   2.5520e-01      2.3901e-02      2.1770e+01      1.8810e-01
   2.7483e-01      2.4784e-02      2.2440e+01      1.7720e-01
   2.9446e-01      2.5643e-02      2.3030e+01      1.6770e-01
   3.1410e-01      2.6477e-02      2.3570e+01      1.5920e-01
   3.3373e-01      2.7287e-02      2.4060e+01      1.5160e-01
   3.5336e-01      2.8097e-02      2.4500e+01      1.4470e-01
   3.9262e-01      2.9643e-02      2.5270e+01      1.3280e-01
   4.4170e-01      3.1557e-02      2.6070e+01      1.2060e-01
   4.9077e-01      3.3397e-02      2.6710e+01      1.1060e-01
   5.3985e-01      3.5213e-02      2.7250e+01      1.0230e-01
   5.8893e-01      3.6980e-02      2.7700e+01      9.5180e-02
   6.3801e-01      3.8747e-02      2.8080e+01      8.9060e-02
   6.8708e-01      4.0464e-02      2.8390e+01      8.3740e-02
   7.3616e-01      4.2182e-02      2.8660e+01      7.9060e-02
   7.8524e-01      4.3875e-02      2.8880e+01      7.4910e-02
   8.8339e-01      4.7261e-02      2.9220e+01      6.7870e-02
   9.8155e-01      5.0599e-02      2.9440e+01      6.2110e-02
   1.0797e+00      5.3911e-02      2.9570e+01      5.7320e-02
   1.1779e+00      5.7224e-02      2.9620e+01      5.3250e-02
   1.2760e+00      6.0537e-02      2.9610e+01      4.9760e-02
   1.3742e+00      6.3825e-02      2.9550e+01      4.6720e-02
   1.5705e+00      7.0500e-02      2.9310e+01      4.1700e-02
   1.7668e+00      7.7223e-02      2.8950e+01      3.7700e-02
   1.9631e+00      8.4045e-02      2.8520e+01      3.4450e-02
   2.1594e+00      9.0965e-02      2.8200e+01      3.1740e-02
   2.3557e+00      9.7983e-02      2.7640e+01      2.9450e-02
   2.5520e+00      1.0515e-01      2.7110e+01      2.7480e-02
   2.7483e+00      1.1244e-01      2.6610e+01      2.5780e-02
   2.9446e+00      1.1990e-01      2.6110e+01      2.4290e-02
   3.1410e+00      1.2748e-01      2.5620e+01      2.2960e-02
   3.3373e+00      1.3521e-01      2.5120e+01      2.1790e-02
   3.5336e+00      1.4309e-01      2.4640e+01      2.0730e-02
   3.9262e+00      1.5931e-01      2.3710e+01      1.8920e-02
   4.4170e+00      1.8048e-01      2.2630e+01      1.7070e-02
   4.9077e+00      2.0266e-01      2.1630e+01      1.5570e-02
   5.3985e+00      2.2583e-01      2.0730e+01      1.4320e-02
