#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.2671e-03      1.5719e-04      1.2950e+00      7.4170e+00
   1.3938e-03      1.7082e-04      1.3580e+00      7.3560e+00
   1.5205e-03      1.8445e-04      1.4190e+00      7.2900e+00
   1.6472e-03      1.9808e-04      1.4770e+00      7.2210e+00
   1.7739e-03      2.1171e-04      1.5320e+00      7.1490e+00
   1.9007e-03      2.2552e-04      1.5860e+00      7.0760e+00
   2.0274e-03      2.3932e-04      1.6470e+00      7.0030e+00
   2.1541e-03      2.5295e-04      1.7290e+00      6.9290e+00
   2.2808e-03      2.6676e-04      1.7970e+00      6.8560e+00
   2.5342e-03      2.9455e-04      1.9050e+00      6.7110e+00
   2.8510e-03      3.2942e-04      2.0110e+00      6.5360e+00
   3.1678e-03      3.6465e-04      2.1040e+00      6.3680e+00
   3.4845e-03      4.0041e-04      2.1900e+00      6.2080e+00
   3.8013e-03      4.3634e-04      2.2760e+00      6.0550e+00
   4.1181e-03      4.7263e-04      2.3610e+00      5.9110e+00
   4.4349e-03      5.0927e-04      2.4480e+00      5.7730e+00
   4.7516e-03      5.4609e-04      2.5350e+00      5.6430e+00
   5.0684e-03      5.8326e-04      2.6230e+00      5.5180e+00
   5.7020e-03      6.5796e-04      2.7990e+00      5.2880e+00
   6.3355e-03      7.3319e-04      2.9740e+00      5.0790e+00
   6.9691e-03      8.0878e-04      3.1460e+00      4.8880e+00
   7.6026e-03      8.8454e-04      3.3120e+00      4.7130e+00
   8.2362e-03      9.6048e-04      3.4720e+00      4.5530e+00
   8.8697e-03      1.0366e-03      3.6250e+00      4.4040e+00
   1.0137e-02      1.1887e-03      3.9110e+00      4.1400e+00
   1.1404e-02      1.3405e-03      4.1700e+00      3.9100e+00
   1.2671e-02      1.4921e-03      4.4080e+00      3.7080e+00
   1.3938e-02      1.6432e-03      4.6280e+00      3.5300e+00
   1.5205e-02      1.7878e-03      4.8360e+00      3.3700e+00
