#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   6.7568e-03      5.1929e-04      4.1240e+00      8.6060e+00
   7.4324e-03      5.6964e-04      4.2330e+00      8.3760e+00
   8.1081e-03      6.2045e-04      4.3240e+00      8.1580e+00
   8.7838e-03      6.7189e-04      4.4040e+00      7.9520e+00
   9.4595e-03      7.2396e-04      4.4770e+00      7.7570e+00
   1.0135e-02      7.7666e-04      4.5470e+00      7.5730e+00
   1.0811e-02      8.2983e-04      4.6140e+00      7.3980e+00
   1.1486e-02      8.8347e-04      4.6810e+00      7.2320e+00
   1.2162e-02      9.3773e-04      4.7490e+00      7.0750e+00
   1.3514e-02      1.0474e-03      4.8870e+00      6.7830e+00
   1.5203e-02      1.1865e-03      5.0690e+00      6.4560e+00
   1.6892e-02      1.3273e-03      5.2600e+00      6.1640e+00
   1.8581e-02      1.4696e-03      5.4600e+00      5.9010e+00
   2.0270e-02      1.6154e-03      5.6670e+00      5.6630e+00
   2.1959e-02      1.7566e-03      5.8790e+00      5.4470e+00
   2.3649e-02      1.8977e-03      6.0950e+00      5.2500e+00
   2.5338e-02      2.0389e-03      6.3130e+00      5.0680e+00
   2.7027e-02      2.1800e-03      6.5320e+00      4.9010e+00
   3.0405e-02      2.4624e-03      6.9700e+00      4.6030e+00
   3.3784e-02      2.7447e-03      7.4040e+00      4.3440e+00
   3.7162e-02      3.0270e-03      7.8300e+00      4.1170e+00
   4.0541e-02      3.2936e-03      8.2460e+00      3.9160e+00
   4.3919e-02      3.5602e-03      8.6530e+00      3.7370e+00
   4.7297e-02      3.8268e-03      9.0500e+00      3.5760e+00
   5.4054e-02      4.3444e-03      9.8150e+00      3.2970e+00
   6.0811e-02      4.8306e-03      1.0540e+01      3.0640e+00
   6.7568e-02      5.3168e-03      1.1240e+01      2.8660e+00
   7.4324e-02      5.7716e-03      1.1920e+01      2.6950e+00
   8.1081e-02      6.2108e-03      1.2570e+01      2.5460e+00
   8.7838e-02      6.6499e-03      1.3200e+01      2.4150e+00
   9.4595e-02      7.0734e-03      1.3820e+01      2.2980e+00
   1.0135e-01      7.4812e-03      1.4420e+01      2.1930e+00
   1.0811e-01      7.8733e-03      1.5010e+01      2.0990e+00
   1.1486e-01      8.2497e-03      1.5580e+01      2.0130e+00
   1.2162e-01      8.6261e-03      1.6150e+01      1.9350e+00
   1.3514e-01      9.3475e-03      1.7240e+01      1.7980e+00
   1.5203e-01      1.0194e-02      1.8550e+01      1.6540e+00
   1.6892e-01      1.1010e-02      1.9790e+01      1.5340e+00
   1.8581e-01      1.1763e-02      2.0980e+01      1.4320e+00
   2.0270e-01      1.2500e-02      2.2110e+01      1.3440e+00
   2.1959e-01      1.3206e-02      2.3190e+01      1.2670e+00
   2.3649e-01      1.3864e-02      2.4230e+01      1.2000e+00
   2.5338e-01      1.4523e-02      2.5220e+01      1.1400e+00
   2.7027e-01      1.5151e-02      2.6160e+01      1.0860e+00
   3.0405e-01      1.6343e-02      2.7950e+01      9.9390e-01
   3.3784e-01      1.7472e-02      2.9600e+01      9.1750e-01
   3.7162e-01      1.8554e-02      3.1140e+01      8.5290e-01
   4.0541e-01      1.9573e-02      3.2580e+01      7.9770e-01
   4.3919e-01      2.0561e-02      3.3940e+01      7.4980e-01
   4.7297e-01      2.1518e-02      3.5220e+01      7.0780e-01
   5.4054e-01      2.3337e-02      3.7600e+01      6.3760e-01
   6.0811e-01      2.5047e-02      3.9770e+01      5.8100e-01
   6.7568e-01      2.6678e-02      4.1770e+01      5.3450e-01
   7.4324e-01      2.8246e-02      4.3630e+01      4.9540e-01
   8.1081e-01      2.9736e-02      4.5370e+01      4.6200e-01
