#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.0000e-03      2.4292e-03      1.3270e-01      6.0780e-02
   1.2500e-03      3.0325e-03      1.5250e-01      5.6930e-02
   1.5000e-03      3.6300e-03      1.7090e-01      5.3610e-02
   1.7500e-03      4.2225e-03      1.8820e-01      5.0720e-02
   2.0000e-03      4.8050e-03      2.0450e-01      4.8180e-02
   2.2500e-03      5.3825e-03      2.2010e-01      4.5930e-02
   2.5000e-03      5.9475e-03      2.3510e-01      4.3910e-02
   3.1250e-03      7.3275e-03      2.7010e-01      3.9690e-02
   3.7500e-03      8.6500e-03      3.0250e-01      3.6320e-02
   4.3750e-03      9.9225e-03      3.3280e-01      3.3550e-02
   5.0000e-03      1.1145e-02      3.6150e-01      3.1240e-02
   5.6250e-03      1.2323e-02      3.8860e-01      2.9270e-02
   6.2500e-03      1.3460e-02      4.1460e-01      2.7560e-02
   6.8750e-03      1.4560e-02      4.3940e-01      2.6070e-02
   7.5000e-03      1.5625e-02      4.6330e-01      2.4750e-02
   8.7500e-03      1.7660e-02      5.0840e-01      2.2530e-02
   1.0000e-02      1.9587e-02      5.5040e-01      2.0710e-02
   1.1250e-02      2.1420e-02      5.8960e-01      1.9200e-02
   1.2500e-02      2.3172e-02      6.2650e-01      1.7920e-02
   1.3750e-02      2.4852e-02      6.6110e-01      1.6810e-02
   1.5000e-02      2.6475e-02      6.9370e-01      1.5850e-02
   1.6250e-02      2.8025e-02      7.2430e-01      1.5010e-02
   1.7500e-02      2.9550e-02      7.5320e-01      1.4260e-02
   1.8750e-02      3.1025e-02      7.8030e-01      1.3590e-02
   2.0000e-02      3.2450e-02      8.0590e-01      1.2980e-02
   2.1250e-02      3.3850e-02      8.3010e-01      1.2440e-02
   2.2500e-02      3.5225e-02      8.5280e-01      1.1940e-02
   2.3750e-02      3.6550e-02      8.7430e-01      1.1480e-02
   2.5000e-02      3.7875e-02      8.9450e-01      1.1070e-02
   3.1250e-02      4.4100e-02      9.8000e-01      9.3950e-03
   3.7500e-02      4.9975e-02      1.0450e+00      8.1980e-03
   4.3750e-02      5.5550e-02      1.0960e+00      7.2930e-03
   5.0000e-02      6.0950e-02      1.1360e+00      6.5830e-03
   5.6250e-02      6.6200e-02      1.1680e+00      6.0090e-03
   6.2500e-02      7.1350e-02      1.1950e+00      5.5350e-03
   6.8750e-02      7.6400e-02      1.2160e+00      5.1360e-03
   7.5000e-02      8.1400e-02      1.2340e+00      4.7950e-03
   8.7500e-02      9.1200e-02      1.2620e+00      4.2420e-03
   1.0000e-01      1.0085e-01      1.2800e+00      3.8110e-03
   1.1250e-01      1.1042e-01      1.2910e+00      3.4660e-03
   1.2500e-01      1.1995e-01      1.2970e+00      3.1820e-03
   1.3750e-01      1.2947e-01      1.2980e+00      2.9440e-03
   1.5000e-01      1.3900e-01      1.2970e+00      2.7420e-03
   1.6250e-01      1.4855e-01      1.2930e+00      2.5670e-03
   1.7500e-01      1.5815e-01      1.2860e+00      2.4150e-03
   1.8750e-01      1.6780e-01      1.2790e+00      2.2820e-03
   2.0000e-01      1.7752e-01      1.2690e+00      2.1630e-03
   2.1250e-01      1.8733e-01      1.2590e+00      2.0570e-03
   2.2500e-01      1.9723e-01      1.2480e+00      1.9610e-03
   2.3750e-01      2.0723e-01      1.2370e+00      1.8750e-03
   2.5000e-01      2.1730e-01      1.2250e+00      1.7960e-03
   3.1250e-01      2.6925e-01      1.1610e+00      1.4900e-03
   3.7500e-01      3.2450e-01      1.0980e+00      1.2770e-03
   4.3750e-01      3.8275e-01      1.0390e+00      1.1200e-03
   5.0000e-01      4.4425e-01      9.8490e-01      1.0000e-03
   5.6250e-01      5.0900e-01      9.3760e-01      9.0420e-04
   6.2500e-01      5.7700e-01      8.9540e-01      8.2610e-04
   6.8750e-01      6.4800e-01      8.5680e-01      7.6120e-04
   7.5000e-01      7.2250e-01      8.2100e-01      7.0620e-04
   8.7500e-01      8.8075e-01      7.5610e-01      6.1820e-04
   1.0000e+00      1.0522e+00      6.9860e-01      5.5060e-04
   1.1250e+00      1.2377e+00      6.4780e-01      4.9710e-04
   1.2500e+00      1.4370e+00      6.0480e-01      4.5350e-04
   1.3750e+00      1.6500e+00      5.6780e-01      4.1730e-04
   1.5000e+00      1.8760e+00      5.3570e-01      3.8670e-04
   1.6250e+00      2.1155e+00      5.0740e-01      3.6050e-04
   1.7500e+00      2.3675e+00      4.8240e-01      3.3790e-04
   1.8750e+00      2.6325e+00      4.6000e-01      3.1800e-04
   2.0000e+00      2.9100e+00      4.3980e-01      3.0040e-04
   2.1250e+00      3.2000e+00      4.2160e-01      2.8480e-04
