#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.7259e-03      2.6209e-04      8.5940e-01      5.4760e+00
   1.8985e-03      2.8740e-04      9.0130e-01      5.3790e+00
   2.0711e-03      3.1272e-04      1.0490e+00      5.2840e+00
   2.2437e-03      3.3756e-04      1.2660e+00      5.1910e+00
   2.4163e-03      3.6239e-04      1.4000e+00      5.1010e+00
   2.5889e-03      3.8698e-04      1.4810e+00      5.0130e+00
   2.7615e-03      4.1182e-04      1.5290e+00      4.9280e+00
   2.9341e-03      4.3689e-04      1.5560e+00      4.8460e+00
   3.1067e-03      4.6197e-04      1.5690e+00      4.7660e+00
   3.4518e-03      5.1357e-04      1.5790e+00      4.6150e+00
   3.8833e-03      5.7987e-04      1.5860e+00      4.4400e+00
   4.3148e-03      6.4787e-04      1.6060e+00      4.2790e+00
   4.7463e-03      7.1755e-04      1.6450e+00      4.1320e+00
   5.1778e-03      7.8843e-04      1.7030e+00      3.9950e+00
   5.6093e-03      8.6029e-04      1.7770e+00      3.8690e+00
   6.0407e-03      9.3286e-04      1.8640e+00      3.7510e+00
   6.4722e-03      1.0057e-03      1.9600e+00      3.6420e+00
   6.9037e-03      1.0787e-03      2.0630e+00      3.5400e+00
   7.7667e-03      1.2246e-03      2.2780e+00      3.3550e+00
   8.6296e-03      1.3698e-03      2.4930e+00      3.1920e+00
   9.4926e-03      1.5137e-03      2.6990e+00      3.0460e+00
   1.0356e-02      1.6564e-03      2.8890e+00      2.9150e+00
   1.1219e-02      1.7980e-03      3.0610e+00      2.7970e+00
   1.2081e-02      1.9385e-03      3.2160e+00      2.6890e+00
   1.3807e-02      2.2177e-03      3.4730e+00      2.5010e+00
   1.5533e-02      2.4834e-03      3.6710e+00      2.3410e+00
   1.7259e-02      2.7728e-03      3.8250e+00      2.2030e+00
   1.8985e-02      3.0380e-03      3.9440e+00      2.0830e+00
   2.0711e-02      3.3273e-03      4.0390e+00      1.9770e+00
   2.2437e-02      3.6167e-03      4.1160e+00      1.8830e+00
   2.4163e-02      3.8819e-03      4.1790e+00      1.7980e+00
   2.5889e-02      4.1712e-03      4.2350e+00      1.7220e+00
