#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.3348e-03      2.1440e-04      8.7010e-01      5.2240e+00
   1.4682e-03      2.3330e-04      9.1250e-01      5.1870e+00
   1.6017e-03      2.5189e-04      9.5310e-01      5.1470e+00
   1.7352e-03      2.7110e-04      9.9200e-01      5.1040e+00
   1.8687e-03      2.9000e-04      1.0290e+00      5.0590e+00
   2.0021e-03      3.0889e-04      1.0670e+00      5.0120e+00
   2.1356e-03      3.2810e-04      1.1710e+00      4.9650e+00
   2.2691e-03      3.4700e-04      1.2560e+00      4.9170e+00
   2.4026e-03      3.6590e-04      1.3260e+00      4.8690e+00
   2.6695e-03      4.0370e-04      1.4350e+00      4.7740e+00
   3.0032e-03      4.5110e-04      1.5330e+00      4.6570e+00
   3.3369e-03      4.9882e-04      1.6090e+00      4.5440e+00
   3.6706e-03      5.4715e-04      1.6770e+00      4.4360e+00
   4.0043e-03      5.9610e-04      1.7430e+00      4.3320e+00
   4.3380e-03      6.4505e-04      1.8090e+00      4.2340e+00
   4.6716e-03      6.9493e-04      1.8760e+00      4.1390e+00
   5.0053e-03      7.4482e-04      1.9440e+00      4.0490e+00
   5.3390e-03      7.9501e-04      2.0130e+00      3.9640e+00
   6.0064e-03      8.9601e-04      2.1500e+00      3.8040e+00
   6.6738e-03      9.9794e-04      2.2850e+00      3.6590e+00
   7.3412e-03      1.1002e-03      2.4180e+00      3.5250e+00
   8.0085e-03      1.2024e-03      2.5470e+00      3.4030e+00
   8.6759e-03      1.3053e-03      2.6720e+00      3.2900e+00
   9.3433e-03      1.4078e-03      2.7930e+00      3.1860e+00
   1.0678e-02      1.6129e-03      3.0250e+00      2.9990e+00
   1.2013e-02      1.8168e-03      3.2460e+00      2.8360e+00
   1.3348e-02      2.0197e-03      3.4580e+00      2.6920e+00
   1.4682e-02      2.2208e-03      3.6630e+00      2.5650e+00
   1.6017e-02      2.4197e-03      3.8630e+00      2.4510e+00
   1.7352e-02      2.6165e-03      4.0590e+00      2.3490e+00
   1.8687e-02      2.8107e-03      4.2530e+00      2.2560e+00
   2.0021e-02      3.0025e-03      4.4440e+00      2.1710e+00
   2.1356e-02      3.1912e-03      4.6340e+00      2.0930e+00
   2.2691e-02      3.3771e-03      4.8230e+00      2.0220e+00
   2.4026e-02      3.5630e-03      5.0100e+00      1.9560e+00
   2.6695e-02      3.9038e-03      5.3840e+00      1.8380e+00
   3.0032e-02      4.3375e-03      5.8500e+00      1.7120e+00
   3.3369e-02      4.7713e-03      6.3130e+00      1.6040e+00
   3.6706e-02      5.1431e-03      6.7730e+00      1.5110e+00
   4.0043e-02      5.5458e-03      7.2300e+00      1.4290e+00
   4.3380e-02      5.8867e-03      7.6820e+00      1.3570e+00
   4.6716e-02      6.2584e-03      8.1280e+00      1.2930e+00
   5.0053e-02      6.5992e-03      8.5670e+00      1.2350e+00
   5.3390e-02      6.9091e-03      8.9990e+00      1.1830e+00
   6.0064e-02      7.5287e-03      9.8350e+00      1.0930e+00
   6.6738e-02      8.1174e-03      1.0630e+01      1.0160e+00
   7.3412e-02      8.6441e-03      1.1390e+01      9.5130e-01
   8.0085e-02      9.1708e-03      1.2110e+01      8.9500e-01
   8.6759e-02      9.6665e-03      1.2790e+01      8.4570e-01
   9.3433e-02      1.0131e-02      1.3420e+01      8.0220e-01
