#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   8.3333e-04      4.9011e-04      6.5290e-01      7.8760e-01
   9.1667e-04      5.3668e-04      6.8470e-01      7.6580e-01
   1.0000e-03      5.8441e-04      7.1520e-01      7.4530e-01
   1.0833e-03      6.3098e-04      7.4440e-01      7.2590e-01
   1.1667e-03      6.7754e-04      7.7250e-01      7.0760e-01
   1.2500e-03      7.2411e-04      7.9960e-01      6.9030e-01
   1.3333e-03      7.7068e-04      8.2580e-01      6.7400e-01
   1.4167e-03      8.1724e-04      8.5130e-01      6.5850e-01
   1.5000e-03      8.6381e-04      8.7590e-01      6.4390e-01
   1.6667e-03      9.5695e-04      9.2330e-01      6.1680e-01
   1.8750e-03      1.0710e-03      9.7940e-01      5.8640e-01
   2.0833e-03      1.1851e-03      1.0290e+00      5.5940e-01
   2.2917e-03      1.2992e-03      1.0720e+00      5.3510e-01
   2.5000e-03      1.4110e-03      1.1130e+00      5.1320e-01
   2.7083e-03      1.5239e-03      1.1520e+00      4.9330e-01
   2.9167e-03      1.6345e-03      1.1890e+00      4.7520e-01
   3.1250e-03      1.7451e-03      1.2240e+00      4.5850e-01
   3.3333e-03      1.8557e-03      1.2580e+00      4.4320e-01
   3.7500e-03      2.0722e-03      1.3220e+00      4.1590e-01
   4.1667e-03      2.2876e-03      1.3810e+00      3.9230e-01
   4.5833e-03      2.4995e-03      1.4350e+00      3.7160e-01
   5.0000e-03      2.7079e-03      1.4860e+00      3.5330e-01
   5.4167e-03      2.9139e-03      1.5340e+00      3.3690e-01
   5.8333e-03      3.1176e-03      1.5800e+00      3.2230e-01
   6.6667e-03      3.5181e-03      1.6650e+00      2.9690e-01
   7.5000e-03      3.9093e-03      1.7420e+00      2.7580e-01
   8.3333e-03      4.2923e-03      1.8140e+00      2.5780e-01
   9.1667e-03      4.6660e-03      1.8800e+00      2.4240e-01
   1.0000e-02      5.0339e-03      1.9430e+00      2.2890e-01
   1.0833e-02      5.3947e-03      2.0010e+00      2.1700e-01
   1.1667e-02      5.7487e-03      2.0570e+00      2.0640e-01
   1.2500e-02      6.0967e-03      2.1100e+00      1.9700e-01
   1.3333e-02      6.4402e-03      2.1620e+00      1.8850e-01
   1.4167e-02      6.7766e-03      2.2120e+00      1.8070e-01
   1.5000e-02      7.1096e-03      2.2610e+00      1.7370e-01
   1.6667e-02      7.7580e-03      2.3560e+00      1.6130e-01
   1.8750e-02      8.5427e-03      2.4740e+00      1.4840e-01
   2.0833e-02      9.2982e-03      2.5900e+00      1.3750e-01
   2.2917e-02      1.0027e-02      2.7040e+00      1.2840e-01
   2.5000e-02      1.0731e-02      2.8170e+00      1.2040e-01
   2.7083e-02      1.1412e-02      2.9280e+00      1.1350e-01
   2.9167e-02      1.2107e-02      3.0370e+00      1.0750e-01
   3.1250e-02      1.2689e-02      3.1430e+00      1.0210e-01
   3.3333e-02      1.3388e-02      3.2470e+00      9.7230e-02
   3.7500e-02      1.4552e-02      3.4490e+00      8.8950e-02
   4.1667e-02      1.5600e-02      3.6410e+00      8.2090e-02
   4.5833e-02      1.6764e-02      3.8240e+00      7.6300e-02
   5.0000e-02      1.7812e-02      4.0000e+00      7.1350e-02
   5.4167e-02      1.8743e-02      4.1680e+00      6.7050e-02
   5.8333e-02      1.9674e-02      4.3280e+00      6.3280e-02
   6.6667e-02      2.1537e-02      4.6310e+00      5.6990e-02
   7.5000e-02      2.3283e-02      4.9100e+00      5.1930e-02
   8.3333e-02      2.4913e-02      5.1690e+00      4.7750e-02
   9.1667e-02      2.6427e-02      5.4080e+00      4.4250e-02
   1.0000e-01      2.7940e-02      5.6300e+00      4.1270e-02
   1.0833e-01      2.9337e-02      5.8350e+00      3.8690e-02
   1.1667e-01      3.0734e-02      6.0250e+00      3.6440e-02
