#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.1248e-03      1.6109e-04      8.8350e-01      6.3860e+00
   1.2373e-03      1.7440e-04      9.2660e-01      6.3760e+00
   1.3497e-03      1.8798e-04      9.6780e-01      6.3580e+00
   1.4622e-03      2.0130e-04      1.0070e+00      6.3340e+00
   1.5747e-03      2.1461e-04      1.0450e+00      6.3050e+00
   1.6872e-03      2.2819e-04      1.0820e+00      6.2730e+00
   1.7997e-03      2.4150e-04      1.1180e+00      6.2380e+00
   1.9121e-03      2.5508e-04      1.1520e+00      6.2010e+00
   2.0246e-03      2.6840e-04      1.2130e+00      6.1630e+00
   2.2496e-03      2.9503e-04      1.4640e+00      6.0820e+00
   2.5308e-03      3.2792e-04      1.6580e+00      5.9780e+00
   2.8120e-03      3.6082e-04      1.7720e+00      5.8720e+00
   3.0932e-03      3.9372e-04      1.8450e+00      5.7670e+00
   3.3744e-03      4.2687e-04      1.8990e+00      5.6640e+00
   3.6555e-03      4.6029e-04      1.9450e+00      5.5630e+00
   3.9367e-03      4.9423e-04      1.9910e+00      5.4650e+00
   4.2179e-03      5.2844e-04      2.0400e+00      5.3700e+00
   4.4991e-03      5.6290e-04      2.0930e+00      5.2780e+00
   5.0615e-03      6.3261e-04      2.2090e+00      5.1030e+00
   5.6239e-03      7.0284e-04      2.3370e+00      4.9390e+00
   6.1863e-03      7.7333e-04      2.4720e+00      4.7870e+00
   6.7487e-03      8.4461e-04      2.6100e+00      4.6450e+00
   7.3111e-03      9.1562e-04      2.7480e+00      4.5120e+00
   7.8735e-03      9.8690e-04      2.8840e+00      4.3870e+00
   8.9983e-03      1.1295e-03      3.1480e+00      4.1610e+00
   1.0123e-02      1.2717e-03      3.3980e+00      3.9600e+00
   1.1248e-02      1.4133e-03      3.6330e+00      3.7810e+00
