#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.0000e-03      3.6150e-03      7.5330e-02      1.2100e-02
   1.2500e-03      4.4000e-03      8.3380e-02      1.2040e-02
   1.5000e-03      5.1800e-03      9.0640e-02      1.1920e-02
   1.7500e-03      5.9550e-03      9.7290e-02      1.1760e-02
   2.0000e-03      6.7300e-03      1.0350e-01      1.1590e-02
   2.2500e-03      7.5000e-03      1.0930e-01      1.1410e-02
   2.5000e-03      8.2675e-03      1.1480e-01      1.1220e-02
   3.1250e-03      1.0180e-02      1.2730e-01      1.0770e-02
   3.7500e-03      1.2075e-02      1.3870e-01      1.0350e-02
   4.3750e-03      1.3953e-02      1.4920e-01      9.9610e-03
   5.0000e-03      1.5813e-02      1.5890e-01      9.6010e-03
   5.6250e-03      1.7655e-02      1.6800e-01      9.2690e-03
   6.2500e-03      1.9482e-02      1.7670e-01      8.9630e-03
   6.8750e-03      2.1290e-02      1.8490e-01      8.6800e-03
   7.5000e-03      2.3080e-02      1.9280e-01      8.4180e-03
   8.7500e-03      2.6600e-02      2.0760e-01      7.9470e-03
   1.0000e-02      3.0075e-02      2.2130e-01      7.5340e-03
   1.1250e-02      3.3450e-02      2.3420e-01      7.1700e-03
   1.2500e-02      3.6800e-02      2.4640e-01      6.8450e-03
   1.3750e-02      4.0050e-02      2.5800e-01      6.5540e-03
   1.5000e-02      4.3275e-02      2.6910e-01      6.2900e-03
   1.6250e-02      4.6425e-02      2.7970e-01      6.0510e-03
   1.7500e-02      4.9550e-02      2.8990e-01      5.8320e-03
   1.8750e-02      5.2600e-02      2.9970e-01      5.6300e-03
   2.0000e-02      5.5600e-02      3.0920e-01      5.4450e-03
   2.1250e-02      5.8575e-02      3.1830e-01      5.2730e-03
   2.2500e-02      6.1475e-02      3.2710e-01      5.1130e-03
   2.3750e-02      6.4375e-02      3.3570e-01      4.9650e-03
   2.5000e-02      6.7200e-02      3.4400e-01      4.8260e-03
   3.1250e-02      8.0875e-02      3.8230e-01      4.2460e-03
   3.7500e-02      9.3775e-02      4.1580e-01      3.8060e-03
   4.3750e-02      1.0605e-01      4.4560e-01      3.4580e-03
   5.0000e-02      1.1782e-01      4.7210e-01      3.1760e-03
   5.6250e-02      1.2915e-01      4.9570e-01      2.9400e-03
   6.2500e-02      1.4012e-01      5.1670e-01      2.7420e-03
   6.8750e-02      1.5080e-01      5.3540e-01      2.5710e-03
   7.5000e-02      1.6123e-01      5.5180e-01      2.4220e-03
   8.7500e-02      1.8150e-01      5.7890e-01      2.1760e-03
   1.0000e-01      2.0115e-01      5.9920e-01      1.9800e-03
   1.1250e-01      2.2043e-01      6.1380e-01      1.8190e-03
   1.2500e-01      2.3945e-01      6.2380e-01      1.6850e-03
   1.3750e-01      2.5825e-01      6.2990e-01      1.5710e-03
   1.5000e-01      2.7725e-01      6.3300e-01      1.4730e-03
   1.6250e-01      2.9600e-01      6.3360e-01      1.3870e-03
   1.7500e-01      3.1500e-01      6.3230e-01      1.3120e-03
   1.8750e-01      3.3400e-01      6.2950e-01      1.2450e-03
   2.0000e-01      3.5300e-01      6.2550e-01      1.1860e-03
   2.1250e-01      3.7250e-01      6.2060e-01      1.1320e-03
   2.2500e-01      3.9200e-01      6.1510e-01      1.0830e-03
   2.3750e-01      4.1175e-01      6.0910e-01      1.0390e-03
   2.5000e-01      4.3175e-01      6.0280e-01      9.9850e-04
   3.1250e-01      5.3575e-01      5.6770e-01      8.3870e-04
   3.7500e-01      6.4675e-01      5.3300e-01      7.2610e-04
   4.3750e-01      7.6500e-01      5.0180e-01      6.4190e-04
   5.0000e-01      8.9075e-01      4.7440e-01      5.7650e-04
   5.6250e-01      1.0237e+00      4.5030e-01      5.2410e-04
   6.2500e-01      1.1638e+00      4.2900e-01      4.8100e-04
   6.8750e-01      1.3105e+00      4.1010e-01      4.4490e-04
   7.5000e-01      1.4640e+00      3.9330e-01      4.1420e-04
   8.7500e-01      1.7898e+00      3.6460e-01      3.6480e-04
   1.0000e+00      2.1402e+00      3.4090e-01      3.2650e-04
   1.1250e+00      2.5125e+00      3.2100e-01      2.9600e-04
   1.2500e+00      2.9100e+00      3.0400e-01      2.7100e-04
   1.3750e+00      3.3275e+00      2.8920e-01      2.5020e-04
   1.5000e+00      3.7650e+00      2.7590e-01      2.3250e-04
   1.6250e+00      4.2225e+00      2.6410e-01      2.1730e-04
   1.7500e+00      4.7025e+00      2.5360e-01      2.0410e-04
   1.8750e+00      5.2000e+00      2.4390e-01      1.9250e-04
   2.0000e+00      5.7175e+00      2.3500e-01      1.8220e-04
   2.1250e+00      6.2525e+00      2.2670e-01      1.7310e-04
   2.2500e+00      6.8100e+00      2.1890e-01      1.6490e-04
   2.3750e+00      7.3850e+00      2.1190e-01      1.5740e-04
   2.5000e+00      7.9800e+00      2.0540e-01      1.5070e-04
   3.1250e+00      1.1220e+01      1.7930e-01      1.2440e-04
   3.7500e+00      1.4885e+01      1.6020e-01      1.0630e-04
   4.3750e+00      1.8957e+01      1.4530e-01      9.3050e-05
   5.0000e+00      2.3420e+01      1.3340e-01      8.2870e-05
   6.2500e+00      3.3475e+01      1.1530e-01      6.8230e-05
   6.8750e+00      3.9025e+01      1.0820e-01      6.2770e-05
