#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   8.7794e-03      9.1745e-04      3.0300e+00      5.7000e+00
   9.6573e-03      1.0116e-03      3.1930e+00      5.4980e+00
   1.0535e-02      1.1064e-03      3.3470e+00      5.3110e+00
   1.1413e-02      1.2017e-03      3.4950e+00      5.1390e+00
   1.2291e-02      1.2973e-03      3.6390e+00      4.9790e+00
   1.3169e-02      1.3933e-03      3.7780e+00      4.8310e+00
   1.4047e-02      1.4895e-03      3.9150e+00      4.6920e+00
   1.4925e-02      1.5859e-03      4.0500e+00      4.5630e+00
   1.5803e-02      1.6821e-03      4.1840e+00      4.4420e+00
   1.7559e-02      1.8746e-03      4.4480e+00      4.2210e+00
   1.9754e-02      2.1194e-03      4.7770e+00      3.9780e+00
   2.1949e-02      2.3436e-03      5.1060e+00      3.7670e+00
   2.4143e-02      2.5881e-03      5.4380e+00      3.5800e+00
   2.6338e-02      2.8123e-03      5.7720e+00      3.4130e+00
   2.8533e-02      3.0364e-03      6.1090e+00      3.2640e+00
   3.0728e-02      3.2606e-03      6.4480e+00      3.1290e+00
   3.2923e-02      3.4848e-03      6.7890e+00      3.0070e+00
   3.5118e-02      3.6886e-03      7.1320e+00      2.8950e+00
   3.9507e-02      4.1165e-03      7.8170e+00      2.6980e+00
   4.3897e-02      4.5037e-03      8.4990e+00      2.5300e+00
   4.8287e-02      4.8909e-03      9.1730e+00      2.3840e+00
   5.2676e-02      5.2373e-03      9.8350e+00      2.2570e+00
   5.7066e-02      5.5838e-03      1.0480e+01      2.1440e+00
   6.1456e-02      5.9302e-03      1.1110e+01      2.0430e+00
   7.0235e-02      6.5416e-03      1.2320e+01      1.8710e+00
   7.9015e-02      7.1326e-03      1.3440e+01      1.7290e+00
   8.7794e-02      7.6828e-03      1.4490e+01      1.6090e+00
   9.6573e-02      8.2126e-03      1.5450e+01      1.5070e+00
   1.0535e-01      8.7017e-03      1.6340e+01      1.4180e+00
   1.1413e-01      9.1908e-03      1.7160e+01      1.3400e+00
   1.2291e-01      9.6391e-03      1.7920e+01      1.2720e+00
   1.3169e-01      1.0087e-02      1.8630e+01      1.2100e+00
   1.4047e-01      1.0515e-02      1.9290e+01      1.1550e+00
   1.4925e-01      1.0943e-02      1.9900e+01      1.1060e+00
   1.5803e-01      1.1351e-02      2.0470e+01      1.0610e+00
   1.7559e-01      1.2146e-02      2.1520e+01      9.8180e-01
   1.9754e-01      1.3083e-02      2.2670e+01      8.9970e-01
   2.1949e-01      1.3980e-02      2.3700e+01      8.3160e-01
   2.4143e-01      1.4856e-02      2.4640e+01      7.7390e-01
   2.6338e-01      1.5712e-02      2.5500e+01      7.2450e-01
   2.8533e-01      1.6527e-02      2.6310e+01      6.8160e-01
   3.0728e-01      1.7322e-02      2.7080e+01      6.4390e-01
   3.2923e-01      1.8096e-02      2.7810e+01      6.1050e-01
   3.5118e-01      1.8871e-02      2.8510e+01      5.8080e-01
   3.9507e-01      2.0338e-02      2.9850e+01      5.2990e-01
   4.3897e-01      2.1744e-02      3.1130e+01      4.8790e-01
   4.8287e-01      2.3109e-02      3.2350e+01      4.5250e-01
   5.2676e-01      2.4414e-02      3.3520e+01      4.2240e-01
   5.7066e-01      2.5677e-02      3.4660e+01      3.9630e-01
   6.1456e-01      2.6920e-02      3.5760e+01      3.7350e-01
   7.0235e-01      2.9284e-02      3.7850e+01      3.3550e-01
   7.9015e-01      3.1506e-02      3.9810e+01      3.0510e-01
   8.7794e-01      3.3645e-02      4.1650e+01      2.8010e-01
   9.6573e-01      3.5704e-02      4.3370e+01      2.5910e-01
   1.0535e+00      3.7680e-02      4.4970e+01      2.4130e-01
   1.1413e+00      3.9576e-02      4.6460e+01      2.2600e-01
   1.2291e+00      4.1430e-02      4.7850e+01      2.1260e-01
   1.3169e+00      4.3223e-02      4.9150e+01      2.0080e-01
   1.4047e+00      4.4996e-02      5.0350e+01      1.9040e-01
   1.4925e+00      4.6708e-02      5.1470e+01      1.8100e-01
   1.5803e+00      4.8379e-02      5.2500e+01      1.7260e-01
   1.7559e+00      5.1660e-02      5.4350e+01      1.5810e-01
   1.9754e+00      5.5614e-02      5.6280e+01      1.4330e-01
   2.1949e+00      5.9445e-02      5.7790e+01      1.3110e-01
   2.4143e+00      6.3215e-02      5.8430e+01      1.2100e-01
   2.6338e+00      6.6944e-02      5.9180e+01      1.1240e-01
   2.8533e+00      7.0633e-02      5.9720e+01      1.0510e-01
   3.0728e+00      7.4281e-02      6.0090e+01      9.8660e-02
   3.2923e+00      7.7928e-02      6.0320e+01      9.3040e-02
   3.5118e+00      8.1556e-02      6.0420e+01      8.8060e-02
   3.9507e+00      8.8811e-02      6.0350e+01      7.9640e-02
   4.3897e+00      9.6086e-02      5.9990e+01      7.2770e-02
   4.8287e+00      1.0344e-01      5.9430e+01      6.7050e-02
   5.2676e+00      1.1086e-01      5.8730e+01      6.2220e-02
   5.7066e+00      1.1838e-01      5.7940e+01      5.8070e-02
   6.1456e+00      1.2600e-01      5.7100e+01      5.4470e-02
   7.0235e+00      1.4161e-01      5.5320e+01      4.8530e-02
   7.9015e+00      1.5773e-01      5.3510e+01      4.3810e-02
   8.7794e+00      1.7440e-01      5.1740e+01      3.9980e-02
   9.6573e+00      1.9166e-01      5.0040e+01      3.6790e-02
   1.0535e+01      2.0947e-01      4.8430e+01      3.4100e-02
   1.1413e+01      2.2790e-01      4.6900e+01      3.1800e-02
   1.2291e+01      2.4689e-01      4.5470e+01      2.9800e-02
   1.3169e+01      2.6649e-01      4.4110e+01      2.8050e-02
   1.4047e+01      2.8667e-01      4.2830e+01      2.6500e-02
   1.4925e+01      3.0745e-01      4.1630e+01      2.5130e-02
   1.5803e+01      3.2883e-01      4.0490e+01      2.3900e-02
   1.7559e+01      3.7336e-01      3.8400e+01      2.1780e-02
   1.9754e+01      4.3231e-01      3.6060e+01      1.9630e-02
   2.1949e+01      4.9500e-01      3.4000e+01      1.7880e-02
   2.4143e+01      5.6137e-01      3.2150e+01      1.6440e-02
   2.6338e+01      6.3150e-01      3.0480e+01      1.5220e-02
   2.8533e+01      7.0535e-01      2.8970e+01      1.4170e-02
   3.0728e+01      7.8291e-01      2.7630e+01      1.3270e-02
   3.2923e+01      8.6400e-01      2.6500e+01      1.2480e-02
   3.5118e+01      9.4845e-01      2.5470e+01      1.1780e-02
   3.9507e+01      1.1273e+00      2.3660e+01      1.0610e-02
   4.3897e+01      1.3191e+00      2.2120e+01      9.6570e-03
   4.8287e+01      1.5238e+00      2.0800e+01      8.8690e-03
   5.2676e+01      1.7410e+00      1.9640e+01      8.2040e-03
   5.7066e+01      1.9704e+00      1.8630e+01      7.6370e-03
   6.1456e+01      2.2213e+00      1.7740e+01      7.1460e-03
   7.0235e+01      2.7308e+00      1.6230e+01      6.3380e-03
   7.9015e+01      3.3014e+00      1.5000e+01      5.7010e-03
   8.7794e+01      3.8923e+00      1.3980e+01      5.1850e-03
