#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.0000e-03      3.2570e-03      1.1970e-01      2.1630e-02
   1.5000e-03      4.9250e-03      1.4670e-01      1.8400e-02
   2.0000e-03      6.5770e-03      1.6930e-01      1.6140e-02
   2.5000e-03      8.1890e-03      1.8930e-01      1.4460e-02
   3.0000e-03      9.7590e-03      2.0740e-01      1.3140e-02
   4.0000e-03      1.2770e-02      2.3950e-01      1.1200e-02
   5.0000e-03      1.5630e-02      2.6780e-01      9.8250e-03
   6.0000e-03      1.8340e-02      2.9330e-01      8.7860e-03
   7.0000e-03      2.0940e-02      3.1680e-01      7.9700e-03
   8.0000e-03      2.3420e-02      3.3870e-01      7.3100e-03
   9.0000e-03      2.5800e-02      3.5920e-01      6.7620e-03
   1.0000e-02      2.8100e-02      3.7870e-01      6.3000e-03
   1.2500e-02      3.3560e-02      4.1700e-01      5.4040e-03
   1.5000e-02      3.8690e-02      4.5040e-01      4.7510e-03
   1.7500e-02      4.3560e-02      4.8010e-01      4.2530e-03
   2.0000e-02      4.8220e-02      5.0670e-01      3.8580e-03
   2.2500e-02      5.2690e-02      5.3070e-01      3.5360e-03
   2.5000e-02      5.7010e-02      5.5260e-01      3.2690e-03
   2.7500e-02      6.1200e-02      5.7240e-01      3.0420e-03
   3.0000e-02      6.5270e-02      5.9050e-01      2.8480e-03
   3.5000e-02      7.3130e-02      6.2210e-01      2.5310e-03
   4.0000e-02      8.0690e-02      6.4830e-01      2.2820e-03
   4.5000e-02      8.8000e-02      6.7000e-01      2.0820e-03
   5.0000e-02      9.5130e-02      6.8770e-01      1.9170e-03
   5.5000e-02      1.0210e-01      7.0200e-01      1.7770e-03
   6.0000e-02      1.0900e-01      7.1320e-01      1.6590e-03
