#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   2.4995e+00      4.3660e-01      4.6500e+00      2.8800e-03
   2.6780e+00      4.7570e-01      4.4790e+00      2.7110e-03
   2.8565e+00      5.1632e-01      4.3180e+00      2.5610e-03
   3.2136e+00      6.0192e-01      4.0250e+00      2.3090e-03
   3.5707e+00      6.9360e-01      3.7670e+00      2.1040e-03
   3.9277e+00      7.9135e-01      3.5390e+00      1.9350e-03
   4.2848e+00      8.9517e-01      3.3370e+00      1.7910e-03
   4.6419e+00      1.0051e+00      3.1580e+00      1.6690e-03
   4.9989e+00      1.1212e+00      2.9970e+00      1.5630e-03
   5.7131e+00      1.3711e+00      2.7240e+00      1.3880e-03
   6.4272e+00      1.6447e+00      2.5000e+00      1.2500e-03
   7.1413e+00      1.9416e+00      2.3140e+00      1.1380e-03
   7.8555e+00      2.2613e+00      2.1560e+00      1.0450e-03
   8.5696e+00      2.6032e+00      2.0220e+00      9.6700e-04
   9.2837e+00      2.9671e+00      1.9040e+00      9.0030e-04
   9.9979e+00      3.3526e+00      1.8010e+00      8.4250e-04
   1.0712e+01      3.7594e+00      1.7100e+00      7.9200e-04
   1.1426e+01      4.1875e+00      1.6270e+00      7.4750e-04
   1.2140e+01      4.6366e+00      1.5530e+00      7.0790e-04
   1.2854e+01      5.1068e+00      1.4850e+00      6.7250e-04
   1.4283e+01      6.1099e+00      1.3650e+00      6.1180e-04
   1.6068e+01      7.4823e+00      1.2390e+00      5.5020e-04
   1.7853e+01      9.0159e+00      1.1340e+00      5.0040e-04
   1.9639e+01      1.0623e+01      1.0450e+00      4.5920e-04
   2.1424e+01      1.2408e+01      9.6930e-01      4.2450e-04
   2.3209e+01      1.4283e+01      9.0600e-01      3.9490e-04
   2.4995e+01      1.6336e+01      8.5360e-01      3.6930e-04
   2.6780e+01      1.8478e+01      8.1120e-01      3.4690e-04
   2.8565e+01      2.0710e+01      7.7820e-01      3.2720e-04
   3.2136e+01      2.5530e+01      7.1700e-01      2.9410e-04
   3.5707e+01      3.0708e+01      6.5840e-01      2.6730e-04
   3.9277e+01      3.6332e+01      6.0970e-01      2.4510e-04
   4.2848e+01      4.2402e+01      5.6850e-01      2.2650e-04
   4.6419e+01      4.8918e+01      5.3310e-01      2.1060e-04
   4.9989e+01      5.5792e+01      5.0250e-01      1.9680e-04
   5.7131e+01      7.0788e+01      4.5190e-01      1.7430e-04
   6.4272e+01      8.7303e+01      4.1190e-01      1.5650e-04
   7.1413e+01      1.0542e+02      3.7940e-01      1.4220e-04
   7.8555e+01      1.2488e+02      3.5250e-01      1.3030e-04
   8.5696e+01      1.4586e+02      3.2970e-01      1.2040e-04
   9.2837e+01      1.6818e+02      3.1030e-01      1.1190e-04
   9.9979e+01      1.9183e+02      2.9350e-01      1.0450e-04
   1.0712e+02      2.1683e+02      2.7890e-01      9.8110e-05
   1.1426e+02      2.4307e+02      2.6590e-01      9.2480e-05
   1.2140e+02      2.7048e+02      2.5450e-01      8.7470e-05
   1.2854e+02      2.9913e+02      2.4420e-01      8.3010e-05
   1.4283e+02      3.5983e+02      2.2660e-01      7.5350e-05
