#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   6.2520e-04      3.6535e-04      4.0180e-01      9.3550e-01
   6.8771e-04      3.9989e-04      4.2140e-01      9.2050e-01
   7.5023e-04      4.3459e-04      4.4020e-01      9.0560e-01
   8.1275e-04      4.6937e-04      4.5810e-01      8.9100e-01
   8.7527e-04      5.0438e-04      4.7540e-01      8.7660e-01
   9.3779e-04      5.3947e-04      4.9210e-01      8.6250e-01
   1.0003e-03      5.7471e-04      5.0820e-01      8.4880e-01
   1.0628e-03      6.1003e-04      5.2390e-01      8.3550e-01
   1.1254e-03      6.4551e-04      5.3910e-01      8.2260e-01
   1.2504e-03      7.1679e-04      5.6820e-01      7.9800e-01
   1.4067e-03      8.0635e-04      6.0270e-01      7.6930e-01
   1.5630e-03      8.9630e-04      6.3530e-01      7.4280e-01
   1.7193e-03      9.8664e-04      6.6630e-01      7.1820e-01
   1.8756e-03      1.0772e-03      6.9590e-01      6.9550e-01
   2.0319e-03      1.1682e-03      7.1740e-01      6.7430e-01
   2.1882e-03      1.2604e-03      7.1750e-01      6.5460e-01
   2.3445e-03      1.3543e-03      7.2540e-01      6.3620e-01
   2.5008e-03      1.4490e-03      7.3860e-01      6.1900e-01
   2.8134e-03      1.6402e-03      7.7310e-01      5.8770e-01
   3.1260e-03      1.8318e-03      8.1190e-01      5.5980e-01
   3.4386e-03      2.0231e-03      8.5050e-01      5.3500e-01
   3.7512e-03      2.2136e-03      8.8700e-01      5.1260e-01
   4.0638e-03      2.4034e-03      9.2060e-01      4.9230e-01
   4.3764e-03      2.5926e-03      9.5120e-01      4.7380e-01
   5.0016e-03      2.9698e-03      1.0040e+00      4.4130e-01
   5.6268e-03      3.3457e-03      1.0470e+00      4.1360e-01
   6.2520e-03      3.7211e-03      1.0830e+00      3.8970e-01
   6.8771e-03      4.0964e-03      1.1130e+00      3.6880e-01
   7.5023e-03      4.4716e-03      1.1400e+00      3.5030e-01
