#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   6.2520e-04      2.8385e-04      6.6410e-01      1.2850e+00
   6.8771e-04      3.1006e-04      6.9660e-01      1.2620e+00
   7.5023e-04      3.3626e-04      7.2750e-01      1.2380e+00
   8.1275e-04      3.6333e-04      7.5720e-01      1.2160e+00
   8.7527e-04      3.8954e-04      7.8580e-01      1.1940e+00
   9.3779e-04      4.1574e-04      8.1340e-01      1.1720e+00
   1.0003e-03      4.4194e-04      8.4010e-01      1.1520e+00
   1.0628e-03      4.6814e-04      8.6600e-01      1.1320e+00
   1.1254e-03      4.9522e-04      8.9110e-01      1.1130e+00
   1.2504e-03      5.4762e-04      9.3930e-01      1.0760e+00
   1.4067e-03      6.1400e-04      9.9620e-01      1.0350e+00
   1.5630e-03      6.7950e-04      1.0500e+00      9.9610e-01
   1.7193e-03      7.4588e-04      1.1010e+00      9.6090e-01
   1.8756e-03      8.1139e-04      1.1500e+00      9.2840e-01
   2.0319e-03      8.7689e-04      1.1920e+00      8.9850e-01
   2.1882e-03      9.4327e-04      1.2150e+00      8.7070e-01
   2.3445e-03      1.0096e-03      1.2380e+00      8.4480e-01
   2.5008e-03      1.0760e-03      1.2640e+00      8.2070e-01
   2.8134e-03      1.2088e-03      1.3150e+00      7.7710e-01
   3.1260e-03      1.3424e-03      1.3680e+00      7.3860e-01
   3.4386e-03      1.4760e-03      1.4190e+00      7.0430e-01
   3.7512e-03      1.6088e-03      1.4700e+00      6.7360e-01
   4.0638e-03      1.7407e-03      1.5190e+00      6.4590e-01
   4.3764e-03      1.8717e-03      1.5660e+00      6.2070e-01
   5.0016e-03      2.1311e-03      1.6560e+00      5.7670e-01
   5.6268e-03      2.3870e-03      1.7400e+00      5.3940e-01
   6.2520e-03      2.6385e-03      1.8170e+00      5.0730e-01
   6.8771e-03      2.8866e-03      1.8890e+00      4.7930e-01
   7.5023e-03      3.1320e-03      1.9570e+00      4.5470e-01
   8.1275e-03      3.3731e-03      2.0190e+00      4.3280e-01
   8.7527e-03      3.6115e-03      2.0790e+00      4.1320e-01
   9.3779e-03      3.8464e-03      2.1340e+00      3.9560e-01
   1.0003e-02      4.0788e-03      2.1870e+00      3.7960e-01
   1.0628e-02      4.3085e-03      2.2370e+00      3.6500e-01
   1.1254e-02      4.5356e-03      2.2840e+00      3.5170e-01
   1.2504e-02      4.9827e-03      2.3740e+00      3.2810e-01
   1.4067e-02      5.5277e-03      2.4800e+00      3.0320e-01
   1.5630e-02      6.0605e-03      2.5810e+00      2.8220e-01
   1.7193e-02      6.5793e-03      2.6810e+00      2.6430e-01
   1.8756e-02      7.0850e-03      2.7800e+00      2.4880e-01
   2.0319e-02      7.5776e-03      2.8800e+00      2.3510e-01
   2.1882e-02      8.0580e-03      2.9800e+00      2.2310e-01
   2.3445e-02      8.5261e-03      3.0800e+00      2.1240e-01
   2.5008e-02      8.9960e-03      3.1810e+00      2.0280e-01
   2.8134e-02      9.8694e-03      3.3830e+00      1.8620e-01
   3.1260e-02      1.0655e-02      3.5840e+00      1.7230e-01
   3.4386e-02      1.1529e-02      3.7830e+00      1.6060e-01
   3.7512e-02      1.2228e-02      3.9800e+00      1.5050e-01
   4.0638e-02      1.3014e-02      4.1750e+00      1.4180e-01
   4.3764e-02      1.3712e-02      4.3660e+00      1.3400e-01
