#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   7.5000e+01      6.0000e+03      7.0290e-03      2.5930e-06
   8.0000e+01      6.7270e+03      6.6960e-03      2.4390e-06
   8.5000e+01      7.4880e+03      6.3990e-03      2.3040e-06
   9.0000e+01      8.2840e+03      6.1330e-03      2.1820e-06
   9.5000e+01      9.1140e+03      5.8930e-03      2.0740e-06
   1.0000e+02      9.9760e+03      5.6760e-03      1.9760e-06
   1.2500e+02      1.4760e+04      4.8350e-03      1.6000e-06
   1.5000e+02      2.0260e+04      4.2610e-03      1.3460e-06
   1.7500e+02      2.6440e+04      3.8430e-03      1.1630e-06
   2.0000e+02      3.3220e+04      3.5250e-03      1.0250e-06
   2.2500e+02      4.0570e+04      3.2760e-03      9.1640e-07
   2.5000e+02      4.8430e+04      3.0750e-03      8.2930e-07
   2.7500e+02      5.6780e+04      2.9100e-03      7.5760e-07
   3.0000e+02      6.5560e+04      2.7720e-03      6.9760e-07
   3.5000e+02      8.4340e+04      2.5550e-03      6.0270e-07
   4.0000e+02      1.0460e+05      2.3920e-03      5.3110e-07
   4.5000e+02      1.2600e+05      2.2660e-03      4.7500e-07
   5.0000e+02      1.4850e+05      2.1660e-03      4.2990e-07
   5.5000e+02      1.7200e+05      2.0860e-03      3.9280e-07
   6.0000e+02      1.9640e+05      2.0190e-03      3.6170e-07
   6.5000e+02      2.2140e+05      1.9640e-03      3.3530e-07
   7.0000e+02      2.4720e+05      1.9180e-03      3.1260e-07
   7.5000e+02      2.7350e+05      1.8780e-03      2.9290e-07
   8.0000e+02      3.0030e+05      1.8450e-03      2.7550e-07
   8.5000e+02      3.2760e+05      1.8160e-03      2.6020e-07
   9.0000e+02      3.5530e+05      1.7900e-03      2.4650e-07
   9.5000e+02      3.8330e+05      1.7680e-03      2.3420e-07
   1.0000e+03      4.1170e+05      1.7490e-03      2.2320e-07
   1.5000e+03      7.0770e+05      1.6470e-03      1.5230e-07
   2.0000e+03      1.0140e+06      1.6170e-03      1.1620e-07
   2.5000e+03      1.3240e+06      1.6130e-03      9.4190e-08
   3.0000e+03      1.6330e+06      1.6190e-03      7.9380e-08
   4.0000e+03      2.2460e+06      1.6420e-03      6.0620e-08
   5.0000e+03      2.8500e+06      1.6680e-03      4.9200e-08
   6.0000e+03      3.4450e+06      1.6920e-03      4.1480e-08
   7.0000e+03      4.0320e+06      1.7140e-03      3.5920e-08
   8.0000e+03      4.6120e+06      1.7340e-03      3.1700e-08
   9.0000e+03      5.1860e+06      1.7520e-03      2.8400e-08
   1.0000e+04      5.7540e+06      1.7680e-03      2.5740e-08
