#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.5642e-03      2.1196e-04      1.5250e+00      6.0590e+00
   1.7206e-03      2.3098e-04      1.5990e+00      5.9710e+00
   1.8771e-03      2.5042e-04      1.6700e+00      5.8810e+00
   2.0335e-03      2.6965e-04      1.7430e+00      5.7930e+00
   2.1899e-03      2.8910e-04      1.8210e+00      5.7060e+00
   2.3463e-03      3.0855e-04      1.8880e+00      5.6200e+00
   2.5027e-03      3.2800e-04      1.9470e+00      5.5360e+00
   2.6592e-03      3.4767e-04      2.0010e+00      5.4540e+00
   2.8156e-03      3.6755e-04      2.0530e+00      5.3750e+00
   3.1284e-03      4.0732e-04      2.1530e+00      5.2220e+00
   3.5195e-03      4.5736e-04      2.2760e+00      5.0430e+00
   3.9105e-03      5.0806e-04      2.3980e+00      4.8760e+00
   4.3016e-03      5.5919e-04      2.5220e+00      4.7220e+00
   4.6926e-03      6.1033e-04      2.6460e+00      4.5780e+00
   5.0837e-03      6.6190e-04      2.7690e+00      4.4440e+00
   5.4747e-03      7.1347e-04      2.8900e+00      4.3190e+00
   5.8658e-03      7.6504e-04      3.0100e+00      4.2010e+00
   6.2568e-03      8.1683e-04      3.1280e+00      4.0910e+00
   7.0389e-03      9.2019e-04      3.3540e+00      3.8900e+00
   7.8211e-03      1.0233e-03      3.5660e+00      3.7110e+00
   8.6032e-03      1.1260e-03      3.7650e+00      3.5500e+00
   9.3853e-03      1.2285e-03      3.9500e+00      3.4050e+00
   1.0167e-02      1.3306e-03      4.1230e+00      3.2740e+00
   1.0949e-02      1.4322e-03      4.2850e+00      3.1540e+00
   1.2514e-02      1.6341e-03      4.5790e+00      2.9420e+00
   1.4078e-02      1.8343e-03      4.8460e+00      2.7610e+00
   1.5642e-02      2.0325e-03      5.0940e+00      2.6040e+00
   1.7206e-02      2.2289e-03      5.3310e+00      2.4670e+00
   1.8771e-02      2.4256e-03      5.5630e+00      2.3450e+00
   2.0335e-02      2.6222e-03      5.7910e+00      2.2370e+00
   2.1899e-02      2.7971e-03      6.0180e+00      2.1400e+00
   2.3463e-02      2.9937e-03      6.2450e+00      2.0520e+00
   2.5027e-02      3.1685e-03      6.4710e+00      1.9720e+00
   2.6592e-02      3.3434e-03      6.6970e+00      1.8990e+00
   2.8156e-02      3.5182e-03      6.9240e+00      1.8320e+00
   3.1284e-02      3.8678e-03      7.3780e+00      1.7130e+00
   3.5195e-02      4.2830e-03      7.9460e+00      1.5860e+00
   3.9105e-02      4.6763e-03      8.5160e+00      1.4800e+00
   4.3016e-02      5.0478e-03      9.0860e+00      1.3880e+00
   4.6926e-02      5.4193e-03      9.6560e+00      1.3090e+00
   5.0837e-02      5.7471e-03      1.0220e+01      1.2390e+00
   5.4747e-02      6.0967e-03      1.0790e+01      1.1770e+00
   5.8658e-02      6.4026e-03      1.1350e+01      1.1220e+00
   6.2568e-02      6.7086e-03      1.1910e+01      1.0720e+00
   7.0389e-02      7.2767e-03      1.3010e+01      9.8590e-01
   7.8211e-02      7.8230e-03      1.4090e+01      9.1400e-01
   8.6032e-02      8.3256e-03      1.5150e+01      8.5300e-01
   9.3853e-02      8.7845e-03      1.6170e+01      8.0040e-01
   1.0167e-01      9.2216e-03      1.7170e+01      7.5460e-01
   1.0949e-01      9.6586e-03      1.8130e+01      7.1420e-01
   1.2514e-01      1.0445e-02      1.9960e+01      6.4630e-01
   1.4078e-01      1.1166e-02      2.1650e+01      5.9130e-01
   1.5642e-01      1.1844e-02      2.3220e+01      5.4570e-01
   1.7206e-01      1.2478e-02      2.4660e+01      5.0720e-01
   1.8771e-01      1.3089e-02      2.5990e+01      4.7430e-01
   2.0335e-01      1.3658e-02      2.7220e+01      4.4580e-01
   2.1899e-01      1.4226e-02      2.8340e+01      4.2070e-01
   2.3463e-01      1.4750e-02      2.9390e+01      3.9860e-01
   2.5027e-01      1.5275e-02      3.0360e+01      3.7890e-01
   2.6592e-01      1.5755e-02      3.1250e+01      3.6120e-01
   2.8156e-01      1.6258e-02      3.2090e+01      3.4520e-01
   3.1284e-01      1.7198e-02      3.3610e+01      3.1750e-01
   3.5195e-01      1.8312e-02      3.5270e+01      2.8900e-01
   3.9105e-01      1.9405e-02      3.6700e+01      2.6550e-01
   4.3016e-01      2.0432e-02      3.7960e+01      2.4590e-01
   4.6926e-01      2.1437e-02      3.9060e+01      2.2910e-01
   5.0837e-01      2.2420e-02      4.0030e+01      2.1470e-01
   5.4747e-01      2.3382e-02      4.0880e+01      2.0210e-01
   5.8658e-01      2.4321e-02      4.1630e+01      1.9100e-01
   6.2568e-01      2.5261e-02      4.2290e+01      1.8110e-01
   7.0389e-01      2.7075e-02      4.3370e+01      1.6440e-01
   7.8211e-01      2.8845e-02      4.4210e+01      1.5070e-01
   8.6032e-01      3.0593e-02      4.4840e+01      1.3920e-01
   9.3853e-01      3.2319e-02      4.5330e+01      1.2950e-01
   1.0167e+00      3.4045e-02      4.5680e+01      1.2110e-01
   1.0949e+00      3.5750e-02      4.5940e+01      1.1380e-01
   1.2514e+00      3.9137e-02      4.6240e+01      1.0170e-01
   1.4078e+00      4.2502e-02      4.6300e+01      9.2120e-02
   1.5642e+00      4.5867e-02      4.6210e+01      8.4260e-02
   1.7206e+00      4.9254e-02      4.6010e+01      7.7720e-02
   1.8771e+00      5.2663e-02      4.5730e+01      7.2170e-02
   2.0335e+00      5.6094e-02      4.5510e+01      6.7410e-02
   2.1899e+00      5.9525e-02      4.5560e+01      6.3280e-02
   2.3463e+00      6.2956e-02      4.5290e+01      5.9650e-02
   2.5027e+00      6.6430e-02      4.4850e+01      5.6440e-02
   2.6592e+00      6.9926e-02      4.4400e+01      5.3580e-02
   2.8156e+00      7.3467e-02      4.3950e+01      5.1010e-02
   3.1284e+00      8.0634e-02      4.3040e+01      4.6580e-02
   3.5195e+00      8.9834e-02      4.1910e+01      4.2080e-02
   3.9105e+00      9.9296e-02      4.0800e+01      3.8410e-02
   4.3016e+00      1.0900e-01      3.9730e+01      3.5370e-02
   4.6926e+00      1.1896e-01      3.8690e+01      3.2790e-02
   5.0837e+00      1.2919e-01      3.7690e+01      3.0580e-02
   5.4747e+00      1.3970e-01      3.6730e+01      2.8670e-02
   5.8658e+00      1.5047e-01      3.5810e+01      2.6990e-02
   6.2568e+00      1.6153e-01      3.4930e+01      2.5510e-02
   7.0389e+00      1.8445e-01      3.3280e+01      2.3010e-02
   7.8211e+00      2.0851e-01      3.1760e+01      2.0980e-02
   8.6032e+00      2.3369e-01      3.0380e+01      1.9300e-02
   9.3853e+00      2.5997e-01      2.9100e+01      1.7870e-02
   1.0167e+01      2.8740e-01      2.7930e+01      1.6660e-02
   1.0949e+01      3.1594e-01      2.6850e+01      1.5600e-02
   1.2514e+01      3.7638e-01      2.4940e+01      1.3870e-02
   1.4078e+01      4.4128e-01      2.3290e+01      1.2490e-02
   1.5642e+01      5.1059e-01      2.1860e+01      1.1380e-02
   1.7206e+01      5.8426e-01      2.0620e+01      1.0450e-02
   1.8771e+01      6.6223e-01      1.9520e+01      9.6750e-03
   2.0335e+01      7.4443e-01      1.8540e+01      9.0090e-03
   2.1899e+01      8.3081e-01      1.7670e+01      8.4330e-03
   2.3463e+01      9.2135e-01      1.6890e+01      7.9300e-03
   2.5027e+01      1.0160e+00      1.6180e+01      7.4850e-03
   2.6592e+01      1.1146e+00      1.5530e+01      7.0910e-03
   2.8156e+01      1.2174e+00      1.4930e+01      6.7370e-03
   3.1284e+01      1.4347e+00      1.3870e+01      6.1310e-03
   3.5195e+01      1.7286e+00      1.2760e+01      5.5160e-03
   3.9105e+01      2.0467e+00      1.1840e+01      5.0180e-03
   4.3016e+01      2.3819e+00      1.1060e+01      4.6060e-03
   4.6926e+01      2.7534e+00      1.0380e+01      4.2590e-03
   5.0837e+01      3.1467e+00      9.7990e+00      3.9630e-03
   5.4747e+01      3.5619e+00      9.2870e+00      3.7070e-03
   5.8658e+01      3.9771e+00      8.8340e+00      3.4830e-03
   6.2568e+01      4.4360e+00      8.4310e+00      3.2860e-03
   7.0389e+01      5.3975e+00      7.7430e+00      2.9540e-03
   7.8211e+01      6.4463e+00      7.1780e+00      2.6860e-03
   8.6032e+01      7.5827e+00      6.6940e+00      2.4630e-03
   9.3853e+01      8.7845e+00      6.2780e+00      2.2770e-03
   1.0167e+02      1.0074e+01      5.9200e+00      2.1170e-03
   1.0949e+02      1.1429e+01      5.6100e+00      1.9790e-03
   1.2514e+02      1.4357e+01      5.0990e+00      1.7530e-03
   1.4078e+02      1.7547e+01      4.6940e+00      1.5750e-03
   1.5642e+02      2.1000e+01      4.3650e+00      1.4310e-03
