#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   6.0266e-03      3.9855e-04      5.3860e+00      1.0170e+01
   6.6293e-03      4.3534e-04      5.5230e+00      9.9400e+00
   7.2320e-03      4.7241e-04      5.6570e+00      9.7190e+00
   7.8346e-03      5.0976e-04      5.7890e+00      9.5070e+00
   8.4373e-03      5.4739e-04      5.9200e+00      9.3040e+00
   9.0400e-03      5.8516e-04      6.0500e+00      9.1100e+00
   9.6426e-03      6.2321e-04      6.1800e+00      8.9250e+00
   1.0245e-02      6.6126e-04      6.3090e+00      8.7480e+00
   1.0848e-02      6.9959e-04      6.4370e+00      8.5780e+00
   1.2053e-02      7.7667e-04      6.6920e+00      8.2610e+00
   1.3560e-02      8.7348e-04      7.0070e+00      7.9000e+00
   1.5067e-02      9.7056e-04      7.3150e+00      7.5740e+00
   1.6573e-02      1.0679e-03      7.6150e+00      7.2770e+00
   1.8080e-02      1.1654e-03      7.9080e+00      7.0070e+00
   1.9587e-02      1.2626e-03      8.1910e+00      6.7600e+00
   2.1093e-02      1.3599e-03      8.4660e+00      6.5320e+00
   2.2600e-02      1.4549e-03      8.7320e+00      6.3220e+00
   2.4107e-02      1.5528e-03      8.9890e+00      6.1270e+00
   2.7120e-02      1.7486e-03      9.4780e+00      5.7770e+00
   3.0133e-02      1.9305e-03      9.9360e+00      5.4700e+00
   3.3147e-02      2.1263e-03      1.0370e+01      5.2000e+00
   3.6160e-02      2.3082e-03      1.0770e+01      4.9590e+00
   3.9173e-02      2.5040e-03      1.1160e+01      4.7430e+00
   4.2186e-02      2.6859e-03      1.1530e+01      4.5480e+00
   4.8213e-02      3.0496e-03      1.2220e+01      4.2090e+00
   5.4240e-02      3.3993e-03      1.2880e+01      3.9230e+00
   6.0266e-02      3.7491e-03      1.3500e+01      3.6790e+00
   6.6293e-02      4.0848e-03      1.4110e+01      3.4680e+00
   7.2320e-02      4.4205e-03      1.4700e+01      3.2820e+00
   7.8346e-02      4.7423e-03      1.5280e+01      3.1180e+00
   8.4373e-02      5.0640e-03      1.5860e+01      2.9720e+00
   9.0400e-02      5.3858e-03      1.6440e+01      2.8410e+00
   9.6426e-02      5.6795e-03      1.7010e+01      2.7220e+00
   1.0245e-01      5.9873e-03      1.7580e+01      2.6140e+00
   1.0848e-01      6.2671e-03      1.8150e+01      2.5160e+00
   1.2053e-01      6.8406e-03      1.9280e+01      2.3420e+00
   1.3560e-01      7.5121e-03      2.0680e+01      2.1590e+00
   1.5067e-01      8.1416e-03      2.2050e+01      2.0060e+00
   1.6573e-01      8.7431e-03      2.3390e+01      1.8750e+00
   1.8080e-01      9.3307e-03      2.4700e+01      1.7620e+00
   1.9587e-01      9.8763e-03      2.5970e+01      1.6640e+00
   2.1093e-01      1.0408e-02      2.7200e+01      1.5770e+00
   2.2600e-01      1.0925e-02      2.8390e+01      1.4990e+00
   2.4107e-01      1.1415e-02      2.9540e+01      1.4300e+00
   2.7120e-01      1.2352e-02      3.1740e+01      1.3110e+00
   3.0133e-01      1.3234e-02      3.3800e+01      1.2110e+00
   3.3147e-01      1.4059e-02      3.5730e+01      1.1280e+00
   3.6160e-01      1.4856e-02      3.7550e+01      1.0560e+00
   3.9173e-01      1.5626e-02      3.9260e+01      9.9310e-01
   4.2186e-01      1.6353e-02      4.0880e+01      9.3820e-01
   4.8213e-01      1.7738e-02      4.3880e+01      8.4630e-01
   5.4240e-01      1.9053e-02      4.6590e+01      7.7220e-01
   6.0266e-01      2.0284e-02      4.9070e+01      7.1110e-01
   6.6293e-01      2.1473e-02      5.1340e+01      6.5960e-01
   7.2320e-01      2.2606e-02      5.3440e+01      6.1570e-01
   7.8346e-01      2.3697e-02      5.5390e+01      5.7770e-01
   8.4373e-01      2.4747e-02      5.7200e+01      5.4450e-01
   9.0400e-01      2.5782e-02      5.8890e+01      5.1520e-01
   9.6426e-01      2.6775e-02      6.0470e+01      4.8920e-01
   1.0245e+00      2.7754e-02      6.1950e+01      4.6580e-01
   1.0848e+00      2.8705e-02      6.3340e+01      4.4480e-01
   1.2053e+00      3.0566e-02      6.5870e+01      4.0840e-01
   1.3560e+00      3.2790e-02      6.8630e+01      3.7100e-01
   1.5067e+00      3.4931e-02      7.1010e+01      3.4030e-01
   1.6573e+00      3.7015e-02      7.3070e+01      3.1460e-01
   1.8080e+00      3.9043e-02      7.4860e+01      2.9280e-01
   1.9587e+00      4.1016e-02      7.6410e+01      2.7410e-01
   2.1093e+00      4.2960e-02      7.7790e+01      2.5770e-01
   2.2600e+00      4.4891e-02      7.8650e+01      2.4330e-01
   2.4107e+00      4.6793e-02      7.8990e+01      2.3060e-01
   2.7120e+00      5.0570e-02      8.0120e+01      2.0890e-01
   3.0133e+00      5.4305e-02      8.0860e+01      1.9130e-01
   3.3147e+00      5.8013e-02      8.1290e+01      1.7650e-01
   3.6160e+00      6.1706e-02      8.1490e+01      1.6400e-01
   3.9173e+00      6.5385e-02      8.1510e+01      1.5330e-01
   4.2186e+00      6.9078e-02      8.1390e+01      1.4390e-01
   4.8213e+00      7.6492e-02      8.0850e+01      1.2850e-01
   5.4240e+00      8.3976e-02      8.0050e+01      1.1620e-01
   6.0266e+00      9.1544e-02      7.9100e+01      1.0620e-01
   6.6293e+00      9.9196e-02      7.8060e+01      9.7830e-02
   7.2320e+00      1.0696e-01      7.6990e+01      9.0770e-02
   7.8346e+00      1.1484e-01      7.5910e+01      8.4720e-02
   8.4373e+00      1.2282e-01      7.4840e+01      7.9470e-02
   9.0400e+00      1.3092e-01      7.3790e+01      7.4870e-02
   9.6426e+00      1.3913e-01      7.2770e+01      7.0800e-02
   1.0245e+01      1.4747e-01      7.1780e+01      6.7180e-02
   1.0848e+01      1.5592e-01      7.0810e+01      6.3930e-02
   1.2053e+01      1.7316e-01      6.8980e+01      5.8330e-02
   1.3560e+01      1.9531e-01      6.6860e+01      5.2640e-02
   1.5067e+01      2.1819e-01      6.4890e+01      4.8020e-02
   1.6573e+01      2.4173e-01      6.3050e+01      4.4180e-02
   1.8080e+01      2.6595e-01      6.1310e+01      4.0930e-02
   1.9587e+01      2.9085e-01      5.9660e+01      3.8160e-02
   2.1093e+01      3.1643e-01      5.8080e+01      3.5750e-02
   2.2600e+01      3.4270e-01      5.6540e+01      3.3650e-02
   2.4107e+01      3.6970e-01      5.5060e+01      3.1790e-02
   2.7120e+01      4.2591e-01      5.2190e+01      2.8650e-02
   3.0133e+01      4.8521e-01      4.9440e+01      2.6100e-02
   3.3147e+01      5.4774e-01      4.6960e+01      2.3990e-02
   3.6160e+01      6.1347e-01      4.4740e+01      2.2210e-02
   3.9173e+01      6.8236e-01      4.2750e+01      2.0690e-02
