#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   8.3401e-03      8.4115e-04      2.9140e+00      6.1580e+00
   9.1742e-03      9.2711e-04      3.0900e+00      5.9480e+00
   1.0008e-02      1.0138e-03      3.2590e+00      5.7540e+00
   1.0842e-02      1.1008e-03      3.4210e+00      5.5750e+00
   1.1676e-02      1.1879e-03      3.5770e+00      5.4080e+00
   1.2510e-02      1.2754e-03      3.7280e+00      5.2520e+00
   1.3344e-02      1.3629e-03      3.8730e+00      5.1070e+00
   1.4178e-02      1.4506e-03      4.0150e+00      4.9700e+00
   1.5012e-02      1.5383e-03      4.1540e+00      4.8430e+00
   1.6680e-02      1.7137e-03      4.4220e+00      4.6090e+00
   1.8765e-02      1.9324e-03      4.7460e+00      4.3510e+00
   2.0850e-02      2.1489e-03      5.0610e+00      4.1250e+00
   2.2935e-02      2.3618e-03      5.3720e+00      3.9260e+00
   2.5020e-02      2.5748e-03      5.6790e+00      3.7470e+00
   2.7105e-02      2.7877e-03      5.9850e+00      3.5870e+00
   2.9191e-02      3.0007e-03      6.2910e+00      3.4420e+00
   3.1276e-02      3.1943e-03      6.5970e+00      3.3100e+00
   3.3361e-02      3.4072e-03      6.9020e+00      3.1890e+00
   3.7531e-02      3.7944e-03      7.5150e+00      2.9760e+00
   4.1701e-02      4.1622e-03      8.1270e+00      2.7930e+00
   4.5871e-02      4.5300e-03      8.7370e+00      2.6350e+00
   5.0041e-02      4.8785e-03      9.3420e+00      2.4960e+00
   5.4211e-02      5.2076e-03      9.9400e+00      2.3730e+00
   5.8381e-02      5.5367e-03      1.0530e+01      2.2630e+00
   6.6721e-02      6.1562e-03      1.1670e+01      2.0750e+00
   7.5061e-02      6.7370e-03      1.2760e+01      1.9190e+00
   8.3401e-02      7.2790e-03      1.3790e+01      1.7870e+00
   9.1742e-02      7.7824e-03      1.4760e+01      1.6750e+00
   1.0008e-01      8.2664e-03      1.5670e+01      1.5770e+00
   1.0842e-01      8.7310e-03      1.6520e+01      1.4920e+00
   1.1676e-01      9.1762e-03      1.7310e+01      1.4160e+00
   1.2510e-01      9.6215e-03      1.8050e+01      1.3480e+00
