#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.2513e-03      1.5819e-04      1.3140e+00      7.2330e+00
   1.3764e-03      1.7183e-04      1.3780e+00      7.1710e+00
   1.5015e-03      1.8564e-04      1.4400e+00      7.1040e+00
   1.6266e-03      1.9927e-04      1.4980e+00      7.0340e+00
   1.7518e-03      2.1308e-04      1.5550e+00      6.9620e+00
   1.8769e-03      2.2689e-04      1.6100e+00      6.8890e+00
   2.0020e-03      2.4087e-04      1.6630e+00      6.8150e+00
   2.1271e-03      2.5468e-04      1.7660e+00      6.7420e+00
   2.2523e-03      2.6867e-04      1.8450e+00      6.6690e+00
   2.5025e-03      2.9646e-04      1.9600e+00      6.5250e+00
   2.8153e-03      3.3160e-04      2.0610e+00      6.3520e+00
   3.1281e-03      3.6690e-04      2.1450e+00      6.1860e+00
   3.4409e-03      4.0274e-04      2.2240e+00      6.0270e+00
   3.7538e-03      4.3910e-04      2.3050e+00      5.8770e+00
   4.0666e-03      4.7563e-04      2.3890e+00      5.7350e+00
   4.3794e-03      5.1251e-04      2.4760e+00      5.5990e+00
   4.6922e-03      5.4957e-04      2.5680e+00      5.4710e+00
   5.0050e-03      5.8680e-04      2.6620e+00      5.3490e+00
   5.6306e-03      6.6179e-04      2.8550e+00      5.1230e+00
   6.2563e-03      7.3696e-04      3.0500e+00      4.9190e+00
   6.8819e-03      8.1247e-04      3.2420e+00      4.7320e+00
   7.5075e-03      8.8781e-04      3.4290e+00      4.5610e+00
   8.1331e-03      9.6315e-04      3.6080e+00      4.4050e+00
   8.7588e-03      1.0383e-03      3.7780e+00      4.2600e+00
   1.0010e-02      1.1881e-03      4.0890e+00      4.0020e+00
   1.1261e-02      1.3374e-03      4.3660e+00      3.7780e+00
   1.2513e-02      1.4860e-03      4.6120e+00      3.5820e+00
   1.3764e-02      1.6337e-03      4.8350e+00      3.4090e+00
   1.5015e-02      1.7830e-03      5.0400e+00      3.2540e+00
   1.6266e-02      1.9228e-03      5.2330e+00      3.1150e+00
   1.7518e-02      2.0801e-03      5.4180e+00      2.9890e+00
   1.8769e-02      2.2200e-03      5.5970e+00      2.8740e+00
   2.0020e-02      2.3598e-03      5.7720e+00      2.7690e+00
   2.1271e-02      2.4996e-03      5.9460e+00      2.6730e+00
   2.2523e-02      2.6395e-03      6.1180e+00      2.5840e+00
   2.5025e-02      2.9192e-03      6.4620e+00      2.4260e+00
   2.8153e-02      3.2688e-03      6.8940e+00      2.2570e+00
   3.1281e-02      3.6009e-03      7.3300e+00      2.1120e+00
   3.4409e-02      3.9155e-03      7.7720e+00      1.9880e+00
   3.7538e-02      4.2302e-03      8.2200e+00      1.8790e+00
   4.0666e-02      4.5273e-03      8.6750e+00      1.7830e+00
   4.3794e-02      4.8070e-03      9.1340e+00      1.6980e+00
   4.6922e-02      5.0867e-03      9.5980e+00      1.6210e+00
   5.0050e-02      5.3664e-03      1.0070e+01      1.5520e+00
   5.6306e-02      5.8733e-03      1.1010e+01      1.4320e+00
   6.2563e-02      6.3627e-03      1.1960e+01      1.3310e+00
   6.8819e-02      6.8172e-03      1.2900e+01      1.2460e+00
   7.5075e-02      7.2367e-03      1.3840e+01      1.1710e+00
   8.1331e-02      7.6388e-03      1.4770e+01      1.1060e+00
   8.7588e-02      8.0233e-03      1.5690e+01      1.0490e+00
   1.0010e-01      8.7225e-03      1.7460e+01      9.5170e-01
   1.1261e-01      9.3693e-03      1.9160e+01      8.7280e-01
   1.2513e-01      9.9636e-03      2.0770e+01      8.0720e-01
   1.3764e-01      1.0523e-02      2.2290e+01      7.5160e-01
   1.5015e-01      1.1047e-02      2.3710e+01      7.0390e-01
   1.6266e-01      1.1554e-02      2.5050e+01      6.6250e-01
   1.7518e-01      1.2026e-02      2.6300e+01      6.2610e-01
   1.8769e-01      1.2481e-02      2.7470e+01      5.9380e-01
   2.0020e-01      1.2918e-02      2.8570e+01      5.6500e-01
   2.1271e-01      1.3337e-02      2.9590e+01      5.3920e-01
   2.2523e-01      1.3739e-02      3.0560e+01      5.1580e-01
   2.5025e-01      1.4526e-02      3.2320e+01      4.7510e-01
   2.8153e-01      1.5452e-02      3.4250e+01      4.3320e-01
   3.1281e-01      1.6326e-02      3.5960e+01      3.9860e-01
   3.4409e-01      1.7165e-02      3.7470e+01      3.6950e-01
   3.7538e-01      1.7987e-02      3.8830e+01      3.4470e-01
   4.0666e-01      1.8773e-02      4.0050e+01      3.2330e-01
   4.3794e-01      1.9525e-02      4.1170e+01      3.0460e-01
   4.6922e-01      2.0277e-02      4.2190e+01      2.8810e-01
   5.0050e-01      2.1011e-02      4.3120e+01      2.7350e-01
   5.6306e-01      2.2427e-02      4.4760e+01      2.4850e-01
   6.2563e-01      2.3790e-02      4.6120e+01      2.2800e-01
   6.8819e-01      2.5119e-02      4.7270e+01      2.1090e-01
   7.5075e-01      2.6430e-02      4.8240e+01      1.9630e-01
   8.1331e-01      2.7706e-02      4.9050e+01      1.8380e-01
   8.7588e-01      2.8964e-02      4.9740e+01      1.7280e-01
   1.0010e+00      3.1446e-02      5.0810e+01      1.5470e-01
   1.1261e+00      3.3876e-02      5.1560e+01      1.4020e-01
   1.2513e+00      3.6288e-02      5.2080e+01      1.2840e-01
   1.3764e+00      3.8683e-02      5.2420e+01      1.1850e-01
   1.5015e+00      4.1060e-02      5.2620e+01      1.1010e-01
   1.6266e+00      4.3420e-02      5.2700e+01      1.0290e-01
   1.7518e+00      4.5798e-02      5.2700e+01      9.6660e-02
