#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.1375e-03      1.6635e-04      8.3550e-01      6.2230e+00
   1.2513e-03      1.8034e-04      8.7630e-01      6.2100e+00
   1.3650e-03      1.9434e-04      9.1530e-01      6.1890e+00
   1.4788e-03      2.0833e-04      9.5260e-01      6.1620e+00
   1.5925e-03      2.2232e-04      9.8860e-01      6.1310e+00
   1.7063e-03      2.3632e-04      1.0230e+00      6.0970e+00
   1.8200e-03      2.5031e-04      1.0570e+00      6.0600e+00
   1.9338e-03      2.6431e-04      1.0890e+00      6.0220e+00
   2.0475e-03      2.7830e-04      1.1670e+00      5.9810e+00
   2.2751e-03      3.0629e-04      1.3880e+00      5.8990e+00
   2.5594e-03      3.4062e-04      1.5590e+00      5.7920e+00
   2.8438e-03      3.7520e-04      1.6620e+00      5.6850e+00
   3.1282e-03      4.0979e-04      1.7300e+00      5.5800e+00
   3.4126e-03      4.4465e-04      1.7820e+00      5.4760e+00
   3.6970e-03      4.8003e-04      1.8290e+00      5.3750e+00
   3.9813e-03      5.1568e-04      1.8750e+00      5.2780e+00
   4.2657e-03      5.5185e-04      1.9250e+00      5.1830e+00
   4.5501e-03      5.8802e-04      1.9780e+00      5.0920e+00
   5.1189e-03      6.6143e-04      2.0930e+00      4.9180e+00
   5.6876e-03      7.3536e-04      2.2170e+00      4.7570e+00
   6.2564e-03      8.1008e-04      2.3470e+00      4.6070e+00
   6.8252e-03      8.8507e-04      2.4800e+00      4.4670e+00
   7.3939e-03      9.6006e-04      2.6110e+00      4.3370e+00
   7.9627e-03      1.0353e-03      2.7410e+00      4.2150e+00
   9.1002e-03      1.1861e-03      2.9930e+00      3.9940e+00
   1.0238e-02      1.3366e-03      3.2300e+00      3.7980e+00
   1.1375e-02      1.4866e-03      3.4550e+00      3.6240e+00
   1.2513e-02      1.6357e-03      3.6660e+00      3.4670e+00
   1.3650e-02      1.7844e-03      3.8680e+00      3.3260e+00
   1.4788e-02      1.9320e-03      4.0600e+00      3.1970e+00
   1.5925e-02      2.0785e-03      4.2450e+00      3.0800e+00
