#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   7.5000e+01      5.6360e+03      7.4000e-03      2.2990e-06
   8.0000e+01      6.3280e+03      7.0410e-03      2.1620e-06
   8.5000e+01      7.0550e+03      6.7210e-03      2.0410e-06
   9.0000e+01      7.8140e+03      6.4360e-03      1.9330e-06
   9.5000e+01      8.6070e+03      6.1780e-03      1.8360e-06
   1.0000e+02      9.4310e+03      5.9450e-03      1.7480e-06
   1.2500e+02      1.4010e+04      5.0460e-03      1.4130e-06
   1.5000e+02      1.9310e+04      4.4340e-03      1.1880e-06
   1.7500e+02      2.5260e+04      3.9900e-03      1.0260e-06
   2.0000e+02      3.1810e+04      3.6530e-03      9.0330e-07
   2.2500e+02      3.8920e+04      3.3890e-03      8.0740e-07
   2.5000e+02      4.6540e+04      3.1770e-03      7.3030e-07
   2.7500e+02      5.4630e+04      3.0020e-03      6.6700e-07
   3.0000e+02      6.3170e+04      2.8560e-03      6.1400e-07
   3.5000e+02      8.1450e+04      2.6260e-03      5.3020e-07
   4.0000e+02      1.0120e+05      2.4540e-03      4.6700e-07
   4.5000e+02      1.2210e+05      2.3210e-03      4.1750e-07
   5.0000e+02      1.4420e+05      2.2150e-03      3.7770e-07
   5.5000e+02      1.6720e+05      2.1290e-03      3.4500e-07
   6.0000e+02      1.9110e+05      2.0580e-03      3.1770e-07
   6.5000e+02      2.1570e+05      1.9990e-03      2.9440e-07
   7.0000e+02      2.4100e+05      1.9500e-03      2.7450e-07
   7.5000e+02      2.6700e+05      1.9070e-03      2.5710e-07
   8.0000e+02      2.9340e+05      1.8710e-03      2.4180e-07
   8.5000e+02      3.2040e+05      1.8390e-03      2.2830e-07
   9.0000e+02      3.4780e+05      1.8120e-03      2.1630e-07
   9.5000e+02      3.7550e+05      1.7870e-03      2.0550e-07
   1.0000e+03      4.0370e+05      1.7660e-03      1.9580e-07
   1.5000e+03      6.9840e+05      1.6480e-03      1.3340e-07
   2.0000e+03      1.0060e+06      1.6080e-03      1.0170e-07
   2.5000e+03      1.3180e+06      1.5960e-03      8.2460e-08
   3.0000e+03      1.6320e+06      1.5950e-03      6.9470e-08
   4.0000e+03      2.2570e+06      1.6070e-03      5.3030e-08
   5.0000e+03      2.8760e+06      1.6250e-03      4.3020e-08
   6.0000e+03      3.4880e+06      1.6430e-03      3.6260e-08
   7.0000e+03      4.0930e+06      1.6600e-03      3.1380e-08
   8.0000e+03      4.6920e+06      1.6760e-03      2.7690e-08
   9.0000e+03      5.2860e+06      1.6910e-03      2.4800e-08
   1.0000e+04      5.8750e+06      1.7040e-03      2.2470e-08
