#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   8.3333e-04      6.4104e-04      3.9500e-01      5.6320e-01
   9.1667e-04      7.0385e-04      4.1430e-01      5.4940e-01
   1.0000e-03      7.6708e-04      4.3270e-01      5.3630e-01
   1.0833e-03      8.3042e-04      4.5030e-01      5.2380e-01
   1.1667e-03      8.9385e-04      4.6730e-01      5.1190e-01
   1.2500e-03      9.5750e-04      4.8380e-01      5.0060e-01
   1.3333e-03      1.0214e-03      4.9960e-01      4.8980e-01
   1.4167e-03      1.0851e-03      5.1500e-01      4.7960e-01
   1.5000e-03      1.1491e-03      5.2990e-01      4.6980e-01
   1.6667e-03      1.2770e-03      5.5860e-01      4.5150e-01
   1.8750e-03      1.4369e-03      5.9250e-01      4.3090e-01
   2.0833e-03      1.5973e-03      6.1470e-01      4.1240e-01
   2.2917e-03      1.7594e-03      6.2910e-01      3.9560e-01
   2.5000e-03      1.9226e-03      6.5040e-01      3.8040e-01
   2.7083e-03      2.0858e-03      6.7500e-01      3.6650e-01
   2.9167e-03      2.2482e-03      7.0090e-01      3.5370e-01
   3.1250e-03      2.4097e-03      7.2670e-01      3.4200e-01
   3.3333e-03      2.5700e-03      7.5170e-01      3.3110e-01
   3.7500e-03      2.8876e-03      7.9750e-01      3.1170e-01
   4.1667e-03      3.2014e-03      8.3740e-01      2.9470e-01
   4.5833e-03      3.5122e-03      8.7150e-01      2.7980e-01
   5.0000e-03      3.8209e-03      9.0070e-01      2.6650e-01
   5.4167e-03      4.1281e-03      9.2590e-01      2.5470e-01
   5.8333e-03      4.4342e-03      9.4780e-01      2.4400e-01
   6.6667e-03      5.0444e-03      9.8460e-01      2.2540e-01
   7.5000e-03      5.6523e-03      1.0150e+00      2.0990e-01
   8.3333e-03      6.2581e-03      1.0420e+00      1.9660e-01
   9.1667e-03      6.8618e-03      1.0670e+00      1.8510e-01
   1.0000e-02      7.4623e-03      1.0910e+00      1.7510e-01
   1.0833e-02      8.0592e-03      1.1150e+00      1.6620e-01
   1.1667e-02      8.6515e-03      1.1400e+00      1.5830e-01
   1.2500e-02      9.2384e-03      1.1650e+00      1.5120e-01
   1.3333e-02      9.8194e-03      1.1910e+00      1.4480e-01
   1.4167e-02      1.0393e-02      1.2170e+00      1.3900e-01
   1.5000e-02      1.0938e-02      1.2450e+00      1.3370e-01
   1.6667e-02      1.2083e-02      1.3040e+00      1.2440e-01
   1.8750e-02      1.3437e-02      1.3820e+00      1.1460e-01
   2.0833e-02      1.4687e-02      1.4660e+00      1.0640e-01
   2.2917e-02      1.5938e-02      1.5530e+00      9.9360e-02
   2.5000e-02      1.7083e-02      1.6430e+00      9.3330e-02
   2.7083e-02      1.8229e-02      1.7360e+00      8.8060e-02
   2.9167e-02      1.9271e-02      1.8290e+00      8.3420e-02
   3.1250e-02      2.0313e-02      1.9230e+00      7.9290e-02
   3.3333e-02      2.1250e-02      2.0160e+00      7.5590e-02
   3.7500e-02      2.3125e-02      2.2030e+00      6.9240e-02
   4.1667e-02      2.4792e-02      2.3850e+00      6.3960e-02
   4.5833e-02      2.6458e-02      2.5630e+00      5.9500e-02
   5.0000e-02      2.7917e-02      2.7350e+00      5.5680e-02
   5.4167e-02      2.9375e-02      2.9010e+00      5.2360e-02
   5.8333e-02      3.0729e-02      3.0600e+00      4.9460e-02
   6.6667e-02      3.3229e-02      3.3590e+00      4.4580e-02
   7.5000e-02      3.5521e-02      3.6330e+00      4.0660e-02
   8.3333e-02      3.7708e-02      3.8830e+00      3.7420e-02
   9.1667e-02      3.9792e-02      4.1110e+00      3.4700e-02
   1.0000e-01      4.1667e-02      4.3190e+00      3.2380e-02
   1.0833e-01      4.3542e-02      4.5080e+00      3.0380e-02
   1.1667e-01      4.5312e-02      4.6800e+00      2.8620e-02
   1.2500e-01      4.7083e-02      4.8360e+00      2.7080e-02
   1.3333e-01      4.8750e-02      4.9780e+00      2.5700e-02
   1.4167e-01      5.0313e-02      5.1070e+00      2.4470e-02
   1.5000e-01      5.1979e-02      5.2240e+00      2.3360e-02
   1.6667e-01      5.5104e-02      5.4260e+00      2.1440e-02
   1.8750e-01      5.8750e-02      5.6280e+00      1.9470e-02
   2.0833e-01      6.2396e-02      5.7850e+00      1.7850e-02
   2.2917e-01      6.5937e-02      5.9040e+00      1.6500e-02
   2.5000e-01      6.9479e-02      5.9940e+00      1.5360e-02
   2.7083e-01      7.2917e-02      6.0610e+00      1.4370e-02
   2.9167e-01      7.6250e-02      6.1080e+00      1.3510e-02
   3.1250e-01      7.9688e-02      6.1390e+00      1.2750e-02
   3.3333e-01      8.3021e-02      6.1590e+00      1.2080e-02
   3.7500e-01      8.9792e-02      6.1680e+00      1.0950e-02
   4.1667e-01      9.6562e-02      6.1510e+00      1.0020e-02
   4.5833e-01      1.0333e-01      6.1150e+00      9.2420e-03
   5.0000e-01      1.1010e-01      6.0670e+00      8.5860e-03
   5.4167e-01      1.1698e-01      6.0110e+00      8.0220e-03
   5.8333e-01      1.2396e-01      5.9500e+00      7.5320e-03
   6.6667e-01      1.3812e-01      5.8180e+00      6.7210e-03
   7.5000e-01      1.5250e-01      5.6800e+00      6.0770e-03
   8.3333e-01      1.6740e-01      5.5420e+00      5.5520e-03
   9.1667e-01      1.8260e-01      5.4070e+00      5.1150e-03
   1.0000e+00      1.9812e-01      5.2740e+00      4.7460e-03
   1.0833e+00      2.1417e-01      5.1450e+00      4.4290e-03
   1.1667e+00      2.3052e-01      5.0200e+00      4.1540e-03
   1.2500e+00      2.4729e-01      4.9000e+00      3.9130e-03
   1.3333e+00      2.6448e-01      4.7830e+00      3.7000e-03
   1.4167e+00      2.8208e-01      4.6710e+00      3.5100e-03
   1.5000e+00      3.0010e-01      4.5620e+00      3.3400e-03
   1.6667e+00      3.3750e-01      4.3570e+00      3.0470e-03
   1.8750e+00      3.8667e-01      4.1200e+00      2.7490e-03
