#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.3528e-03      1.7992e-04      1.1790e+00      6.7080e+00
   1.4881e-03      1.9579e-04      1.2370e+00      6.6340e+00
   1.6234e-03      2.1204e-04      1.2920e+00      6.5570e+00
   1.7587e-03      2.2811e-04      1.3440e+00      6.4780e+00
   1.8939e-03      2.4436e-04      1.3950e+00      6.3990e+00
   2.0292e-03      2.6061e-04      1.4260e+00      6.3200e+00
   2.1645e-03      2.7725e-04      1.4050e+00      6.2420e+00
   2.2998e-03      2.9388e-04      1.4020e+00      6.1640e+00
   2.4351e-03      3.1089e-04      1.4130e+00      6.0880e+00
   2.7056e-03      3.4509e-04      1.4620e+00      5.9400e+00
   3.0438e-03      3.8856e-04      1.5510e+00      5.7630e+00
   3.3820e-03      4.3240e-04      1.6550e+00      5.5960e+00
   3.7202e-03      4.7682e-04      1.7640e+00      5.4390e+00
   4.0584e-03      5.2142e-04      1.8720e+00      5.2910e+00
   4.3966e-03      5.6640e-04      1.9750e+00      5.1510e+00
   4.7348e-03      6.1175e-04      2.0740e+00      5.0200e+00
   5.0731e-03      6.5711e-04      2.1660e+00      4.8960e+00
   5.4113e-03      7.0304e-04      2.2520e+00      4.7790e+00
   6.0877e-03      7.9526e-04      2.4060e+00      4.5630e+00
   6.7641e-03      8.8843e-04      2.5390e+00      4.3690e+00
   7.4405e-03      9.8274e-04      2.6540e+00      4.1940e+00
   8.1169e-03      1.0780e-03      2.7550e+00      4.0340e+00
   8.7933e-03      1.1742e-03      2.8430e+00      3.8880e+00
   9.4697e-03      1.2711e-03      2.9220e+00      3.7540e+00
   1.0823e-02      1.4681e-03      3.0610e+00      3.5160e+00
   1.2175e-02      1.6678e-03      3.1850e+00      3.3110e+00
   1.3528e-02      1.8702e-03      3.3020e+00      3.1330e+00
   1.4881e-02      2.0789e-03      3.4200e+00      2.9750e+00
   1.6234e-02      2.2868e-03      3.5420e+00      2.8350e+00
   1.7587e-02      2.4946e-03      3.6710e+00      2.7100e+00
   1.8939e-02      2.6836e-03      3.8080e+00      2.5970e+00
   2.0292e-02      2.8915e-03      3.9520e+00      2.4940e+00
