#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   7.6979e-03      7.4904e-04      2.7030e+00      6.7140e+00
   8.4677e-03      8.2587e-04      2.8830e+00      6.4990e+00
   9.2374e-03      9.0289e-04      3.0600e+00      6.2980e+00
   1.0007e-02      9.8026e-04      3.2340e+00      6.1120e+00
   1.0777e-02      1.0578e-03      3.4030e+00      5.9380e+00
   1.1547e-02      1.1355e-03      3.5670e+00      5.7750e+00
   1.2317e-02      1.2133e-03      3.7260e+00      5.6220e+00
   1.3086e-02      1.2912e-03      3.8800e+00      5.4780e+00
   1.3856e-02      1.3689e-03      4.0300e+00      5.3430e+00
   1.5396e-02      1.5243e-03      4.3170e+00      5.0950e+00
   1.7320e-02      1.7182e-03      4.6540e+00      4.8210e+00
   1.9245e-02      1.9119e-03      4.9740e+00      4.5790e+00
   2.1169e-02      2.1085e-03      5.2780e+00      4.3640e+00
   2.3094e-02      2.2871e-03      5.5720e+00      4.1720e+00
   2.5018e-02      2.4837e-03      5.8560e+00      3.9980e+00
   2.6943e-02      2.6624e-03      6.1340e+00      3.8410e+00
   2.8867e-02      2.8589e-03      6.4070e+00      3.6970e+00
   3.0791e-02      3.0376e-03      6.6760e+00      3.5660e+00
   3.4640e-02      3.3950e-03      7.2060e+00      3.3330e+00
   3.8489e-02      3.7345e-03      7.7290e+00      3.1330e+00
   4.2338e-02      4.0740e-03      8.2490e+00      2.9590e+00
   4.6187e-02      4.4135e-03      8.7660e+00      2.8060e+00
   5.0036e-02      4.7172e-03      9.2810e+00      2.6700e+00
   5.3885e-02      5.0389e-03      9.7920e+00      2.5490e+00
   6.1583e-02      5.6285e-03      1.0800e+01      2.3400e+00
   6.9281e-02      6.1824e-03      1.1790e+01      2.1670e+00
   7.6979e-02      6.7006e-03      1.2750e+01      2.0210e+00
   8.4677e-02      7.2009e-03      1.3670e+01      1.8950e+00
   9.2374e-02      7.6834e-03      1.4550e+01      1.7860e+00
   1.0007e-01      8.1301e-03      1.5400e+01      1.6900e+00
   1.0777e-01      8.5589e-03      1.6200e+01      1.6060e+00
   1.1547e-01      8.9878e-03      1.6960e+01      1.5300e+00
   1.2317e-01      9.3809e-03      1.7680e+01      1.4620e+00
   1.3086e-01      9.7740e-03      1.8360e+01      1.4000e+00
   1.3856e-01      1.0167e-02      1.9010e+01      1.3440e+00
   1.5396e-01      1.0882e-02      2.0210e+01      1.2460e+00
   1.7320e-01      1.1757e-02      2.1540e+01      1.1440e+00
   1.9245e-01      1.2579e-02      2.2720e+01      1.0580e+00
   2.1169e-01      1.3365e-02      2.3780e+01      9.8620e-01
   2.3094e-01      1.4116e-02      2.4730e+01      9.2410e-01
   2.5018e-01      1.4849e-02      2.5610e+01      8.7010e-01
   2.6943e-01      1.5563e-02      2.6420e+01      8.2260e-01
   2.8867e-01      1.6260e-02      2.7180e+01      7.8060e-01
   3.0791e-01      1.6939e-02      2.7890e+01      7.4300e-01
   3.4640e-01      1.8244e-02      2.9210e+01      6.7870e-01
   3.8489e-01      1.9512e-02      3.0430e+01      6.2550e-01
   4.2338e-01      2.0709e-02      3.1580e+01      5.8070e-01
   4.6187e-01      2.1889e-02      3.2680e+01      5.4240e-01
   5.0036e-01      2.3032e-02      3.3730e+01      5.0930e-01
   5.3885e-01      2.4140e-02      3.4750e+01      4.8030e-01
   6.1583e-01      2.6249e-02      3.6700e+01      4.3190e-01
   6.9281e-01      2.8268e-02      3.8550e+01      3.9300e-01
   7.6979e-01      3.0197e-02      4.0320e+01      3.6110e-01
   8.4677e-01      3.2056e-02      4.2000e+01      3.3430e-01
   9.2374e-01      3.3843e-02      4.3610e+01      3.1150e-01
   1.0007e+00      3.5558e-02      4.5140e+01      2.9190e-01
   1.0777e+00      3.7220e-02      4.6590e+01      2.7470e-01
   1.1547e+00      3.8846e-02      4.7970e+01      2.5960e-01
   1.2317e+00      4.0418e-02      4.9280e+01      2.4620e-01
   1.3086e+00      4.1955e-02      5.0530e+01      2.3420e-01
   1.3856e+00      4.3456e-02      5.1710e+01      2.2340e-01
   1.5396e+00      4.6350e-02      5.3880e+01      2.0470e-01
   1.7320e+00      4.9835e-02      5.6260e+01      1.8560e-01
   1.9245e+00      5.3176e-02      5.8320e+01      1.7000e-01
   2.1169e+00      5.6410e-02      6.0120e+01      1.5700e-01
   2.3094e+00      5.9573e-02      6.1250e+01      1.4590e-01
   2.5018e+00      6.2682e-02      6.2040e+01      1.3640e-01
   2.6943e+00      6.5755e-02      6.2870e+01      1.2810e-01
   2.8867e+00      6.8793e-02      6.3540e+01      1.2090e-01
   3.0791e+00      7.1813e-02      6.4060e+01      1.1440e-01
   3.4640e+00      7.7781e-02      6.4750e+01      1.0350e-01
   3.8489e+00      8.3695e-02      6.5050e+01      9.4650e-02
   4.2338e+00      8.9592e-02      6.5060e+01      8.7250e-02
   4.6187e+00      9.5524e-02      6.4840e+01      8.0990e-02
   5.0036e+00      1.0146e-01      6.4470e+01      7.5620e-02
   5.3885e+00      1.0744e-01      6.3970e+01      7.0950e-02
   6.1583e+00      1.1959e-01      6.2730e+01      6.3240e-02
   6.9281e+00      1.3199e-01      6.1290e+01      5.7120e-02
   7.6979e+00      1.4470e-01      5.9770e+01      5.2140e-02
   8.4677e+00      1.5774e-01      5.8220e+01      4.8000e-02
   9.2374e+00      1.7112e-01      5.6700e+01      4.4500e-02
   1.0007e+01      1.8488e-01      5.5210e+01      4.1510e-02
   1.0777e+01      1.9900e-01      5.3780e+01      3.8910e-02
   1.1547e+01      2.1349e-01      5.2400e+01      3.6630e-02
   1.2317e+01      2.2836e-01      5.1090e+01      3.4620e-02
   1.3086e+01      2.4362e-01      4.9830e+01      3.2830e-02
   1.3856e+01      2.5923e-01      4.8640e+01      3.1230e-02
   1.5396e+01      2.9163e-01      4.6410e+01      2.8470e-02
   1.7320e+01      3.3424e-01      4.3910e+01      2.5670e-02
   1.9245e+01      3.7922e-01      4.1680e+01      2.3390e-02
   2.1169e+01      4.2653e-01      3.9670e+01      2.1510e-02
   2.3094e+01      4.7619e-01      3.7860e+01      1.9910e-02
   2.5018e+01      5.2815e-01      3.6220e+01      1.8550e-02
   2.6943e+01      5.8238e-01      3.4730e+01      1.7370e-02
   2.8867e+01      6.3892e-01      3.3370e+01      1.6340e-02
   3.0791e+01      6.9769e-01      3.2120e+01      1.5430e-02
   3.4640e+01      8.2178e-01      2.9940e+01      1.3900e-02
   3.8489e+01      9.5454e-01      2.8070e+01      1.2650e-02
   4.2338e+01      1.0958e+00      2.6450e+01      1.1620e-02
   4.6187e+01      1.2454e+00      2.5020e+01      1.0750e-02
   5.0036e+01      1.4032e+00      2.3770e+01      1.0010e-02
   5.3885e+01      1.5691e+00      2.2660e+01      9.3700e-03
   6.1583e+01      1.9298e+00      2.0760e+01      8.3140e-03
   6.9281e+01      2.3050e+00      1.9210e+01      7.4800e-03
   7.6979e+01      2.7160e+00      1.7910e+01      6.8050e-03
