#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   2.5665e-03      6.2432e-04      1.5250e+00      2.1620e+00
   2.8231e-03      6.8211e-04      1.6210e+00      2.1050e+00
   3.0798e-03      7.3990e-04      1.6980e+00      2.0510e+00
   3.3364e-03      7.9768e-04      1.7620e+00      2.0000e+00
   3.5931e-03      8.5606e-04      1.8180e+00      1.9520e+00
   3.8497e-03      9.1385e-04      1.8680e+00      1.9060e+00
   4.1064e-03      9.7223e-04      1.9140e+00      1.8620e+00
   4.3630e-03      1.0306e-03      1.9570e+00      1.8210e+00
   4.6196e-03      1.0896e-03      1.9990e+00      1.7820e+00
   5.1329e-03      1.2075e-03      2.0770e+00      1.7090e+00
   5.7746e-03      1.3559e-03      2.1680e+00      1.6280e+00
   6.4162e-03      1.5048e-03      2.2540e+00      1.5550e+00
   7.0578e-03      1.6537e-03      2.3360e+00      1.4890e+00
   7.6994e-03      1.8027e-03      2.4160e+00      1.4290e+00
   8.3410e-03      1.9516e-03      2.4950e+00      1.3750e+00
   8.9827e-03      2.0999e-03      2.5730e+00      1.3260e+00
   9.6243e-03      2.2477e-03      2.6510e+00      1.2800e+00
   1.0266e-02      2.3948e-03      2.7290e+00      1.2380e+00
   1.1549e-02      2.6861e-03      2.8840e+00      1.1630e+00
   1.2832e-02      2.9727e-03      3.0400e+00      1.0980e+00
   1.4116e-02      3.2545e-03      3.1960e+00      1.0410e+00
   1.5399e-02      3.5303e-03      3.3530e+00      9.9080e-01
   1.6682e-02      3.8008e-03      3.5100e+00      9.4560e-01
   1.7965e-02      4.0647e-03      3.6680e+00      9.0500e-01
   2.0532e-02      4.5758e-03      3.9810e+00      8.3480e-01
   2.3098e-02      5.0637e-03      4.2920e+00      7.7600e-01
   2.5665e-02      5.5308e-03      4.5980e+00      7.2610e-01
   2.8231e-02      5.9573e-03      4.8990e+00      6.8300e-01
   3.0798e-02      6.4339e-03      5.1930e+00      6.4530e-01
   3.3364e-02      6.7913e-03      5.4800e+00      6.1210e-01
   3.5931e-02      7.2083e-03      5.7600e+00      5.8260e-01
   3.8497e-02      7.5658e-03      6.0320e+00      5.5610e-01
   4.1064e-02      7.9828e-03      6.2960e+00      5.3230e-01
   4.3630e-02      8.3402e-03      6.5520e+00      5.1060e-01
   4.6196e-02      8.6381e-03      6.8010e+00      4.9090e-01
   5.1329e-02      9.3530e-03      7.2750e+00      4.5620e-01
   5.7746e-02      1.0127e-02      7.8270e+00      4.1980e-01
   6.4162e-02      1.0842e-02      8.3380e+00      3.8940e-01
   7.0578e-02      1.1557e-02      8.8090e+00      3.6350e-01
   7.6994e-02      1.2212e-02      9.2460e+00      3.4120e-01
   8.3410e-02      1.2868e-02      9.6510e+00      3.2180e-01
   8.9827e-02      1.3463e-02      1.0030e+01      3.0470e-01
   9.6243e-02      1.4059e-02      1.0380e+01      2.8940e-01
   1.0266e-01      1.4655e-02      1.0710e+01      2.7580e-01
   1.1549e-01      1.5787e-02      1.1300e+01      2.5240e-01
   1.2832e-01      1.6859e-02      1.1820e+01      2.3310e-01
   1.4116e-01      1.7872e-02      1.2290e+01      2.1670e-01
   1.5399e-01      1.8885e-02      1.2710e+01      2.0270e-01
   1.6682e-01      1.9897e-02      1.3090e+01      1.9050e-01
   1.7965e-01      2.0791e-02      1.3430e+01      1.7990e-01
   2.0532e-01      2.2638e-02      1.4040e+01      1.6200e-01
   2.3098e-01      2.4425e-02      1.4560e+01      1.4770e-01
   2.5665e-01      2.6093e-02      1.5010e+01      1.3590e-01
   2.8231e-01      2.7761e-02      1.5410e+01      1.2590e-01
   3.0798e-01      2.9429e-02      1.5760e+01      1.1750e-01
   3.3364e-01      3.0978e-02      1.6080e+01      1.1020e-01
   3.5931e-01      3.2586e-02      1.6370e+01      1.0380e-01
   3.8497e-01      3.4135e-02      1.6640e+01      9.8140e-02
   4.1064e-01      3.5625e-02      1.6880e+01      9.3130e-02
   4.3630e-01      3.7114e-02      1.7110e+01      8.8650e-02
   4.6196e-01      3.8603e-02      1.7320e+01      8.4610e-02
   5.1329e-01      4.1522e-02      1.7690e+01      7.7620e-02
   5.7746e-01      4.5097e-02      1.8100e+01      7.0460e-02
   6.4162e-01      4.8552e-02      1.8440e+01      6.4590e-02
   7.0578e-01      5.2007e-02      1.8740e+01      5.9690e-02
   7.6994e-01      5.5403e-02      1.8990e+01      5.5520e-02
   8.3410e-01      5.8739e-02      1.9210e+01      5.1940e-02
   8.9827e-01      6.2075e-02      1.9390e+01      4.8820e-02
   9.6243e-01      6.5352e-02      1.9550e+01      4.6080e-02
   1.0266e+00      6.8568e-02      1.9680e+01      4.3650e-02
   1.1549e+00      7.5062e-02      1.9880e+01      3.9530e-02
   1.2832e+00      8.1496e-02      2.0010e+01      3.6160e-02
   1.4116e+00      8.7870e-02      2.0080e+01      3.3360e-02
   1.5399e+00      9.4244e-02      2.0110e+01      3.0980e-02
