#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   3.7500e+00      1.8345e-01      1.8447e+01      1.4594e-02
   4.0000e+00      1.9716e-01      1.7886e+01      1.3810e-02
   4.5000e+00      2.2560e-01      1.7164e+01      1.2483e-02
   5.0000e+00      2.5538e-01      1.6416e+01      1.1401e-02
   5.5000e+00      2.8648e-01      1.5739e+01      1.0501e-02
   6.0000e+00      3.1887e-01      1.5123e+01      9.7404e-03
   6.5000e+00      3.5256e-01      1.4560e+01      9.0878e-03
   7.0000e+00      3.8751e-01      1.4044e+01      8.5217e-03
   7.5000e+00      4.2372e-01      1.3568e+01      8.0255e-03
   8.0000e+00      4.6117e-01      1.3024e+01      7.5869e-03
   9.0000e+00      5.3975e-01      1.2341e+01      6.8459e-03
   1.0000e+01      6.2315e-01      1.1613e+01      6.2432e-03
   1.1250e+01      7.3405e-01      1.0908e+01      5.6306e-03
   1.2500e+01      8.5222e-01      1.0263e+01      5.1328e-03
   1.3750e+01      9.7753e-01      9.6990e+00      4.7196e-03
   1.5000e+01      1.1099e+00      9.2013e+00      4.3710e-03
   1.6250e+01      1.2491e+00      8.7581e+00      4.0726e-03
   1.7500e+01      1.3952e+00      8.3608e+00      3.8142e-03
   1.8750e+01      1.5480e+00      8.0021e+00      3.5881e-03
   2.0000e+01      1.7075e+00      7.6003e+00      3.3885e-03
   2.2500e+01      2.0461e+00      7.1082e+00      3.0520e-03
   2.5000e+01      2.4106e+00      6.6256e+00      2.7789e-03
   2.7500e+01      2.8004e+00      6.2109e+00      2.5527e-03
   3.0000e+01      3.2153e+00      5.8502e+00      2.3620e-03
   3.2500e+01      3.6547e+00      5.5333e+00      2.1990e-03
   3.5000e+01      4.1185e+00      5.2523e+00      2.0579e-03
   3.7500e+01      4.6063e+00      5.0012e+00      1.9346e-03
   4.0000e+01      5.1179e+00      4.7227e+00      1.8259e-03
   4.5000e+01      6.2114e+00      4.3856e+00      1.6428e-03
   5.0000e+01      7.3973e+00      4.0590e+00      1.4944e-03
   5.5000e+01      8.6741e+00      3.7815e+00      1.3715e-03
   6.0000e+01      1.0041e+01      3.5424e+00      1.2681e-03
   6.5000e+01      1.1496e+01      3.3340e+00      1.1798e-03
   7.0000e+01      1.3039e+01      3.1504e+00      1.1035e-03
   7.5000e+01      1.4669e+01      2.9874e+00      1.0368e-03
   8.0000e+01      1.6385e+01      2.8075e+00      9.7803e-04
   9.0000e+01      2.0074e+01      2.5912e+00      8.7913e-04
   1.0000e+02      2.4101e+01      2.3714e+00      7.9907e-04
   1.1250e+02      2.9606e+01      2.1677e+00      7.1808e-04
   1.2500e+02      3.5630e+01      1.9891e+00      6.5254e-04
   1.3750e+02      4.2170e+01      1.8384e+00      5.9837e-04
   1.5000e+02      4.9225e+01      1.7093e+00      5.5281e-04
   1.6250e+02      5.6792e+01      1.5973e+00      5.1394e-04
   1.7500e+02      6.4871e+01      1.4990e+00      4.8036e-04
   1.8750e+02      7.3464e+01      1.4120e+00      4.5106e-04
   2.0000e+02      8.2571e+01      1.3163e+00      4.2526e-04
   2.2500e+02      1.0233e+02      1.2016e+00      3.8187e-04
   2.5000e+02      1.2417e+02      1.0919e+00      3.4680e-04
   2.7500e+02      1.4811e+02      9.9968e-01      3.1783e-04
   3.0000e+02      1.7417e+02      9.2088e-01      2.9348e-04
   3.2500e+02      2.0239e+02      8.5271e-01      2.7272e-04
   3.5000e+02      2.3279e+02      7.9309e-01      2.5480e-04
   3.7500e+02      2.6541e+02      7.4048e-01      2.3916e-04
   4.0000e+02      3.0029e+02      6.8261e-01      2.2540e-04
   4.5000e+02      3.7698e+02      6.1368e-01      2.0228e-04
   5.0000e+02      4.6319e+02      5.4840e-01      1.8360e-04
   5.5000e+02      5.5927e+02      4.9387e-01      1.6818e-04
   6.0000e+02      6.6560e+02      4.4765e-01      1.5523e-04
   6.5000e+02      7.8258e+02      4.0799e-01      1.4419e-04
   7.0000e+02      9.1062e+02      3.7360e-01      1.3466e-04
   7.5000e+02      1.0501e+03      3.4352e-01      1.2636e-04
   8.0000e+02      1.2016e+03      3.1066e-01      1.1905e-04
   9.0000e+02      1.5422e+03      2.9349e-01      1.0678e-04
