#    Energy           Range       dE/dx (elec)    dE/dx (nucl)
#   [MeV/u]         [mg/cm2]     [MeV/(mg/cm2)]  [MeV/(mg/cm2)]
# ------------------------------------------------------------
   0.0000e+00      0.0000e+00      0.0000e+00      0.0000e+00
   1.9253e-03      3.9372e-04      1.0740e+00      3.2740e+00
   2.1178e-03      4.3081e-04      1.1390e+00      3.2150e+00
   2.3104e-03      4.6835e-04      1.2090e+00      3.1570e+00
   2.5029e-03      5.0589e-04      1.2770e+00      3.1000e+00
   2.6954e-03      5.4343e-04      1.3420e+00      3.0450e+00
   2.8879e-03      5.8052e-04      1.4030e+00      2.9920e+00
   3.0805e-03      6.1851e-04      1.4600e+00      2.9400e+00
   3.2730e-03      6.5605e-04      1.5140e+00      2.8900e+00
   3.4655e-03      6.9359e-04      1.5650e+00      2.8420e+00
   3.8506e-03      7.6956e-04      1.6600e+00      2.7500e+00
   4.3319e-03      8.6475e-04      1.7650e+00      2.6440e+00
   4.8132e-03      9.6039e-04      1.8590e+00      2.5470e+00
   5.2946e-03      1.0569e-03      1.9430e+00      2.4580e+00
   5.7759e-03      1.1539e-03      2.0180e+00      2.3760e+00
   6.2572e-03      1.2513e-03      2.0860e+00      2.3000e+00
   6.7385e-03      1.3492e-03      2.1490e+00      2.2290e+00
   7.2199e-03      1.4475e-03      2.2070e+00      2.1640e+00
   7.7012e-03      1.5467e-03      2.2620e+00      2.1030e+00
   8.6638e-03      1.7456e-03      2.3640e+00      1.9920e+00
   9.6265e-03      1.9458e-03      2.4630e+00      1.8940e+00
   1.0589e-02      2.1469e-03      2.5600e+00      1.8060e+00
   1.1552e-02      2.3480e-03      2.6580e+00      1.7280e+00
   1.2514e-02      2.5482e-03      2.7590e+00      1.6570e+00
   1.3477e-02      2.7480e-03      2.8620e+00      1.5930e+00
   1.5402e-02      3.1426e-03      3.0800e+00      1.4810e+00
   1.7328e-02      3.5287e-03      3.3100e+00      1.3850e+00
   1.9253e-02      3.9046e-03      3.5540e+00      1.3030e+00
   2.1178e-02      4.2688e-03      3.8090e+00      1.2310e+00
   2.3104e-02      4.6031e-03      4.0730e+00      1.1680e+00
   2.5029e-02      4.9606e-03      4.3450e+00      1.1120e+00
   2.6954e-02      5.2734e-03      4.6220e+00      1.0620e+00
   2.8879e-02      5.5863e-03      4.9040e+00      1.0170e+00
   3.0805e-02      5.8991e-03      5.1890e+00      9.7620e-01
