ASTAR: Stopping Powers and Range Tables for Alpha Particles

ALUMINUM                                                                

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

3.000E+02 2.797E+01 1.089E-02 6.044E+00 
3.500E+02 2.492E+01 9.385E-03 7.940E+00 
4.000E+02 2.259E+01 8.252E-03 1.005E+01 
4.500E+02 2.075E+01 7.365E-03 1.236E+01 
5.000E+02 1.925E+01 6.651E-03 1.486E+01 
5.500E+02 1.801E+01 6.062E-03 1.755E+01 
6.000E+02 1.696E+01 5.568E-03 2.041E+01 
6.500E+02 1.607E+01 5.147E-03 2.343E+01 
7.000E+02 1.530E+01 4.785E-03 2.662E+01 
7.500E+02 1.463E+01 4.471E-03 2.996E+01 
8.000E+02 1.404E+01 4.196E-03 3.345E+01 
8.500E+02 1.352E+01 3.954E-03 3.707E+01 
9.000E+02 1.305E+01 3.738E-03 4.084E+01 
9.500E+02 1.263E+01 3.545E-03 4.473E+01 
1.000E+03 1.225E+01 3.371E-03 4.874E+01 
