PSTAR: Stopping Powers and Range Tables for Protons

POLYETHYLENE TEREPHTHALATE (MYLAR)                                      

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

2.750E+02 3.447E+00 9.433E-04 4.772E+01 
3.000E+02 3.281E+00 8.684E-04 5.515E+01 
3.500E+02 3.021E+00 7.500E-04 7.104E+01 
4.000E+02 2.827E+00 6.606E-04 8.815E+01 
4.500E+02 2.677E+00 5.906E-04 1.063E+02 
5.000E+02 2.558E+00 5.344E-04 1.254E+02 
5.500E+02 2.462E+00 4.882E-04 1.454E+02 
6.000E+02 2.383E+00 4.495E-04 1.660E+02 
6.500E+02 2.318E+00 4.166E-04 1.872E+02 
7.000E+02 2.262E+00 3.883E-04 2.091E+02 
7.500E+02 2.214E+00 3.638E-04 2.314E+02 
8.000E+02 2.173E+00 3.422E-04 2.542E+02 
8.500E+02 2.137E+00 3.231E-04 2.774E+02 
9.000E+02 2.105E+00 3.061E-04 3.009E+02 
9.500E+02 2.078E+00 2.908E-04 3.248E+02 
1.000E+03 2.054E+00 2.770E-04 3.490E+02 
1.500E+03 1.918E+00 1.889E-04 6.023E+02 
2.000E+03 1.871E+00 1.440E-04 8.667E+02 
2.500E+03 1.854E+00 1.167E-04 1.135E+03 
3.000E+03 1.852E+00 9.836E-05 1.405E+03 
4.000E+03 1.864E+00 7.508E-05 1.943E+03 
5.000E+03 1.883E+00 6.091E-05 2.477E+03 
6.000E+03 1.903E+00 5.135E-05 3.006E+03 
7.000E+03 1.923E+00 4.444E-05 3.528E+03 
8.000E+03 1.942E+00 3.922E-05 4.046E+03 
9.000E+03 1.959E+00 3.513E-05 4.558E+03 
1.000E+04 1.976E+00 3.183E-05 5.066E+03 
