PSTAR: Stopping Powers and Range Tables for Protons

BERYLLIUM                                                               

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

7.000E+01 7.806E+00 2.455E-03 4.979E+00 
7.500E+01 7.400E+00 2.299E-03 5.636E+00 
8.000E+01 7.041E+00 2.162E-03 6.328E+00 
8.500E+01 6.721E+00 2.041E-03 7.055E+00 
9.000E+01 6.436E+00 1.933E-03 7.814E+00 
9.500E+01 6.178E+00 1.836E-03 8.607E+00 
1.000E+02 5.945E+00 1.748E-03 9.431E+00 
1.250E+02 5.046E+00 1.413E-03 1.401E+01 
1.500E+02 4.434E+00 1.188E-03 1.931E+01 
1.750E+02 3.990E+00 1.026E-03 2.526E+01 
2.000E+02 3.653E+00 9.033E-04 3.181E+01 
2.250E+02 3.389E+00 8.074E-04 3.892E+01 
2.500E+02 3.177E+00 7.303E-04 4.654E+01 
2.750E+02 3.002E+00 6.670E-04 5.463E+01 
3.000E+02 2.856E+00 6.140E-04 6.317E+01 
3.500E+02 2.626E+00 5.302E-04 8.145E+01 
4.000E+02 2.454E+00 4.670E-04 1.012E+02 
4.500E+02 2.321E+00 4.175E-04 1.221E+02 
5.000E+02 2.215E+00 3.777E-04 1.442E+02 
5.500E+02 2.129E+00 3.450E-04 1.672E+02 
6.000E+02 2.058E+00 3.177E-04 1.911E+02 
6.500E+02 1.999E+00 2.944E-04 2.157E+02 
7.000E+02 1.950E+00 2.745E-04 2.410E+02 
7.500E+02 1.907E+00 2.571E-04 2.670E+02 
8.000E+02 1.871E+00 2.418E-04 2.934E+02 
8.500E+02 1.839E+00 2.283E-04 3.204E+02 
9.000E+02 1.812E+00 2.163E-04 3.478E+02 
9.500E+02 1.787E+00 2.055E-04 3.755E+02 
1.000E+03 1.766E+00 1.958E-04 4.037E+02 
1.500E+03 1.648E+00 1.334E-04 6.984E+02 
2.000E+03 1.608E+00 1.017E-04 1.006E+03 
2.500E+03 1.596E+00 8.246E-05 1.318E+03 
3.000E+03 1.595E+00 6.947E-05 1.632E+03 
4.000E+03 1.607E+00 5.303E-05 2.257E+03 
5.000E+03 1.625E+00 4.302E-05 2.876E+03 
6.000E+03 1.643E+00 3.626E-05 3.488E+03 
7.000E+03 1.660E+00 3.138E-05 4.093E+03 
8.000E+03 1.676E+00 2.769E-05 4.692E+03 
9.000E+03 1.691E+00 2.480E-05 5.286E+03 
1.000E+04 1.704E+00 2.247E-05 5.875E+03 
