PSTAR: Stopping Powers and Range Tables for Protons

ALUMINUM                                                                

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

3.000E+02 2.772E+00 6.976E-04 6.556E+01 
3.500E+02 2.555E+00 6.027E-04 8.434E+01 
4.000E+02 2.392E+00 5.311E-04 1.046E+02 
4.500E+02 2.266E+00 4.750E-04 1.260E+02 
5.000E+02 2.166E+00 4.299E-04 1.485E+02 
5.500E+02 2.086E+00 3.928E-04 1.720E+02 
6.000E+02 2.019E+00 3.617E-04 1.964E+02 
6.500E+02 1.964E+00 3.353E-04 2.214E+02 
7.000E+02 1.918E+00 3.126E-04 2.472E+02 
7.500E+02 1.878E+00 2.929E-04 2.735E+02 
8.000E+02 1.845E+00 2.755E-04 3.003E+02 
8.500E+02 1.816E+00 2.602E-04 3.276E+02 
9.000E+02 1.790E+00 2.465E-04 3.553E+02 
9.500E+02 1.768E+00 2.342E-04 3.833E+02 
1.000E+03 1.749E+00 2.232E-04 4.117E+02 
1.500E+03 1.647E+00 1.523E-04 7.077E+02 
2.000E+03 1.617E+00 1.162E-04 1.014E+03 
2.500E+03 1.613E+00 9.419E-05 1.324E+03 
3.000E+03 1.619E+00 7.938E-05 1.633E+03 
4.000E+03 1.642E+00 6.062E-05 2.246E+03 
5.000E+03 1.668E+00 4.920E-05 2.850E+03 
6.000E+03 1.692E+00 4.148E-05 3.445E+03 
7.000E+03 1.714E+00 3.592E-05 4.032E+03 
8.000E+03 1.734E+00 3.170E-05 4.612E+03 
9.000E+03 1.752E+00 2.840E-05 5.186E+03 
1.000E+04 1.768E+00 2.574E-05 5.754E+03 
