ASTAR: Stopping Powers and Range Tables for Alpha Particles

AIR (dry, near sea level)                                               

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

3.000E+02 3.184E+01 1.191E-02 5.263E+00 
3.500E+02 2.832E+01 1.025E-02 6.930E+00 
4.000E+02 2.563E+01 8.987E-03 8.788E+00 
4.500E+02 2.351E+01 8.005E-03 1.083E+01 
5.000E+02 2.179E+01 7.219E-03 1.304E+01 
5.500E+02 2.036E+01 6.574E-03 1.541E+01 
6.000E+02 1.917E+01 6.034E-03 1.794E+01 
6.500E+02 1.815E+01 5.574E-03 2.062E+01 
7.000E+02 1.727E+01 5.177E-03 2.345E+01 
7.500E+02 1.650E+01 4.833E-03 2.641E+01 
8.000E+02 1.583E+01 4.533E-03 2.950E+01 
8.500E+02 1.523E+01 4.269E-03 3.272E+01 
9.000E+02 1.470E+01 4.035E-03 3.606E+01 
9.500E+02 1.422E+01 3.824E-03 3.952E+01 
1.000E+03 1.379E+01 3.635E-03 4.309E+01 
