PSTAR: Stopping Powers and Range Tables for Protons

GOLD                                                                    

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

3.000E+02 1.843E+00 4.322E-04 9.942E+01 
3.500E+02 1.706E+00 3.750E-04 1.273E+02 
4.000E+02 1.603E+00 3.315E-04 1.571E+02 
4.500E+02 1.524E+00 2.972E-04 1.888E+02 
5.000E+02 1.461E+00 2.696E-04 2.219E+02 
5.500E+02 1.410E+00 2.468E-04 2.563E+02 
6.000E+02 1.368E+00 2.276E-04 2.920E+02 
6.500E+02 1.334E+00 2.113E-04 3.286E+02 
7.000E+02 1.305E+00 1.973E-04 3.661E+02 
7.500E+02 1.280E+00 1.850E-04 4.044E+02 
8.000E+02 1.259E+00 1.742E-04 4.434E+02 
8.500E+02 1.241E+00 1.647E-04 4.831E+02 
9.000E+02 1.226E+00 1.561E-04 5.232E+02 
9.500E+02 1.213E+00 1.485E-04 5.639E+02 
1.000E+03 1.201E+00 1.416E-04 6.050E+02 
1.500E+03 1.143E+00 9.703E-05 1.031E+03 
2.000E+03 1.131E+00 7.422E-05 1.469E+03 
2.500E+03 1.134E+00 6.029E-05 1.909E+03 
3.000E+03 1.143E+00 5.088E-05 2.346E+03 
4.000E+03 1.167E+00 3.893E-05 3.209E+03 
5.000E+03 1.191E+00 3.164E-05 4.055E+03 
6.000E+03 1.215E+00 2.671E-05 4.884E+03 
7.000E+03 1.236E+00 2.314E-05 5.698E+03 
8.000E+03 1.255E+00 2.044E-05 6.500E+03 
9.000E+03 1.272E+00 1.832E-05 7.290E+03 
1.000E+04 1.288E+00 1.661E-05 8.070E+03 
