ASTAR: Stopping Powers and Range Tables for Alpha Particles

GOLD                                                                    

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

3.000E+02 1.764E+01 6.623E-03 9.908E+00 
3.500E+02 1.584E+01 5.755E-03 1.289E+01 
4.000E+02 1.445E+01 5.094E-03 1.618E+01 
4.500E+02 1.334E+01 4.572E-03 1.977E+01 
5.000E+02 1.243E+01 4.150E-03 2.363E+01 
5.500E+02 1.167E+01 3.801E-03 2.777E+01 
6.000E+02 1.103E+01 3.508E-03 3.216E+01 
6.500E+02 1.048E+01 3.258E-03 3.678E+01 
7.000E+02 1.001E+01 3.041E-03 4.164E+01 
7.500E+02 9.591E+00 2.852E-03 4.673E+01 
8.000E+02 9.224E+00 2.685E-03 5.202E+01 
8.500E+02 8.898E+00 2.537E-03 5.751E+01 
9.000E+02 8.606E+00 2.405E-03 6.320E+01 
9.500E+02 8.343E+00 2.286E-03 6.908E+01 
1.000E+03 8.106E+00 2.179E-03 7.513E+01 
