ASTAR: Stopping Powers and Range Tables for Alpha Particles

CESIUM IODIDE                                                           

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

3.000E+02 1.962E+01 7.382E-03 8.833E+00 
3.500E+02 1.758E+01 6.406E-03 1.152E+01 
4.000E+02 1.601E+01 5.663E-03 1.449E+01 
4.500E+02 1.476E+01 5.078E-03 1.774E+01 
5.000E+02 1.374E+01 4.603E-03 2.124E+01 
5.500E+02 1.289E+01 4.211E-03 2.498E+01 
6.000E+02 1.218E+01 3.881E-03 2.896E+01 
6.500E+02 1.157E+01 3.601E-03 3.316E+01 
7.000E+02 1.103E+01 3.359E-03 3.758E+01 
7.500E+02 1.057E+01 3.148E-03 4.219E+01 
8.000E+02 1.016E+01 2.963E-03 4.701E+01 
8.500E+02 9.798E+00 2.798E-03 5.200E+01 
9.000E+02 9.474E+00 2.651E-03 5.718E+01 
9.500E+02 9.182E+00 2.518E-03 6.252E+01 
1.000E+03 8.919E+00 2.398E-03 6.803E+01 
