PSTAR: Stopping Powers and Range Tables for Protons

CESIUM IODIDE                                                           

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

3.000E+02 2.027E+00 4.811E-04 9.050E+01 
3.500E+02 1.875E+00 4.169E-04 1.159E+02 
4.000E+02 1.762E+00 3.681E-04 1.432E+02 
4.500E+02 1.674E+00 3.298E-04 1.721E+02 
5.000E+02 1.604E+00 2.989E-04 2.024E+02 
5.500E+02 1.548E+00 2.735E-04 2.339E+02 
6.000E+02 1.502E+00 2.521E-04 2.665E+02 
6.500E+02 1.463E+00 2.340E-04 3.000E+02 
7.000E+02 1.431E+00 2.183E-04 3.343E+02 
7.500E+02 1.404E+00 2.047E-04 3.693E+02 
8.000E+02 1.381E+00 1.927E-04 4.050E+02 
8.500E+02 1.361E+00 1.820E-04 4.413E+02 
9.000E+02 1.344E+00 1.726E-04 4.780E+02 
9.500E+02 1.329E+00 1.641E-04 5.152E+02 
1.000E+03 1.317E+00 1.564E-04 5.528E+02 
1.500E+03 1.252E+00 1.070E-04 9.425E+02 
2.000E+03 1.238E+00 8.178E-05 1.343E+03 
2.500E+03 1.241E+00 6.639E-05 1.746E+03 
3.000E+03 1.251E+00 5.600E-05 2.146E+03 
4.000E+03 1.278E+00 4.283E-05 2.935E+03 
5.000E+03 1.305E+00 3.479E-05 3.708E+03 
6.000E+03 1.330E+00 2.935E-05 4.466E+03 
7.000E+03 1.354E+00 2.543E-05 5.210E+03 
8.000E+03 1.375E+00 2.245E-05 5.942E+03 
9.000E+03 1.394E+00 2.012E-05 6.663E+03 
1.000E+04 1.412E+00 1.824E-05 7.376E+03 
