ASTAR: Stopping Powers and Range Tables for Alpha Particles

SILICON                                                                 

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

3.000E+02 2.875E+01 1.162E-02 5.884E+00 
3.500E+02 2.562E+01 1.002E-02 7.728E+00 
4.000E+02 2.323E+01 8.807E-03 9.779E+00 
4.500E+02 2.133E+01 7.862E-03 1.203E+01 
5.000E+02 1.979E+01 7.101E-03 1.446E+01 
5.500E+02 1.852E+01 6.475E-03 1.707E+01 
6.000E+02 1.745E+01 5.949E-03 1.985E+01 
6.500E+02 1.653E+01 5.501E-03 2.279E+01 
7.000E+02 1.574E+01 5.115E-03 2.589E+01 
7.500E+02 1.505E+01 4.780E-03 2.914E+01 
8.000E+02 1.444E+01 4.485E-03 3.253E+01 
8.500E+02 1.391E+01 4.226E-03 3.605E+01 
9.000E+02 1.343E+01 3.995E-03 3.971E+01 
9.500E+02 1.299E+01 3.789E-03 4.349E+01 
1.000E+03 1.260E+01 3.603E-03 4.740E+01 
