ASTAR: Stopping Powers and Range Tables for Alpha Particles

BERYLLIUM                                                               

Kinetic   Electron. Nuclear   Projected 
Energy    Stp. Pow. Stp. Pow. Range     
MeV       MeV cm2/g MeV cm2/g g/cm2     

3.000E+02 2.944E+01 9.519E-03 5.672E+00 
3.500E+02 2.616E+01 8.180E-03 7.476E+00 
4.000E+02 2.366E+01 7.163E-03 9.489E+00 
4.500E+02 2.168E+01 6.369E-03 1.170E+01 
5.000E+02 2.008E+01 5.738E-03 1.410E+01 
5.500E+02 1.876E+01 5.222E-03 1.667E+01 
6.000E+02 1.765E+01 4.790E-03 1.942E+01 
6.500E+02 1.670E+01 4.423E-03 2.233E+01 
7.000E+02 1.589E+01 4.109E-03 2.540E+01 
7.500E+02 1.517E+01 3.836E-03 2.862E+01 
8.000E+02 1.455E+01 3.598E-03 3.199E+01 
8.500E+02 1.399E+01 3.388E-03 3.549E+01 
9.000E+02 1.350E+01 3.201E-03 3.913E+01 
9.500E+02 1.305E+01 3.033E-03 4.290E+01 
1.000E+03 1.265E+01 2.882E-03 4.678E+01  
